"date","value"
1955-01-01,3.179
1955-04-01,3.1917
1955-07-01,3.2469
1955-10-01,3.3233
1956-01-01,3.3714
1956-04-01,3.4261
1956-07-01,3.4841
1956-10-01,3.5605
1957-01-01,3.4957
1957-04-01,3.5473
1957-07-01,3.645
1957-10-01,3.7126
1958-01-01,3.706
1958-04-01,3.7438
1958-07-01,3.7276
1958-10-01,3.7554
1959-01-01,3.7395
1959-04-01,3.8003
1959-07-01,3.7346
1959-10-01,3.773
1960-01-01,3.741
1960-04-01,3.8059
1960-07-01,3.804
1960-10-01,3.8562
1961-01-01,3.8903
1961-04-01,3.8753
1961-07-01,4.0282
1961-10-01,3.9921
1962-01-01,4.0262
1962-04-01,4.0869
1962-07-01,4.1045
1962-10-01,4.1411
1963-01-01,4.0944
1963-04-01,4.1268
1963-07-01,4.1703
1963-10-01,4.208
1964-01-01,4.1945
1964-04-01,4.2641
1964-07-01,4.3416
1964-10-01,4.3945
1965-01-01,4.4893
1965-04-01,4.5083
1965-07-01,4.5807
1965-10-01,4.6393
1966-01-01,4.7019
1966-04-01,4.7572
1966-07-01,4.8306
1966-10-01,4.903
1967-01-01,4.8869
1967-04-01,4.9389
1967-07-01,4.9494
1967-10-01,4.9866
1968-01-01,5.0305
1968-04-01,5.111
1968-07-01,5.1716
1968-10-01,5.2818
1969-01-01,5.3875
1969-04-01,5.4251
1969-07-01,5.5152
1969-10-01,5.6349
1970-01-01,5.8283
1970-04-01,5.9394
1970-07-01,6.0741
1970-10-01,6.2356
1971-01-01,6.3647
1971-04-01,6.4643
1971-07-01,6.5541
1971-10-01,6.6941
1972-01-01,6.7681
1972-04-01,6.9051
1972-07-01,7.0332
1972-10-01,7.3427
1973-01-01,7.4491
1973-04-01,7.3726
1973-07-01,7.7007
1973-10-01,8.0154
1974-01-01,8.1732
1974-04-01,8.6345
1974-07-01,9.053
1974-10-01,9.6085
1975-01-01,10.3044
1975-04-01,10.989
1975-07-01,11.4722
1975-10-01,11.974
1976-01-01,12.3743
1976-04-01,12.7212
1976-07-01,13.023
1976-10-01,13.5373
1977-01-01,14.0468
1977-04-01,14.5989
1977-07-01,14.9029
1977-10-01,15.3152
1978-01-01,15.9146
1978-04-01,16.3577
1978-07-01,16.5942
1978-10-01,17.0399
1979-01-01,17.6738
1979-04-01,18.1
1979-07-01,19.4751
1979-10-01,20.3027
1980-01-01,21.3302
1980-04-01,22.319
1980-07-01,23.1578
1980-10-01,24.1782
1981-01-01,24.8659
1981-04-01,25.3188
1981-07-01,25.742
1981-10-01,26.5277
1982-01-01,27.1799
1982-04-01,27.4368
1982-07-01,27.8706
1982-10-01,28.4612
1983-01-01,28.9635
1983-04-01,29.0373
1983-07-01,29.451
1983-10-01,29.9855
1984-01-01,30.0555
1984-04-01,30.9833
1984-07-01,31.2242
1984-10-01,31.6968
1985-01-01,31.7546
1985-04-01,32.5812
1985-07-01,33.0537
1985-10-01,33.7077
1986-01-01,33.787
1986-04-01,34.1792
1986-07-01,34.5965
1986-10-01,35.1237
1987-01-01,35.5465
1987-04-01,36.1457
1987-07-01,36.7509
1987-10-01,37.1384
1988-01-01,37.5042
1988-04-01,38.2752
1988-07-01,39.0737
1988-10-01,40.0177
1989-01-01,40.6884
1989-04-01,41.3005
1989-07-01,42.4369
1989-10-01,43.3087
1990-01-01,44.0408
1990-04-01,44.9537
1990-07-01,46.3385
1990-10-01,46.6201
1991-01-01,47.6955
1991-04-01,48.4149
1991-07-01,49.0048
1991-10-01,49.6483
1992-01-01,50.1485
1992-04-01,50.423
1992-07-01,50.2631
1992-10-01,50.7847
1993-01-01,51.7357
1993-04-01,51.6143
1993-07-01,52.1568
1993-10-01,52.4939
1994-01-01,52.8112
1994-04-01,52.6713
1994-07-01,52.7057
1994-10-01,53.5238
1995-01-01,53.6962
1995-04-01,54.2208
1995-07-01,54.6933
1995-10-01,55.2235
1996-01-01,55.9526
1996-04-01,57.0296
1996-07-01,57.4931
1996-10-01,57.8518
1997-01-01,56.8334
1997-04-01,56.8645
1997-07-01,58.0135
1997-10-01,56.9814
1998-01-01,57.5236
1998-04-01,57.7674
1998-07-01,58.3117
1998-10-01,58.6332
1999-01-01,58.7214
