"date","value"
1980-01-01,877.1
1980-02-01,875.1
1980-03-01,873.1
1980-04-01,870.7
1980-05-01,868.2
1980-06-01,865.3
1980-07-01,861.6
1980-08-01,857.4
1980-09-01,853.2
1980-10-01,848.7
1980-11-01,844.6
1980-12-01,840.3
1981-01-01,836.4
1981-02-01,832.8
1981-03-01,829.6
1981-04-01,826.5
1981-05-01,823.7
1981-06-01,821.5
1981-07-01,819.5
1981-08-01,817.8
1981-09-01,816.2
1981-10-01,814.4
1981-11-01,812.7
1981-12-01,811.5
1982-01-01,810.6
1982-02-01,810.2
1982-03-01,809.4
1982-04-01,808.5
1982-05-01,807
1982-06-01,805.7
1982-07-01,804.2
1982-08-01,802.2
1982-09-01,800.2
1982-10-01,798.2
1982-11-01,796.3
1982-12-01,794.5
1983-01-01,792.9
1983-02-01,791.7
1983-03-01,791.1
1983-04-01,790.5
1983-05-01,790.8
1983-06-01,792
1983-07-01,793.8
1983-08-01,796.1
1983-09-01,798.6
1983-10-01,801
1983-11-01,802.8
1983-12-01,804.8
1984-01-01,806.5
1984-02-01,808.2
1984-03-01,810
1984-04-01,811.7
1984-05-01,813.4
1984-06-01,814.8
1984-07-01,816.2
1984-08-01,817.7
1984-09-01,819.1
1984-10-01,820.5
1984-11-01,821.9
1984-12-01,823.1
1985-01-01,824
1985-02-01,825
1985-03-01,825.9
1985-04-01,826.3
1985-05-01,826.6
1985-06-01,827
1985-07-01,827.5
1985-08-01,827.6
1985-09-01,827.6
1985-10-01,827.9
1985-11-01,827.7
1985-12-01,827.3
1986-01-01,827.4
1986-02-01,827.2
1986-03-01,827.1
1986-04-01,827.1
1986-05-01,827.4
1986-06-01,828.1
1986-07-01,828.8
1986-08-01,829.9
1986-09-01,831.1
1986-10-01,832.1
1986-11-01,832.9
1986-12-01,833.8
1987-01-01,835
1987-02-01,836.4
1987-03-01,838.1
1987-04-01,840.5
1987-05-01,843.3
1987-06-01,846.3
1987-07-01,849.5
1987-08-01,852.3
1987-09-01,855
1987-10-01,857.9
1987-11-01,860.8
1987-12-01,863.9
1988-01-01,866.9
1988-02-01,869.4
1988-03-01,871.9
1988-04-01,874
1988-05-01,876.2
1988-06-01,878.3
1988-07-01,880.8
1988-08-01,883.1
1988-09-01,885.7
1988-10-01,887.9
1988-11-01,890.2
1988-12-01,893
1989-01-01,895.9
1989-02-01,898.9
1989-03-01,901.4
1989-04-01,903.2
1989-05-01,904.1
1989-06-01,904.9
1989-07-01,905.8
1989-08-01,906.6
1989-09-01,907.3
1989-10-01,908.1
1989-11-01,908.8
1989-12-01,908.7
1990-01-01,908.6
1990-02-01,908.1
1990-03-01,907.7
1990-04-01,907.3
1990-05-01,906.6
1990-06-01,905.8
1990-07-01,904.1
1990-08-01,901.8
1990-09-01,898.8
1990-10-01,895.8
1990-11-01,892.4
1990-12-01,889
1991-01-01,885.2
1991-02-01,881.4
1991-03-01,877.6
1991-04-01,873.8
1991-05-01,869.8
1991-06-01,866.1
1991-07-01,862.6
1991-08-01,859.5
1991-09-01,856.9
1991-10-01,854.2
1991-11-01,851.9
1991-12-01,850.1
1992-01-01,848.8
1992-02-01,847.2
1992-03-01,846.9
1992-04-01,847.2
1992-05-01,847.6
1992-06-01,843.5
1992-07-01,841.4
1992-08-01,840.4
1992-09-01,837.7
1992-10-01,837.2
1992-11-01,832.8
1992-12-01,834.1
1993-01-01,832.9
1993-02-01,832.3
1993-03-01,829.6
1993-04-01,830.4
1993-05-01,832.6
1993-06-01,834.1
1993-07-01,833.5
1993-08-01,832.4
1993-09-01,832.6
1993-10-01,826.4
1993-11-01,831.6
1993-12-01,829.3
1994-01-01,836.8
1994-02-01,837.1
1994-03-01,842.1
1994-04-01,840.4
1994-05-01,839.2
1994-06-01,841.1
1994-07-01,843.9
1994-08-01,846.3
1994-09-01,846.4
1994-10-01,847.1
1994-11-01,853
1994-12-01,854.5
1995-01-01,853.5
1995-02-01,852.4
1995-03-01,854.4
1995-04-01,855.9
1995-05-01,854.2
1995-06-01,855.1
1995-07-01,855.5
1995-08-01,854.9
1995-09-01,854.1
1995-10-01,854.7
1995-11-01,859.7
1995-12-01,861.8
1996-01-01,859.9
1996-02-01,859.9
1996-03-01,858.6
1996-04-01,860.1
1996-05-01,862.8
1996-06-01,862.3
1996-07-01,863.5
1996-08-01,863.3
1996-09-01,865.8
1996-10-01,869.2
1996-11-01,866.1
1996-12-01,867.8
1997-01-01,870.2
1997-02-01,873.7
1997-03-01,877.5
1997-04-01,878.1
1997-05-01,878.3
1997-06-01,877
1997-07-01,877.9
1997-08-01,880.2
1997-09-01,882.9
1997-10-01,884.5
1997-11-01,879.8
1997-12-01,881.1
1998-01-01,880.4
1998-02-01,884.1
1998-03-01,885.9
1998-04-01,885.1
1998-05-01,884.1
1998-06-01,884.6
1998-07-01,885.4
1998-08-01,887.6
1998-09-01,888.2
1998-10-01,888.5
1998-11-01,883.2
1998-12-01,887.2
1999-01-01,888
1999-02-01,888.3
1999-03-01,886.2
1999-04-01,887.3
1999-05-01,890.6
1999-06-01,892.3
1999-07-01,893.4
1999-08-01,894.8
1999-09-01,892.6
1999-10-01,894.6
1999-11-01,897
1999-12-01,889.8
2000-01-01,888.2
2000-02-01,884.4
2000-03-01,899
2000-04-01,893.3
2000-05-01,895.3
2000-06-01,896
2000-07-01,899.8
2000-08-01,896
2000-09-01,894.8
2000-10-01,896.7
2000-11-01,903.4
2000-12-01,908
2001-01-01,904.8
2001-02-01,900.5
2001-03-01,903.4
2001-04-01,906.5
2001-05-01,906.4
2001-06-01,905.8
2001-07-01,906.4
2001-08-01,904.9
2001-09-01,904.2
2001-10-01,903.5
2001-11-01,903.5
2001-12-01,899.7
2002-01-01,900.1
2002-02-01,901.5
2002-03-01,903.9
2002-04-01,908.3
2002-05-01,897.4
2002-06-01,898.9
2002-07-01,894.2
2002-08-01,903.9
2002-09-01,904.3
2002-10-01,906.4
2002-11-01,905.3
2002-12-01,903.5
2003-01-01,901.7
2003-02-01,904.6
2003-03-01,905.3
2003-04-01,905.5
2003-05-01,907.2
2003-06-01,908.6
2003-07-01,908.1
2003-08-01,908.3
2003-09-01,907.4
2003-10-01,905.2
2003-11-01,903.9
2003-12-01,905.2
2004-01-01,909.1
2004-02-01,913.1
2004-03-01,911.5
2004-04-01,911.4
2004-05-01,909.8
2004-06-01,907.9
2004-07-01,908.9
2004-08-01,911.9
2004-09-01,916
2004-10-01,919.3
2004-11-01,923
2004-12-01,924.2
2005-01-01,926.4
2005-02-01,923.8
2005-03-01,923.6
2005-04-01,923
2005-05-01,922.9
2005-06-01,925.1
2005-07-01,924.8
2005-08-01,929.5
2005-09-01,928.3
2005-10-01,928.4
2005-11-01,929.3
2005-12-01,931.3
2006-01-01,932.1
2006-02-01,931.7
2006-03-01,932
2006-04-01,931.1
2006-05-01,930.5
2006-06-01,931.8
2006-07-01,934.3
2006-08-01,931.8
2006-09-01,932
2006-10-01,932.6
2006-11-01,935.6
2006-12-01,938.2
2007-01-01,937.3
2007-02-01,937.1
2007-03-01,936.4
2007-04-01,939.9
2007-05-01,941.2
2007-06-01,941.2
2007-07-01,943
2007-08-01,943.1
2007-09-01,944.9
2007-10-01,944.7
2007-11-01,943.1
2007-12-01,943.1
2008-01-01,946.2
2008-02-01,955.1
2008-03-01,950.9
2008-04-01,951.2
2008-05-01,944.6
2008-06-01,950.1
2008-07-01,948
2008-08-01,945.2
2008-09-01,942.1
2008-10-01,941
2008-11-01,939.5
2008-12-01,936.8
2009-01-01,928.2
2009-02-01,923.5
2009-03-01,924.3
2009-04-01,923.4
2009-05-01,920.1
2009-06-01,913.7
2009-07-01,910.7
2009-08-01,915.2
2009-09-01,919.3
2009-10-01,916.2
2009-11-01,915.6
2009-12-01,914.4
2010-01-01,918.6
2010-02-01,914.4
2010-03-01,913.8
2010-04-01,916.4
2010-05-01,922.3
2010-06-01,926.2
2010-07-01,925
2010-08-01,926.9
2010-09-01,922.6
2010-10-01,922
2010-11-01,930.9
2010-12-01,932.7
2011-01-01,935.7
2011-02-01,931.3
2011-03-01,922.4
2011-04-01,921.6
2011-05-01,921.4
2011-06-01,927.3
2011-07-01,928.4
2011-08-01,927
2011-09-01,929
2011-10-01,927.8
