"date","value"
"1975-01-01",11.3295
"1975-02-01",10.6875
"1975-03-01",10.2632
"1975-04-01",9.9091
"1975-05-01",9.9762
"1975-06-01",10
"1975-07-01",10.1739
"1975-08-01",11
"1975-09-01",11
"1975-10-01",11.8696
"1975-11-01",11.875
"1975-12-01",11.4643
"1976-01-01",10.8333
"1976-02-01",9.625
"1976-03-01",9.0543
"1976-04-01",9.375
"1976-05-01",10.75
"1976-06-01",11.5
"1976-07-01",11.5
"1976-08-01",11.5
"1976-09-01",12.4545
"1976-10-01",14.619
"1976-11-01",14.9205
"1976-12-01",14.619
"1977-01-01",13.775
"1977-02-01",12.025
"1977-03-01",11.0652
"1977-04-01",9.1184
"1977-05-01",8.119
"1977-06-01",8
"1977-07-01",8
"1977-08-01",7.3409
"1977-09-01",6.4318
"1977-10-01",5.3571
"1977-11-01",5.2727
"1977-12-01",7
"1978-01-01",6.5952
"1978-02-01",6.5
"1978-03-01",6.5
"1978-04-01",7.15
"1978-05-01",8.6548
"1978-06-01",9.7727
"1978-07-01",10
"1978-08-01",10
"1978-09-01",10
"1978-10-01",10
"1978-11-01",11.8182
"1978-12-01",12.5
"1979-01-01",12.5
"1979-02-01",13.625
"1979-03-01",13
"1979-04-01",12.1579
"1979-05-01",12
"1979-06-01",13.2381
"1979-07-01",14
"1979-08-01",14
"1979-09-01",14
"1979-10-01",14
"1979-11-01",15.6364
"1979-12-01",17
"1980-01-01",17
"1980-02-01",17
"1980-03-01",17
"1980-04-01",17
"1980-05-01",17
"1980-06-01",17
"1980-07-01",16.087
"1980-08-01",16
"1980-09-01",16
"1980-10-01",16
"1980-11-01",15.6
"1980-12-01",14
"1981-01-01",14
"1981-02-01",14
"1981-03-01",12.6364
"1981-04-01",12
"1981-05-01",12
"1981-06-01",12
"1981-07-01",12
"1981-08-01",12.1375
"1981-09-01",13.4034
"1981-10-01",14.6989
"1981-11-01",14.7292
"1981-12-01",14.4018
"1982-01-01",14.1844
"1982-02-01",13.8406
"1982-03-01",13.3641
"1982-04-01",13.175
"1982-05-01",13.125
"1982-06-01",12.7386
"1982-07-01",12.2045
"1982-08-01",11.2857
"1982-09-01",10.5682
"1982-10-01",9.7917
"1982-11-01",9.2557
"1982-12-01",10
"1983-01-01",10.7
"1983-02-01",11
"1983-03-01",10.7527
"1983-04-01",10.2336
"1983-05-01",10.0625
"1983-06-01",9.7557
"1983-07-01",9.5625
"1983-08-01",9.5568
"1983-09-01",9.5625
"1983-10-01",9.0625
"1983-11-01",9.0625
"1983-12-01",9.0625
"1984-01-01",9.0625
"1984-02-01",9.0625
"1984-03-01",8.7102
"1984-04-01",8.5625
"1984-05-01",8.9196
"1984-06-01",9.0536
"1984-07-01",11.1591
"1984-08-01",11.0114
"1984-09-01",10.5
"1984-10-01",10.5
"1984-11-01",9.8636
"1984-12-01",9.5
"1985-01-01",11.375
"1985-02-01",13.875
"1985-03-01",13.6369
"1985-04-01",12.675
"1985-05-01",12.375
"1985-06-01",12.375
"1985-07-01",11.962
"1985-08-01",11.375
"1985-09-01",11.375
"1985-10-01",11.375
"1985-11-01",11.375
"1985-12-01",11.375
"1986-01-01",11.9659
"1986-02-01",12.375
"1986-03-01",12.0066
"1986-04-01",10.8523
"1986-05-01",10.25
"1986-06-01",9.875
"1986-07-01",9.875
"1986-08-01",9.875
"1986-09-01",9.875
"1986-10-01",10.4402
"1986-11-01",10.875
"1986-12-01",10.875
"1987-01-01",10.875
"1987-02-01",10.875
"1987-03-01",10.2614
"1987-04-01",9.8
"1987-05-01",8.9803
"1987-06-01",8.875
"1987-07-01",8.875
"1987-08-01",9.725
"1987-09-01",9.875
"1987-10-01",9.7386
"1987-11-01",8.9226
"1987-12-01",8.4226
"1988-01-01",8.375
"1988-02-01",8.875
"1988-03-01",8.6359
"1988-04-01",7.9539
"1988-05-01",7.625
"1988-06-01",8.2841
"1988-07-01",9.8512
"1988-08-01",10.9432
"1988-09-01",11.875
"1988-10-01",11.875
"1988-11-01",12.0568
"1988-12-01",12.875
"1989-01-01",12.875
"1989-02-01",12.875
"1989-03-01",12.875
"1989-04-01",12.875
"1989-05-01",13.0417
"1989-06-01",13.75
"1989-07-01",13.75
"1989-08-01",13.7543
"1989-09-01",13.7783
"1989-10-01",14.6705
"1989-11-01",14.875
"1989-12-01",14.875
"1990-01-01",14.875
"1990-02-01",14.875
"1990-03-01",14.875
"1990-04-01",14.875
"1990-05-01",14.875
"1990-06-01",14.875
"1990-07-01",14.875
"1990-08-01",14.875
"1990-09-01",14.875
"1990-10-01",14.0924
"1990-11-01",13.875
"1990-12-01",13.875
"1991-01-01",13.875
"1991-02-01",13.525
"1991-03-01",12.75
"1991-04-01",12.0655
"1991-05-01",11.756
"1991-06-01",11.375
"1991-07-01",11.0707
"1991-08-01",10.875
"1991-09-01",10.4226
"1991-10-01",10.375
"1991-11-01",10.375
"1991-12-01",10.375
"1992-01-01",10.375
"1992-02-01",10.375
"1992-03-01",10.375
"1992-04-01",10.375
"1992-05-01",9.9013
"1992-06-01",9.875
"1992-07-01",9.875
"1992-08-01",9.875
"1992-09-01",9.5568
"1992-10-01",8.375
"1992-11-01",7.3036
"1992-12-01",6.875
"1993-01-01",6.675
"1993-02-01",5.875
"1993-03-01",5.875
"1993-04-01",5.875
"1993-05-01",5.875
"1993-06-01",5.875
"1993-07-01",5.875
"1993-08-01",5.875
"1993-09-01",5.875
"1993-10-01",5.875
"1993-11-01",5.7386
"1993-12-01",5.375
"1994-01-01",5.375
"1994-02-01",5.1875
"1994-03-01",5.125
"1994-04-01",5.125
"1994-05-01",5.125
"1994-06-01",5.125
"1994-07-01",5.125
"1994-08-01",5.125
"1994-09-01",5.4659
"1994-10-01",5.625
"1994-11-01",5.625
"1994-12-01",6.025
"1995-01-01",6.125
"1995-02-01",6.6
"1995-03-01",6.625
"1995-04-01",6.625
"1995-05-01",6.625
"1995-06-01",6.625
"1995-07-01",6.625
"1995-08-01",6.625
"1995-09-01",6.625
"1995-10-01",6.625
"1995-11-01",6.625
"1995-12-01",6.4803
"1996-01-01",6.2614
"1996-02-01",6.125
"1996-03-01",5.9821
"1996-04-01",5.9375
"1996-05-01",5.9375
"1996-06-01",5.725
"1996-07-01",5.6875
"1996-08-01",5.6875
"1996-09-01",5.6875
"1996-10-01",5.7092
"1996-11-01",5.9375
"1996-12-01",5.9375
"1997-01-01",5.9375
"1997-02-01",5.9375
"1997-03-01",5.9375
"1997-04-01",5.9375
"1997-05-01",6.2188
"1997-06-01",6.4524
"1997-07-01",6.6739
"1997-08-01",6.95
"1997-09-01",7
"1997-10-01",7
"1997-11-01",7.2125
"1997-12-01",7.25
"1998-01-01",7.25
"1998-02-01",7.25
"1998-03-01",7.25
"1998-04-01",7.25
"1998-05-01",7.25
"1998-06-01",7.4659
"1998-07-01",7.5
"1998-08-01",7.5
"1998-09-01",7.5
"1998-10-01",7.3068
"1998-11-01",6.8214
"1998-12-01",6.4167
"1999-01-01",6.0375
"1999-02-01",5.575
"1999-03-01",5.5
"1999-04-01",5.2875
"1999-05-01",5.25
"1999-06-01",5.0795
"1999-07-01",5
"1999-08-01",5
"1999-09-01",5.1932
"1999-10-01",5.25
"1999-11-01",5.4659
"1999-12-01",5.5
"2000-01-01",5.6625
"2000-02-01",5.9167
"2000-03-01",6
"2000-04-01",6
"2000-05-01",6
"2000-06-01",6
"2000-07-01",6
"2000-08-01",6
"2000-09-01",6
