"date","value"
"1993-12-01",5.9168
"1994-01-01",5.9291
"1994-02-01",6.2516
"1994-03-01",6.9729
"1994-04-01",7.6069
"1994-05-01",7.9902
"1994-06-01",8.4648
"1994-07-01",8.2993
"1994-08-01",8.5286
"1994-09-01",8.7829
"1994-10-01",8.7232
"1994-11-01",8.5702
"1994-12-01",8.5883
"1995-01-01",8.7428
"1995-02-01",8.6405
"1995-03-01",8.553
"1995-04-01",8.3553
"1995-05-01",8.0591
"1995-06-01",7.8619
"1995-07-01",7.9779
"1995-08-01",7.7802
"1995-09-01",7.5416
"1995-10-01",7.6305
"1995-11-01",7.271
"1995-12-01",6.9362
"1996-01-01",6.9046
"1996-02-01",7.1657
"1996-03-01",7.5073
"1996-04-01",7.5826
"1996-05-01",7.5847
"1996-06-01",7.5029
"1996-07-01",7.3432
"1996-08-01",7.2348
"1996-09-01",7.2256
"1996-10-01",7.0372
"1996-11-01",7.2677
"1996-12-01",7.2874
"1997-01-01",7.2296
"1997-02-01",6.9061
"1997-03-01",7.1578
"1997-04-01",7.3684
"1997-05-01",7.0381
"1997-06-01",7.0736
"1997-07-01",7.1277
"1997-08-01",7.0926
"1997-09-01",6.8469
"1997-10-01",6.6448
"1997-11-01",6.8326
"1997-12-01",6.6011
"1998-01-01",6.3119
"1998-02-01",6.2267
"1998-03-01",6.2228
"1998-04-01",6.0528
"1998-05-01",6.0732
"1998-06-01",6.1844
"1998-07-01",6.2685
"1998-08-01",5.9459
"1998-09-01",5.4362
"1998-10-01",5.0356
"1998-11-01",4.9986
"1998-12-01",4.567
"1999-01-01",4.3541
"1999-02-01",4.5045
"1999-03-01",4.7399
"1999-04-01",4.7255
"1999-05-01",5.021
"1999-06-01",5.3652
"1999-07-01",5.5731
"1999-08-01",5.8501
"1999-09-01",6.1012
"1999-10-01",6.3557
"1999-11-01",5.9719
"1999-12-01",6.0124
"2000-01-01",6.3982
"2000-02-01",6.2398
"2000-03-01",6.0028
"2000-04-01",5.9175
"2000-05-01",5.9297
"2000-06-01",5.722
"2000-07-01",5.6865
"2000-08-01",5.7571
"2000-09-01",5.7476
"2000-10-01",5.5572
"2000-11-01",5.416
"2000-12-01",5.2174
"2001-01-01",5.1259
"2001-02-01",5.0856
"2001-03-01",4.9111
"2001-04-01",5.008
"2001-05-01",5.1985
"2001-06-01",5.3383
"2001-07-01",5.3642
"2001-08-01",5.1115
"2001-09-01",4.9542
"2001-10-01",4.7859
"2001-11-01",4.587
"2001-12-01",4.9067
"2002-01-01",4.9494
"2002-02-01",4.9616
"2002-03-01",5.2525
"2002-04-01",5.2421
"2002-05-01",5.256
"2002-06-01",5.0985
"2002-07-01",4.9361
"2002-08-01",4.584
"2002-09-01",4.3378
"2002-10-01",4.3881
"2002-11-01",4.4104
"2002-12-01",4.3539
"2003-01-01",4.1497
"2003-02-01",3.8718
"2003-03-01",3.9482
"2003-04-01",4.1054
"2003-05-01",3.8668
"2003-06-01",3.7393
"2003-07-01",3.9923
"2003-08-01",4.3802
"2003-09-01",4.5071
"2003-10-01",4.7627
"2003-11-01",4.9426
"2003-12-01",4.7448
"2004-01-01",4.6469
"2004-02-01",4.6643
"2004-03-01",4.6039
"2004-04-01",4.847
"2004-05-01",5.0596
"2004-06-01",5.2074
"2004-07-01",5.1218
