"date","value"
"1982-06-01",145351
"1982-07-01",146866
"1982-08-01",148227
"1982-09-01",149708
"1982-10-01",150542
"1982-11-01",151948
"1982-12-01",153862
"1983-01-01",156191
"1983-02-01",160432
"1983-03-01",161315
"1983-04-01",162935
"1983-05-01",164150
"1983-06-01",165955
"1983-07-01",167477
"1983-08-01",168354
"1983-09-01",169467
"1983-10-01",171027
"1983-11-01",172796
"1983-12-01",174332
"1984-01-01",177076
"1984-02-01",180229
"1984-03-01",179949
"1984-04-01",182600
"1984-05-01",185079
"1984-06-01",186664
"1984-07-01",188518
"1984-08-01",189272
"1984-09-01",191713
"1984-10-01",193690
"1984-11-01",197239
"1984-12-01",198082
"1985-01-01",202114
"1985-02-01",202910
"1985-03-01",205125
"1985-04-01",206947
"1985-05-01",208689
"1985-06-01",211078
"1985-07-01",213338
"1985-08-01",215777
"1985-09-01",217675
"1985-10-01",219831
"1985-11-01",221871
"1985-12-01",224120
"1986-01-01",228492
"1986-02-01",232183
"1986-03-01",235363
"1986-04-01",238027
"1986-05-01",241890
"1986-06-01",244484
"1986-07-01",246522
"1986-08-01",247551
"1986-09-01",249489
"1986-10-01",252013
"1986-11-01",255257
"1986-12-01",257875
"1987-01-01",261542
"1987-02-01",267336
"1987-03-01",271104
"1987-04-01",275499
"1987-05-01",278466
"1987-06-01",281350
"1987-07-01",285347
"1987-08-01",289283
"1987-09-01",292227
"1987-10-01",298004
"1987-11-01",299857
"1987-12-01",304410
"1988-01-01",306920
"1988-02-01",309687
"1988-03-01",317257
"1988-04-01",319924
"1988-05-01",323888
"1988-06-01",328908
"1988-07-01",335987
"1988-08-01",340516
"1988-09-01",345900
"1988-10-01",350009
"1988-11-01",353635
"1988-12-01",357596
"1989-01-01",363022
"1989-02-01",366620
"1989-03-01",372022
"1989-04-01",375958
"1989-05-01",382938
"1989-06-01",389670
"1989-07-01",394683
"1989-08-01",401472
"1989-09-01",407397
"1989-10-01",412458
"1989-11-01",417018
"1989-12-01",425767
"1990-01-01",432996
"1990-02-01",437411
"1990-03-01",441562
"1990-04-01",445339
"1990-05-01",450187
"1990-06-01",457512
"1990-07-01",458858
"1990-08-01",462489
"1990-09-01",466721
"1990-10-01",470436
"1990-11-01",474989
"1990-12-01",477154
"1991-01-01",480454
"1991-02-01",482723
"1991-03-01",484182
"1991-04-01",488350
"1991-05-01",490423
"1991-06-01",492965
"1991-07-01",493740
"1991-08-01",495168
"1991-09-01",498353
"1991-10-01",498668
"1991-11-01",501081
"1991-12-01",504614
"1992-01-01",505683
"1992-02-01",508458
"1992-03-01",508805
"1992-04-01",511967
"1992-05-01",512733
"1992-06-01",514645
"1992-07-01",516532
"1992-08-01",517770
"1992-09-01",520013
"1992-10-01",523163
"1992-11-01",520393
"1992-12-01",518010
"1993-01-01",517831
"1993-02-01",519708
"1993-03-01",521922
"1993-04-01",523288
"1993-05-01",526107
"1993-06-01",526492
"1993-07-01",529129
"1993-08-01",531503
"1993-09-01",532793
"1993-10-01",537664
"1993-11-01",539510
"1993-12-01",543252
"1994-01-01",547403
"1994-02-01",549312
"1994-03-01",551744
"1994-04-01",554264
"1994-05-01",555118
"1994-06-01",554839
"1994-07-01",555258
"1994-08-01",558241
"1994-09-01",559896
"1994-10-01",561370
"1994-11-01",565246
"1994-12-01",566648
"1995-01-01",570401
"1995-02-01",573931
"1995-03-01",578884
"1995-04-01",582226
"1995-05-01",588261
"1995-06-01",590902
