"date","value"
"1982-06-01",103098
"1982-07-01",104324
"1982-08-01",105683
"1982-09-01",106750
"1982-10-01",112189
"1982-11-01",113333
"1982-12-01",114569
"1983-01-01",115882
"1983-02-01",117537
"1983-03-01",118067
"1983-04-01",119024
"1983-05-01",120314
"1983-06-01",121561
"1983-07-01",122370
"1983-08-01",123540
"1983-09-01",124452
"1983-10-01",126537
"1983-11-01",127713
"1983-12-01",129229
"1984-01-01",130575
"1984-02-01",131936
"1984-03-01",133258
"1984-04-01",134630
"1984-05-01",136082
"1984-06-01",136898
"1984-07-01",138213
"1984-08-01",138044
"1984-09-01",140097
"1984-10-01",141860
"1984-11-01",144256
"1984-12-01",145622
"1985-01-01",146410
"1985-02-01",147968
"1985-03-01",149301
"1985-04-01",151015
"1985-05-01",151899
"1985-06-01",153218
"1985-07-01",155194
"1985-08-01",157203
"1985-09-01",159187
"1985-10-01",160422
"1985-11-01",163015
"1985-12-01",164521
"1986-01-01",167015
"1986-02-01",168580
"1986-03-01",170302
"1986-04-01",172654
"1986-05-01",173817
"1986-06-01",176987
"1986-07-01",179689
"1986-08-01",179477
"1986-09-01",182966
"1986-10-01",183181
"1986-11-01",184585
"1986-12-01",186640
"1987-01-01",187961
"1987-02-01",188302
"1987-03-01",190598
"1987-04-01",192063
"1987-05-01",194097
"1987-06-01",196967
"1987-07-01",197845
"1987-08-01",199516
"1987-09-01",200829
"1987-10-01",202720
"1987-11-01",205608
"1987-12-01",206538
"1988-01-01",209435
"1988-02-01",212047
"1988-03-01",214858
"1988-04-01",217485
"1988-05-01",220637
"1988-06-01",224128
"1988-07-01",227055
"1988-08-01",230575
"1988-09-01",233724
"1988-10-01",237077
"1988-11-01",238771
"1988-12-01",241256
"1989-01-01",243707
"1989-02-01",246823
"1989-03-01",248358
"1989-04-01",250733
"1989-05-01",253423
"1989-06-01",247678
"1989-07-01",250661
"1989-08-01",253137
"1989-09-01",256286
"1989-10-01",258940
"1989-11-01",261856
"1989-12-01",263928
"1990-01-01",265618
"1990-02-01",269120
"1990-03-01",272115
"1990-04-01",275700
"1990-05-01",276450
"1990-06-01",280976
"1990-07-01",283602
"1990-08-01",283921
"1990-09-01",288186
"1990-10-01",290060
"1990-11-01",289427
"1990-12-01",293845
"1991-01-01",297031
"1991-02-01",298856
"1991-03-01",301624
"1991-04-01",305476
"1991-05-01",306955
"1991-06-01",308876
"1991-07-01",310782
"1991-08-01",311713
"1991-09-01",315211
"1991-10-01",316293
"1991-11-01",318124
"1991-12-01",319450
"1992-01-01",321437
"1992-02-01",322003
"1992-03-01",324479
"1992-04-01",323605
"1992-05-01",325076
"1992-06-01",326640
"1992-07-01",327552
"1992-08-01",330087
"1992-09-01",329800
"1992-10-01",332117
"1992-11-01",332453
"1992-12-01",355663
"1993-01-01",356940
"1993-02-01",359025
"1993-03-01",360872
"1993-04-01",362147
"1993-05-01",365567
"1993-06-01",365699
"1993-07-01",366588
"1993-08-01",367956
"1993-09-01",369538
"1993-10-01",371720
"1993-11-01",374053
"1993-12-01",375973
"1994-01-01",377890
"1994-02-01",380412
"1994-03-01",380816
"1994-04-01",381449
"1994-05-01",382983
"1994-06-01",381924
"1994-07-01",384102
"1994-08-01",384872
"1994-09-01",385934
"1994-10-01",387109
"1994-11-01",388997
"1994-12-01",391119
"1995-01-01",392818
"1995-02-01",395487
"1995-03-01",397244
"1995-04-01",400764
"1995-05-01",402876
"1995-06-01",403828
"1995-07-01",407232
"1995-08-01",408914
"1995-09-01",411423
"1995-10-01",412881
"1995-11-01",414798
"1995-12-01",416524
"1996-01-01",418237
"1996-02-01",419893
"1996-03-01",423201
"1996-04-01",423293
"1996-05-01",424817
"1996-06-01",427926
"1996-07-01",426609
"1996-08-01",431249
"1996-09-01",432978
"1996-10-01",434248
"1996-11-01",436492
"1996-12-01",438843
"1997-01-01",443109
"1997-02-01",445827
"1997-03-01",447832
"1997-04-01",449063
"1997-05-01",453522
"1997-06-01",460075
"1997-07-01",459303
"1997-08-01",461486
"1997-09-01",454856
"1997-10-01",459020
"1997-11-01",460235
"1997-12-01",461274
"1998-01-01",462777
"1998-02-01",466014
"1998-03-01",466865
"1998-04-01",468463
"1998-05-01",471202
"1998-06-01",473052
"1998-07-01",476127
"1998-08-01",477708
"1998-09-01",480565
"1998-10-01",483201
