"date","value"
"1982-07-01",134832
"1982-08-01",137203
"1982-09-01",139431
"1982-10-01",141398
"1982-11-01",143313
"1982-12-01",145085
"1983-01-01",146443
"1983-02-01",148481
"1983-03-01",150599
"1983-04-01",152180
"1983-05-01",155181
"1983-06-01",156798
"1983-07-01",158029
"1983-08-01",160025
"1983-09-01",162920
"1983-10-01",164522
"1983-11-01",166466
"1983-12-01",169063
"1984-01-01",171821
"1984-02-01",174037
"1984-03-01",176557
"1984-04-01",179154
"1984-05-01",181572
"1984-06-01",183734
"1984-07-01",186140
"1984-08-01",188475
"1984-09-01",191284
"1984-10-01",194138
"1984-11-01",196847
"1984-12-01",199416
"1985-01-01",202518
"1985-02-01",204541
"1985-03-01",208953
"1985-04-01",211946
"1985-05-01",214719
"1985-06-01",217075
"1985-07-01",219648
"1985-08-01",222584
"1985-09-01",224586
"1985-10-01",227914
"1985-11-01",230563
"1985-12-01",233377
"1986-01-01",235103
"1986-02-01",239818
"1986-03-01",243485
"1986-04-01",246286
"1986-05-01",249748
"1986-06-01",254078
"1986-07-01",258013
"1986-08-01",263054
"1986-09-01",267433
"1986-10-01",272380
"1986-11-01",277531
"1986-12-01",282206
"1987-01-01",285298
"1987-02-01",289364
"1987-03-01",292703
"1987-04-01",296806
"1987-05-01",301168
"1987-06-01",306267
"1987-07-01",310982
"1987-08-01",315170
"1987-09-01",320430
"1987-10-01",324601
"1987-11-01",329521
"1987-12-01",335165
"1988-01-01",341922
"1988-02-01",346537
"1988-03-01",353662
"1988-04-01",361014
"1988-05-01",367953
"1988-06-01",375377
"1988-07-01",383603
"1988-08-01",390484
"1988-09-01",397094
"1988-10-01",404239
"1988-11-01",410360
"1988-12-01",416690
"1989-01-01",425345
"1989-02-01",430503
"1989-03-01",438186
"1989-04-01",445052
"1989-05-01",452341
"1989-06-01",458869
"1989-07-01",466160
"1989-08-01",474797
"1989-09-01",483801
"1989-10-01",489849
"1989-11-01",494518
"1989-12-01",504849
"1990-01-01",511181
"1990-02-01",518869
"1990-03-01",527555
"1990-04-01",531952
"1990-05-01",538434
"1990-06-01",545473
"1990-07-01",549499
"1990-08-01",553788
"1990-09-01",559688
"1990-10-01",565216
"1990-11-01",570018
"1990-12-01",574180
"1991-01-01",577493
"1991-02-01",582334
"1991-03-01",585718
"1991-04-01",589009
"1991-05-01",590775
"1991-06-01",592088
"1991-07-01",594289
"1991-08-01",597007
"1991-09-01",600421
"1991-10-01",600083
"1991-11-01",604000
"1991-12-01",604926
"1992-01-01",605607
"1992-02-01",607232
"1992-03-01",607987
"1992-04-01",611256
"1992-05-01",613038
"1992-06-01",615813
"1992-07-01",616832
"1992-08-01",619369
"1992-09-01",620250
"1992-10-01",623316
"1992-11-01",622610
"1992-12-01",622111
"1993-01-01",624409
"1993-02-01",625416
"1993-03-01",625070
"1993-04-01",626136
"1993-05-01",627802
"1993-06-01",628528
"1993-07-01",629362
"1993-08-01",633300
"1993-09-01",634448
"1993-10-01",635984
"1993-11-01",636673
"1993-12-01",641465
"1994-01-01",641126
"1994-02-01",640962
"1994-03-01",641789
"1994-04-01",642428
"1994-05-01",642937
"1994-06-01",646457
"1994-07-01",650189
"1994-08-01",653850
"1994-09-01",657165
"1994-10-01",659283
"1994-11-01",664640
"1994-12-01",669231
"1995-01-01",674149
"1995-02-01",675899
"1995-03-01",682174
"1995-04-01",686868
"1995-05-01",691443
"1995-06-01",692439
"1995-07-01",699576
"1995-08-01",701633
"1995-09-01",706220
"1995-10-01",711205
"1995-11-01",713104
"1995-12-01",723852
"1996-01-01",731240
"1996-02-01",735849
"1996-03-01",740715
"1996-04-01",745384
"1996-05-01",749472
"1996-06-01",755901
"1996-07-01",761953
"1996-08-01",766405
"1996-09-01",770734
"1996-10-01",779964
"1996-11-01",785936
"1996-12-01",786381
