"date","value"
"1986-09-01",82338
"1986-10-01",86233
"1986-11-01",88525
"1986-12-01",88564
"1987-01-01",96059
"1987-02-01",97392
"1987-03-01",99218
"1987-04-01",100663
"1987-05-01",103282
"1987-06-01",104328
"1987-07-01",106835
"1987-08-01",108684
"1987-09-01",108494
"1987-10-01",112527
"1987-11-01",113363
"1987-12-01",113733
"1988-01-01",115948
"1988-02-01",116190
"1988-03-01",117611
"1988-04-01",119856
"1988-05-01",120771
"1988-06-01",122152
"1988-07-01",123447
"1988-08-01",124164
"1988-09-01",125894
"1988-10-01",127489
"1988-11-01",125622
"1988-12-01",128793
"1989-01-01",129308
"1989-02-01",132389
"1989-03-01",134004
"1989-04-01",133858
"1989-05-01",136619
"1989-06-01",156219
"1989-07-01",157543
"1989-08-01",160977
"1989-09-01",162235
"1989-10-01",163728
"1989-11-01",164661
"1989-12-01",168465
"1990-01-01",168090
"1990-02-01",169351
"1990-03-01",170724
"1990-04-01",171659
"1990-05-01",172008
"1990-06-01",173383
"1990-07-01",173279
"1990-08-01",173467
"1990-09-01",175225
"1990-10-01",176064
"1990-11-01",177694
"1990-12-01",178285
"1991-01-01",178371
"1991-02-01",178509
"1991-03-01",179006
"1991-04-01",179458
"1991-05-01",181243
"1991-06-01",181757
"1991-07-01",181107
"1991-08-01",181126
"1991-09-01",183568
"1991-10-01",182263
"1991-11-01",182820
"1991-12-01",183597
"1992-01-01",185078
"1992-02-01",185093
"1992-03-01",186412
"1992-04-01",188481
"1992-05-01",186518
"1992-06-01",186869
"1992-07-01",186906
"1992-08-01",185025
"1992-09-01",189847
"1992-10-01",193978
"1992-11-01",194170
"1992-12-01",192814
"1993-01-01",192801
"1993-02-01",194968
"1993-03-01",194798
"1993-04-01",196462
"1993-05-01",197080
"1993-06-01",198738
"1993-07-01",200954
"1993-08-01",203046
"1993-09-01",203603
"1993-10-01",205700
"1993-11-01",207912
"1993-12-01",212665
"1994-01-01",215279
"1994-02-01",216701
"1994-03-01",217243
"1994-04-01",216957
"1994-05-01",217272
"1994-06-01",216040
"1994-07-01",217639
"1994-08-01",219501
"1994-09-01",218777
"1994-10-01",219317
"1994-11-01",219934
"1994-12-01",220206
"1995-01-01",221385
"1995-02-01",224388
"1995-03-01",231299
"1995-04-01",228798
"1995-05-01",230172
"1995-06-01",230126
"1995-07-01",234951
"1995-08-01",246325
"1995-09-01",248263
"1995-10-01",249448
"1995-11-01",248992
"1995-12-01",252451
"1996-01-01",254659
"1996-02-01",255116
"1996-03-01",256808
"1996-04-01",260641
"1996-05-01",258327
"1996-06-01",265765
"1996-07-01",266183
"1996-08-01",264798
"1996-09-01",273538
"1996-10-01",271146
"1996-11-01",272609
"1996-12-01",275218
"1997-01-01",279056
"1997-02-01",281117
"1997-03-01",283840
"1997-04-01",290563
"1997-05-01",296297
"1997-06-01",319171
"1997-07-01",330756
"1997-08-01",327923
"1997-09-01",325485
"1997-10-01",329819
"1997-11-01",332072
"1997-12-01",334199
"1998-01-01",336603
"1998-02-01",339997
"1998-03-01",345950
"1998-04-01",346491
"1998-05-01",350432
"1998-06-01",353009
"1998-07-01",351826
"1998-08-01",351697
"1998-09-01",354338
"1998-10-01",359600
"1998-11-01",365129
"1998-12-01",362254
"1999-01-01",365026
"1999-02-01",367774
"1999-03-01",368757
"1999-04-01",372273
"1999-05-01",371498
"1999-06-01",380708
"1999-07-01",381886
"1999-08-01",388517
"1999-09-01",385906
"1999-10-01",391362
"1999-11-01",397860
"1999-12-01",399118
"2000-01-01",405694
"2000-02-01",409784
"2000-03-01",413334
"2000-04-01",421229
"2000-05-01",428611
"2000-06-01",431616
"2000-07-01",435478
"2000-08-01",440362
"2000-09-01",440893
"2000-10-01",448856
"2000-11-01",448471
"2000-12-01",458998
"2001-01-01",462089
"2001-02-01",466389
"2001-03-01",476648
"2001-04-01",479888
"2001-05-01",481401
"2001-06-01",483794
"2001-07-01",492086
"2001-08-01",488916
"2001-09-01",499270
"2001-10-01",501666
"2001-11-01",505283
"2001-12-01",505759
"2002-01-01",501553
"2002-02-01",504246
"2002-03-01",503696
"2002-04-01",506935
"2002-05-01",512236
"2002-06-01",517758
"2002-07-01",523294
"2002-08-01",525686
"2002-09-01",532301
"2002-10-01",535710
"2002-11-01",538670
"2002-12-01",544648
"2003-01-01",544258
"2003-02-01",552118
"2003-03-01",553151
"2003-04-01",558226
"2003-05-01",563813
"2003-06-01",562626
"2003-07-01",564966
"2003-08-01",571505
"2003-09-01",577888
"2003-10-01",584370
"2003-11-01",590222
"2003-12-01",595809
"2004-01-01",603737
"2004-02-01",607430
"2004-03-01",615644
"2004-04-01",630065
"2004-05-01",618151
"2004-06-01",634237
"2004-07-01",640175
"2004-08-01",649685
"2004-09-01",652283
"2004-10-01",659564
"2004-11-01",666541
"2004-12-01",670578
"2005-01-01",678377
"2005-02-01",682887
"2005-03-01",690954
"2005-04-01",695979
"2005-05-01",703795
"2005-06-01",710507
"2005-07-01",718165
"2005-08-01",723436
"2005-09-01",732934
"2005-10-01",735661
"2005-11-01",745315
"2005-12-01",755766
"2006-01-01",753263
"2006-02-01",765305
"2006-03-01",771422
"2006-04-01",785232
"2006-05-01",780093
"2006-06-01",783652
"2006-07-01",791749
"2006-08-01",799045
"2006-09-01",800050
"2006-10-01",812533
"2006-11-01",816973
