"date","value"
"1986-12-01",167345
"1987-01-01",256360
"1987-02-01",259368
"1987-03-01",263517
"1987-04-01",267789
"1987-05-01",270662
"1987-06-01",272663
"1987-07-01",277428
"1987-08-01",280121
"1987-09-01",281174
"1987-10-01",286957
"1987-11-01",289321
"1987-12-01",291622
"1988-01-01",295120
"1988-02-01",297668
"1988-03-01",302559
"1988-04-01",304963
"1988-05-01",307354
"1988-06-01",313686
"1988-07-01",319125
"1988-08-01",323010
"1988-09-01",327805
"1988-10-01",331874
"1988-11-01",333303
"1988-12-01",339328
"1989-01-01",343482
"1989-02-01",349713
"1989-03-01",353746
"1989-04-01",357375
"1989-05-01",363841
"1989-06-01",375199
"1989-07-01",377395
"1989-08-01",384836
"1989-09-01",389506
"1989-10-01",396188
"1989-11-01",398326
"1989-12-01",406192
"1990-01-01",411033
"1990-02-01",414455
"1990-03-01",420840
"1990-04-01",424404
"1990-05-01",427456
"1990-06-01",431396
"1990-07-01",432265
"1990-08-01",435042
"1990-09-01",439542
"1990-10-01",441296
"1990-11-01",446469
"1990-12-01",448156
"1991-01-01",449378
"1991-02-01",450832
"1991-03-01",452905
"1991-04-01",454564
"1991-05-01",457300
"1991-06-01",458100
"1991-07-01",457921
"1991-08-01",459626
"1991-09-01",461691
"1991-10-01",460849
"1991-11-01",461194
"1991-12-01",462465
"1992-01-01",466117
"1992-02-01",467474
"1992-03-01",468671
"1992-04-01",472042
"1992-05-01",469291
"1992-06-01",471815
"1992-07-01",473214
"1992-08-01",472118
"1992-09-01",478017
"1992-10-01",484473
"1992-11-01",483067
"1992-12-01",481580
"1993-01-01",481940
"1993-02-01",483933
"1993-03-01",484440
"1993-04-01",486535
"1993-05-01",487024
"1993-06-01",490085
"1993-07-01",493298
"1993-08-01",495734
"1993-09-01",497186
"1993-10-01",500895
"1993-11-01",503872
"1993-12-01",509230
"1994-01-01",510111
"1994-02-01",514206
"1994-03-01",515852
"1994-04-01",514518
"1994-05-01",517714
"1994-06-01",517114
"1994-07-01",516558
"1994-08-01",518448
"1994-09-01",521863
"1994-10-01",521418
"1994-11-01",524781
"1994-12-01",527188
"1995-01-01",529758
"1995-02-01",533688
"1995-03-01",542891
"1995-04-01",542967
"1995-05-01",546576
"1995-06-01",550542
"1995-07-01",558168
"1995-08-01",564096
"1995-09-01",568027
"1995-10-01",573720
"1995-11-01",577769
"1995-12-01",580786
"1996-01-01",588696
"1996-02-01",591428
"1996-03-01",595987
"1996-04-01",601074
"1996-05-01",601691
"1996-06-01",610763
"1996-07-01",613587
"1996-08-01",617748
"1996-09-01",627412
"1996-10-01",627199
"1996-11-01",633329
"1996-12-01",637983
"1997-01-01",648760
"1997-02-01",654800
"1997-03-01",659775
"1997-04-01",663293
"1997-05-01",669284
"1997-06-01",691890
"1997-07-01",697562
"1997-08-01",700537
"1997-09-01",660500
"1997-10-01",680614
"1997-11-01",684575
"1997-12-01",691563
"1998-01-01",693295
"1998-02-01",696677
"1998-03-01",700752
"1998-04-01",703328
"1998-05-01",706409
"1998-06-01",708270
"1998-07-01",713903
"1998-08-01",716594
"1998-09-01",722294
"1998-10-01",726142
"1998-11-01",729029
"1998-12-01",732275
"1999-01-01",728178
"1999-02-01",730658
"1999-03-01",728469
"1999-04-01",734323
"1999-05-01",738225
"1999-06-01",742197
"1999-07-01",742929
"1999-08-01",743953
"1999-09-01",738145
"1999-10-01",741826
"1999-11-01",748089
"1999-12-01",754935
"2000-01-01",755016
"2000-02-01",762551
"2000-03-01",765306
"2000-04-01",775423
"2000-05-01",786475
"2000-06-01",792300
"2000-07-01",793545
"2000-08-01",801135
"2000-09-01",804815
"2000-10-01",812461
"2000-11-01",816920
"2000-12-01",825877
"2001-01-01",834795
"2001-02-01",833799
"2001-03-01",848452
"2001-04-01",849657
"2001-05-01",850890
"2001-06-01",852945
"2001-07-01",865081
"2001-08-01",867447
"2001-09-01",879860
"2001-10-01",886073
"2001-11-01",887339
"2001-12-01",892120
"2002-01-01",885665
"2002-02-01",887694
"2002-03-01",892181
"2002-04-01",894430
"2002-05-01",899916
"2002-06-01",903019
"2002-07-01",909222
"2002-08-01",917625
"2002-09-01",917430
"2002-10-01",927119
"2002-11-01",930616
"2002-12-01",932616
"2003-01-01",932027
"2003-02-01",943644
"2003-03-01",940328
"2003-04-01",947375
"2003-05-01",950875
"2003-06-01",958812
"2003-07-01",963646
"2003-08-01",968768
"2003-09-01",971820
"2003-10-01",978354
"2003-11-01",988299
"2003-12-01",997855
"2004-01-01",1006991
"2004-02-01",1014018
"2004-03-01",1019850
"2004-04-01",1029100
"2004-05-01",1032473
"2004-06-01",1047493
"2004-07-01",1052858
"2004-08-01",1065098
"2004-09-01",1073327
"2004-10-01",1081767
"2004-11-01",1093099
"2004-12-01",1098014
"2005-01-01",1109911
"2005-02-01",1114266
"2005-03-01",1126599
"2005-04-01",1141025
"2005-05-01",1156683
"2005-06-01",1163905
"2005-07-01",1176744
"2005-08-01",1173390
"2005-09-01",1193045
"2005-10-01",1202476
"2005-11-01",1212732
"2005-12-01",1226962
"2006-01-01",1233044
"2006-02-01",1252302
"2006-03-01",1261564
"2006-04-01",1275479
"2006-05-01",1279388
"2006-06-01",1297944
"2006-07-01",1310761
"2006-08-01",1321922
"2006-09-01",1340643
"2006-10-01",1362181
"2006-11-01",1373455
"2006-12-01",1399270
"2007-01-01",1400711
"2007-02-01",1419770
"2007-03-01",1441521
"2007-04-01",1459028
"2007-05-01",1480562
"2007-06-01",1498317
"2007-07-01",1512982
"2007-08-01",1538968
"2007-09-01",1538589
"2007-10-01",1529372
"2007-11-01",1539780
"2007-12-01",1552892
"2008-01-01",1614621
"2008-02-01",1619465
"2008-03-01",1642414
"2008-04-01",1653913
"2008-05-01",1659378
"2008-06-01",1671095
"2008-07-01",1673933
"2008-08-01",1680617
"2008-09-01",1687879
"2008-10-01",1743319
"2008-11-01",1793214
"2008-12-01",1838198
"2009-01-01",1847637
"2009-02-01",1839012
"2009-03-01",1852042
"2009-04-01",1828253
"2009-05-01",1821435
"2009-06-01",1813587
"2009-07-01",1825931
"2009-08-01",1837901
"2009-09-01",1860492
"2009-10-01",1897889
"2009-11-01",1898791
"2009-12-01",1900573
"2010-01-01",2092271
"2010-02-01",2119908
"2010-03-01",2103919
"2010-04-01",2075276
"2010-05-01",2090895
"2010-06-01",2093009
"2010-07-01",2089698
"2010-08-01",2080820
"2010-09-01",2081637
"2010-10-01",2092952
"2010-11-01",2083468
"2010-12-01",2079596
"2011-01-01",2065682
"2011-02-01",2059770
"2011-03-01",2083282
"2011-04-01",2083892
"2011-05-01",2086023
"2011-06-01",2083048
"2011-07-01",2079055
"2011-08-01",2090271
"2011-09-01",2091069
"2011-10-01",2069772
"2011-11-01",2075074
"2011-12-01",2034678
"2012-01-01",2049451
"2012-02-01",2016287
"2012-03-01",2022847
"2012-04-01",2032826
"2012-05-01",2036784
"2012-06-01",2028157
"2012-07-01",2029020
"2012-08-01",2024921
"2012-09-01",2023223
"2012-10-01",2021657
"2012-11-01",2019848
"2012-12-01",2043235
"2013-01-01",2056179
"2013-02-01",2075630
"2013-03-01",2074362
"2013-04-01",2079907
"2013-05-01",2081426
"2013-06-01",2086371
"2013-07-01",2100012
"2013-08-01",2105721
"2013-09-01",2089688
"2013-10-01",2104088
"2013-11-01",2100651
"2013-12-01",2078325
"2014-01-01",2092009
"2014-02-01",2110421
"2014-03-01",2084005
"2014-04-01",2077787
"2014-05-01",2072543
"2014-06-01",2063826
"2014-07-01",2065080
"2014-08-01",2065861
"2014-09-01",2073259
"2014-10-01",2061223
"2014-11-01",2068391
"2014-12-01",2080404
"2015-01-01",2073863
"2015-02-01",2070238
"2015-03-01",2088224
"2015-04-01",2093897
"2015-05-01",2090315
"2015-06-01",2088203
"2015-07-01",2102137
"2015-08-01",2103060
"2015-09-01",2111993
"2015-10-01",2124274
"2015-11-01",2120913
"2015-12-01",2132956
"2016-01-01",2158926
"2016-02-01",2181959
"2016-03-01",2183233
"2016-04-01",2177889
"2016-05-01",2179994
"2016-06-01",2245899
"2016-07-01",2255202
"2016-08-01",2269349
"2016-09-01",2275839
"2016-10-01",2290207
"2016-11-01",2277540
"2016-12-01",2280486
"2017-01-01",2281094
"2017-02-01",2287195
"2017-03-01",2294942
"2017-04-01",2301994
"2017-05-01",2309355
"2017-06-01",2315542
"2017-07-01",2310164
"2017-08-01",2332394
"2017-09-01",2338220
"2017-10-01",2340027
"2017-11-01",2344733
"2017-12-01",2345905
"2018-01-01",2357327
"2018-02-01",2359064
"2018-03-01",2347350
"2018-04-01",2352018
"2018-05-01",2372078
"2018-06-01",2371794
"2018-07-01",2371515
"2018-08-01",2375109
"2018-09-01",2388726
"2018-10-01",2416323
"2018-11-01",2414532
"2018-12-01",2414661
"2019-01-01",2407095
"2019-02-01",2403408
"2019-03-01",2415252
"2019-04-01",2415069
"2019-05-01",2406096
"2019-06-01",2415634
"2019-07-01",2417963
"2019-08-01",2429544
"2019-09-01",2429284
"2019-10-01",2419682
"2019-11-01",2430499
"2019-12-01",2446469
"2020-01-01",2456353
"2020-02-01",2481802
"2020-03-01",2604354
"2020-04-01",2639243
"2020-05-01",2682669
"2020-06-01",2700206
"2020-07-01",2715657
"2020-08-01",2719165
"2020-09-01",2729072
"2020-10-01",2757361
"2020-11-01",2769711
"2020-12-01",2810498
"2021-01-01",2821197
"2021-02-01",2842770
"2021-03-01",2860283
"2021-04-01",2874615
"2021-05-01",2871084
"2021-06-01",2887512
"2021-07-01",2891845
"2021-08-01",2890538
"2021-09-01",2933237
"2021-10-01",2945600
"2021-11-01",2967643
"2021-12-01",2979062
"2022-01-01",2971277
"2022-02-01",2988808
"2022-03-01",3035863
"2022-04-01",3038735
"2022-05-01",3041076
"2022-06-01",3068116
"2022-07-01",3075954
"2022-08-01",3105198
"2022-09-01",3217209
"2022-10-01",3098520
"2022-11-01",3095524
"2022-12-01",3067531
"2023-01-01",3096246
"2023-02-01",3099566
"2023-03-01",3074346
