"date","value"
"2009-07-01",1537435
"2009-08-01",1540814
"2009-09-01",1536234
"2009-10-01",1537847
"2009-11-01",1540045
"2009-12-01",1541530
"2010-01-01",1546330
"2010-02-01",1546426
"2010-03-01",1554817
"2010-04-01",1550995
"2010-05-01",1554198
"2010-06-01",1557567
"2010-07-01",1554283
"2010-08-01",1556157
"2010-09-01",1562843
"2010-10-01",1545366
"2010-11-01",1555034
"2010-12-01",1571236
"2011-01-01",1544693
"2011-02-01",1546322
"2011-03-01",1547543
"2011-04-01",1542749
"2011-05-01",1547864
"2011-06-01",1548645
"2011-07-01",1557515
"2011-08-01",1563951
"2011-09-01",1563540
"2011-10-01",1567104
"2011-11-01",1563369
"2011-12-01",1559721
"2012-01-01",1570692
"2012-02-01",1572193
"2012-03-01",1582020
"2012-04-01",1592335
"2012-05-01",1591131
"2012-06-01",1606397
"2012-07-01",1617848
"2012-08-01",1628324
"2012-09-01",1633002
"2012-10-01",1636933
"2012-11-01",1643942
"2012-12-01",1642721
"2013-01-01",1649080
"2013-02-01",1657013
"2013-03-01",1660638
"2013-04-01",1668567
"2013-05-01",1674230
"2013-06-01",1678743
"2013-07-01",1683046
"2013-08-01",1693283
"2013-09-01",1699217
"2013-10-01",1704080
"2013-11-01",1720057
"2013-12-01",1715289
"2014-01-01",1717839
"2014-02-01",1730951
"2014-03-01",1734110
"2014-04-01",1738752
"2014-05-01",1743055
"2014-06-01",1756891
"2014-07-01",1756182
"2014-08-01",1764503
"2014-09-01",1772074
"2014-10-01",1765730
"2014-11-01",1775371
"2014-12-01",1790702
"2015-01-01",1797308
"2015-02-01",1800099
"2015-03-01",1810977
"2015-04-01",1816461
"2015-05-01",1820588
"2015-06-01",1821177
"2015-07-01",1830756
"2015-08-01",1829148
"2015-09-01",1838225
"2015-10-01",1847042
"2015-11-01",1858702
"2015-12-01",1860258
"2016-01-01",1873429
"2016-02-01",1886503
"2016-03-01",1889587
"2016-04-01",1889237
"2016-05-01",1906930
"2016-06-01",1935524
"2016-07-01",1963772
"2016-08-01",1967634
"2016-09-01",1982948
"2016-10-01",1993691
"2016-11-01",1990173
"2016-12-01",1997336
"2017-01-01",2001825
"2017-02-01",2011856
"2017-03-01",2029430
"2017-04-01",2039391
"2017-05-01",2045761
"2017-06-01",2055289
"2017-07-01",2049844
"2017-08-01",2068543
"2017-09-01",2076822
"2017-10-01",2080786
"2017-11-01",2090348
"2017-12-01",2095755
"2018-01-01",2106842
"2018-02-01",2107385
"2018-03-01",2108181
"2018-04-01",2112381
"2018-05-01",2136145
"2018-06-01",2133326
"2018-07-01",2127950
"2018-08-01",2133723
"2018-09-01",2129724
"2018-10-01",2139389
"2018-11-01",2140447
"2018-12-01",2151997
"2019-01-01",2149111
"2019-02-01",2155470
"2019-03-01",2160891
"2019-04-01",2172803
"2019-05-01",2176060
"2019-06-01",2176326
"2019-07-01",2191609
"2019-08-01",2205755
"2019-09-01",2213287
"2019-10-01",2215041
"2019-11-01",2227929
"2019-12-01",2234390
"2020-01-01",2243287
"2020-02-01",2254407
"2020-03-01",2327398
"2020-04-01",2373046
"2020-05-01",2426843
"2020-06-01",2440413
"2020-07-01",2466880
"2020-08-01",2464790
"2020-09-01",2468962
"2020-10-01",2497318
"2020-11-01",2528940
"2020-12-01",2543316
"2021-01-01",2574513
"2021-02-01",2593212
"2021-03-01",2607119
"2021-04-01",2626875
"2021-05-01",2631214
"2021-06-01",2649305
"2021-07-01",2652553
"2021-08-01",2660063
"2021-09-01",2671558
"2021-10-01",2691859
"2021-11-01",2703991
"2021-12-01",2707071
"2022-01-01",2716319
"2022-02-01",2726780
"2022-03-01",2755868
"2022-04-01",2755969
"2022-05-01",2776871
"2022-06-01",2770437
"2022-07-01",2785655
"2022-08-01",2790904
"2022-09-01",2862961
"2022-10-01",2842470
"2022-11-01",2817133
"2022-12-01",2780403
"2023-01-01",2819198
"2023-02-01",2814917
"2023-03-01",2796749
