"date","series_id","value","realtime_start","realtime_end"
1996-12-01,"BAMLH0A2HYBEY",NA,2023-01-20,2023-01-20
1997-01-01,"BAMLH0A2HYBEY",9.99,2023-01-20,2023-01-20
1997-02-01,"BAMLH0A2HYBEY",9.76,2023-01-20,2023-01-20
1997-03-01,"BAMLH0A2HYBEY",9.75,2023-01-20,2023-01-20
1997-04-01,"BAMLH0A2HYBEY",10.21,2023-01-20,2023-01-20
1997-05-01,"BAMLH0A2HYBEY",9.82,2023-01-20,2023-01-20
1997-06-01,"BAMLH0A2HYBEY",9.58,2023-01-20,2023-01-20
1997-07-01,"BAMLH0A2HYBEY",9.52,2023-01-20,2023-01-20
1997-08-01,"BAMLH0A2HYBEY",9.44,2023-01-20,2023-01-20
1997-09-01,"BAMLH0A2HYBEY",9.5,2023-01-20,2023-01-20
1997-10-01,"BAMLH0A2HYBEY",9.39,2023-01-20,2023-01-20
1997-11-01,"BAMLH0A2HYBEY",9.5,2023-01-20,2023-01-20
1997-12-01,"BAMLH0A2HYBEY",9.41,2023-01-20,2023-01-20
1998-01-01,"BAMLH0A2HYBEY",9.26,2023-01-20,2023-01-20
1998-02-01,"BAMLH0A2HYBEY",9.06,2023-01-20,2023-01-20
1998-03-01,"BAMLH0A2HYBEY",9.07,2023-01-20,2023-01-20
1998-04-01,"BAMLH0A2HYBEY",9.05,2023-01-20,2023-01-20
1998-05-01,"BAMLH0A2HYBEY",9.15,2023-01-20,2023-01-20
1998-06-01,"BAMLH0A2HYBEY",9.21,2023-01-20,2023-01-20
1998-07-01,"BAMLH0A2HYBEY",9.26,2023-01-20,2023-01-20
1998-08-01,"BAMLH0A2HYBEY",9.9,2023-01-20,2023-01-20
1998-09-01,"BAMLH0A2HYBEY",11.29,2023-01-20,2023-01-20
1998-10-01,"BAMLH0A2HYBEY",12.05,2023-01-20,2023-01-20
1998-11-01,"BAMLH0A2HYBEY",11.24,2023-01-20,2023-01-20
1998-12-01,"BAMLH0A2HYBEY",10.64,2023-01-20,2023-01-20
1999-01-01,"BAMLH0A2HYBEY",10.71,2023-01-20,2023-01-20
1999-02-01,"BAMLH0A2HYBEY",10.69,2023-01-20,2023-01-20
1999-03-01,"BAMLH0A2HYBEY",10.75,2023-01-20,2023-01-20
1999-04-01,"BAMLH0A2HYBEY",10.19,2023-01-20,2023-01-20
1999-05-01,"BAMLH0A2HYBEY",10.24,2023-01-20,2023-01-20
1999-06-01,"BAMLH0A2HYBEY",10.59,2023-01-20,2023-01-20
1999-07-01,"BAMLH0A2HYBEY",10.7,2023-01-20,2023-01-20
1999-08-01,"BAMLH0A2HYBEY",11.15,2023-01-20,2023-01-20
1999-09-01,"BAMLH0A2HYBEY",11.33,2023-01-20,2023-01-20
1999-10-01,"BAMLH0A2HYBEY",11.6,2023-01-20,2023-01-20
1999-11-01,"BAMLH0A2HYBEY",11.19,2023-01-20,2023-01-20
1999-12-01,"BAMLH0A2HYBEY",11.04,2023-01-20,2023-01-20
2000-01-01,"BAMLH0A2HYBEY",11.26,2023-01-20,2023-01-20
2000-02-01,"BAMLH0A2HYBEY",11.37,2023-01-20,2023-01-20
2000-03-01,"BAMLH0A2HYBEY",11.83,2023-01-20,2023-01-20
2000-04-01,"BAMLH0A2HYBEY",12.2,2023-01-20,2023-01-20
2000-05-01,"BAMLH0A2HYBEY",12.48,2023-01-20,2023-01-20
2000-06-01,"BAMLH0A2HYBEY",12.33,2023-01-20,2023-01-20
2000-07-01,"BAMLH0A2HYBEY",12.29,2023-01-20,2023-01-20
2000-08-01,"BAMLH0A2HYBEY",12.4,2023-01-20,2023-01-20
2000-09-01,"BAMLH0A2HYBEY",12.6,2023-01-20,2023-01-20
2000-10-01,"BAMLH0A2HYBEY",13.37,2023-01-20,2023-01-20
2000-11-01,"BAMLH0A2HYBEY",14.26,2023-01-20,2023-01-20
2000-12-01,"BAMLH0A2HYBEY",14.97,2023-01-20,2023-01-20
2001-01-01,"BAMLH0A2HYBEY",13.77,2023-01-20,2023-01-20
2001-02-01,"BAMLH0A2HYBEY",12.75,2023-01-20,2023-01-20
2001-03-01,"BAMLH0A2HYBEY",13.02,2023-01-20,2023-01-20
2001-04-01,"BAMLH0A2HYBEY",13.74,2023-01-20,2023-01-20
2001-05-01,"BAMLH0A2HYBEY",12.9,2023-01-20,2023-01-20
2001-06-01,"BAMLH0A2HYBEY",13.42,2023-01-20,2023-01-20
2001-07-01,"BAMLH0A2HYBEY",13.15,2023-01-20,2023-01-20
2001-08-01,"BAMLH0A2HYBEY",12.83,2023-01-20,2023-01-20
2001-09-01,"BAMLH0A2HYBEY",13.2,2023-01-20,2023-01-20
2001-10-01,"BAMLH0A2HYBEY",13.57,2023-01-20,2023-01-20
2001-11-01,"BAMLH0A2HYBEY",12.73,2023-01-20,2023-01-20
2001-12-01,"BAMLH0A2HYBEY",11.8,2023-01-20,2023-01-20
2002-01-01,"BAMLH0A2HYBEY",11.26,2023-01-20,2023-01-20
2002-02-01,"BAMLH0A2HYBEY",11.32,2023-01-20,2023-01-20
2002-03-01,"BAMLH0A2HYBEY",11.16,2023-01-20,2023-01-20
2002-04-01,"BAMLH0A2HYBEY",11.04,2023-01-20,2023-01-20
2002-05-01,"BAMLH0A2HYBEY",10.92,2023-01-20,2023-01-20
2002-06-01,"BAMLH0A2HYBEY",11.61,2023-01-20,2023-01-20
2002-07-01,"BAMLH0A2HYBEY",14.21,2023-01-20,2023-01-20
2002-08-01,"BAMLH0A2HYBEY",13.68,2023-01-20,2023-01-20
2002-09-01,"BAMLH0A2HYBEY",13.26,2023-01-20,2023-01-20
2002-10-01,"BAMLH0A2HYBEY",13.71,2023-01-20,2023-01-20
2002-11-01,"BAMLH0A2HYBEY",12.73,2023-01-20,2023-01-20
2002-12-01,"BAMLH0A2HYBEY",11.81,2023-01-20,2023-01-20
2003-01-01,"BAMLH0A2HYBEY",10.74,2023-01-20,2023-01-20
2003-02-01,"BAMLH0A2HYBEY",10.88,2023-01-20,2023-01-20
2003-03-01,"BAMLH0A2HYBEY",10.31,2023-01-20,2023-01-20
2003-04-01,"BAMLH0A2HYBEY",9.58,2023-01-20,2023-01-20
