"date","series_id","value","realtime_start","realtime_end"
1990-04-01,"DRTSCILM",54.4,2023-01-20,2023-01-20
1990-07-01,"DRTSCILM",46.7,2023-01-20,2023-01-20
1990-10-01,"DRTSCILM",54.2,2023-01-20,2023-01-20
1991-01-01,"DRTSCILM",38.6,2023-01-20,2023-01-20
1991-04-01,"DRTSCILM",20,2023-01-20,2023-01-20
1991-07-01,"DRTSCILM",18.6,2023-01-20,2023-01-20
1991-10-01,"DRTSCILM",16.7,2023-01-20,2023-01-20
1992-01-01,"DRTSCILM",10,2023-01-20,2023-01-20
1992-04-01,"DRTSCILM",3.5,2023-01-20,2023-01-20
1992-07-01,"DRTSCILM",-3.4,2023-01-20,2023-01-20
1992-10-01,"DRTSCILM",5.2,2023-01-20,2023-01-20
1993-01-01,"DRTSCILM",3.4,2023-01-20,2023-01-20
1993-04-01,"DRTSCILM",-12.1,2023-01-20,2023-01-20
1993-07-01,"DRTSCILM",-25,2023-01-20,2023-01-20
1993-10-01,"DRTSCILM",-20,2023-01-20,2023-01-20
1994-01-01,"DRTSCILM",-18.6,2023-01-20,2023-01-20
1994-04-01,"DRTSCILM",-15.5,2023-01-20,2023-01-20
1994-07-01,"DRTSCILM",-10.3,2023-01-20,2023-01-20
1994-10-01,"DRTSCILM",-22.4,2023-01-20,2023-01-20
1995-01-01,"DRTSCILM",-10.2,2023-01-20,2023-01-20
1995-04-01,"DRTSCILM",-6.8,2023-01-20,2023-01-20
1995-07-01,"DRTSCILM",-8.6,2023-01-20,2023-01-20
1995-10-01,"DRTSCILM",-5.2,2023-01-20,2023-01-20
1996-01-01,"DRTSCILM",6.9,2023-01-20,2023-01-20
1996-04-01,"DRTSCILM",-1.8,2023-01-20,2023-01-20
1996-07-01,"DRTSCILM",-7.4,2023-01-20,2023-01-20
1996-10-01,"DRTSCILM",-8.6,2023-01-20,2023-01-20
1997-01-01,"DRTSCILM",-8.9,2023-01-20,2023-01-20
1997-04-01,"DRTSCILM",-10.3,2023-01-20,2023-01-20
1997-07-01,"DRTSCILM",-5.8,2023-01-20,2023-01-20
1997-10-01,"DRTSCILM",-7,2023-01-20,2023-01-20
1998-01-01,"DRTSCILM",1.8,2023-01-20,2023-01-20
1998-04-01,"DRTSCILM",-7.1,2023-01-20,2023-01-20
1998-07-01,"DRTSCILM",0,2023-01-20,2023-01-20
1998-10-01,"DRTSCILM",36.4,2023-01-20,2023-01-20
1999-01-01,"DRTSCILM",7.4,2023-01-20,2023-01-20
1999-04-01,"DRTSCILM",10,2023-01-20,2023-01-20
1999-07-01,"DRTSCILM",5.4,2023-01-20,2023-01-20
1999-10-01,"DRTSCILM",9.1,2023-01-20,2023-01-20
2000-01-01,"DRTSCILM",10.9,2023-01-20,2023-01-20
2000-04-01,"DRTSCILM",24.6,2023-01-20,2023-01-20
2000-07-01,"DRTSCILM",33.9,2023-01-20,2023-01-20
2000-10-01,"DRTSCILM",43.9,2023-01-20,2023-01-20
2001-01-01,"DRTSCILM",59.6,2023-01-20,2023-01-20
2001-04-01,"DRTSCILM",50.9,2023-01-20,2023-01-20
2001-07-01,"DRTSCILM",40.4,2023-01-20,2023-01-20
2001-10-01,"DRTSCILM",50.9,2023-01-20,2023-01-20
2002-01-01,"DRTSCILM",45.5,2023-01-20,2023-01-20
2002-04-01,"DRTSCILM",25,2023-01-20,2023-01-20
2002-07-01,"DRTSCILM",21.4,2023-01-20,2023-01-20
2002-10-01,"DRTSCILM",20,2023-01-20,2023-01-20
2003-01-01,"DRTSCILM",22,2023-01-20,2023-01-20
2003-04-01,"DRTSCILM",8.9,2023-01-20,2023-01-20
2003-07-01,"DRTSCILM",3.4,2023-01-20,2023-01-20
2003-10-01,"DRTSCILM",0,2023-01-20,2023-01-20
2004-01-01,"DRTSCILM",-17.9,2023-01-20,2023-01-20
2004-04-01,"DRTSCILM",-22.8,2023-01-20,2023-01-20
2004-07-01,"DRTSCILM",-20,2023-01-20,2023-01-20
2004-10-01,"DRTSCILM",-21.1,2023-01-20,2023-01-20
2005-01-01,"DRTSCILM",-23.6,2023-01-20,2023-01-20
2005-04-01,"DRTSCILM",-24.1,2023-01-20,2023-01-20
2005-07-01,"DRTSCILM",-16.7,2023-01-20,2023-01-20
2005-10-01,"DRTSCILM",-8.8,2023-01-20,2023-01-20
2006-01-01,"DRTSCILM",-10.7,2023-01-20,2023-01-20
2006-04-01,"DRTSCILM",-12.3,2023-01-20,2023-01-20
2006-07-01,"DRTSCILM",-8.9,2023-01-20,2023-01-20
2006-10-01,"DRTSCILM",0,2023-01-20,2023-01-20
2007-01-01,"DRTSCILM",0,2023-01-20,2023-01-20
2007-04-01,"DRTSCILM",-3.8,2023-01-20,2023-01-20
2007-07-01,"DRTSCILM",7.5,2023-01-20,2023-01-20
2007-10-01,"DRTSCILM",19.2,2023-01-20,2023-01-20
2008-01-01,"DRTSCILM",32.1,2023-01-20,2023-01-20
2008-04-01,"DRTSCILM",55.4,2023-01-20,2023-01-20
2008-07-01,"DRTSCILM",57.7,2023-01-20,2023-01-20
2008-10-01,"DRTSCILM",83.6,2023-01-20,2023-01-20
2009-01-01,"DRTSCILM",64.2,2023-01-20,2023-01-20
2009-04-01,"DRTSCILM",39.6,2023-01-20,2023-01-20
2009-07-01,"DRTSCILM",31.5,2023-01-20,2023-01-20
2009-10-01,"DRTSCILM",14,2023-01-20,2023-01-20
2010-01-01,"DRTSCILM",-5.5,2023-01-20,2023-01-20
2010-04-01,"DRTSCILM",-7.1,2023-01-20,2023-01-20
2010-07-01,"DRTSCILM",-8.8,2023-01-20,2023-01-20
2010-10-01,"DRTSCILM",-10.5,2023-01-20,2023-01-20
2011-01-01,"DRTSCILM",-10.5,2023-01-20,2023-01-20
2011-04-01,"DRTSCILM",-16.4,2023-01-20,2023-01-20
2011-07-01,"DRTSCILM",-21.8,2023-01-20,2023-01-20
2011-10-01,"DRTSCILM",-5.9,2023-01-20,2023-01-20
2012-01-01,"DRTSCILM",5.4,2023-01-20,2023-01-20
2012-04-01,"DRTSCILM",-6.9,2023-01-20,2023-01-20
2012-07-01,"DRTSCILM",-9.5,2023-01-20,2023-01-20
2012-10-01,"DRTSCILM",-7.6,2023-01-20,2023-01-20
