"date","open","high","low","close","adjusted_close","volume","dividend_amount","split_coefficient"
"2023-03-28",122.36,122.7128,122.07,122.42,122.42,11754,0,1
"2023-03-27",121.73,122.01,120.7,121.48,121.48,827189,0,1
"2023-03-24",119.94,120.96,119.19,120.835,120.835,18366,0,1
"2023-03-23",122.5,123.216,119.81,120.85,120.85,64205,0,1
"2023-03-22",123.85,124.7485,121.4,121.46,121.46,24805,0,1
"2023-03-21",123.32,124.36,123.32,124.1,124.1,35381,0,1
"2023-03-20",121.11,122.9,121.11,121.84,121.84,24077,0.4244,1
"2023-03-17",122.57,122.57,120.87,121.21,120.789240238493,19672,0,1
"2023-03-16",120.38,123.5,120.38,123.16,122.732471147371,59817,0,1
"2023-03-15",120.7674,121.655,119.88,121.56,121.13802527342,29978,0,1
"2023-03-14",123.77,124.12,121.935,122.8587,122.432217058732,11729,0,1
"2023-03-13",121.97,123.11,120.9,122.06,121.636289609029,62963,0,1
"2023-03-10",124.355,126.07,122.69,123.33,122.901881021478,269543,0,1
"2023-03-09",128.33,128.81,125.23,125.34,124.904903650629,30592,0,1
"2023-03-08",128.48,128.625,127.46,128.61,128.163552405516,18673,0,1
"2023-03-07",129.765,130.1647,128.49,128.49,128.04396896497,14084,0,1
"2023-03-06",131.32,131.78,130.04,130.07,129.618484265496,29760,0,1
"2023-03-03",130.1,131.23,130.1,131.2,130.744561663974,16434,0,1
"2023-03-02",126.94,129.4811,126.94,129.2,128.751504321535,15040,0,1
"2023-03-01",128.84,128.92,127.79,128.07,127.625426923057,31483,0,1
"2023-02-28",128.54,129.54,128.54,128.87,128.422649860033,19785,0,1
"2023-02-27",129.13,129.554,128.53,128.84,128.392753999896,15618,0,1
"2023-02-24",128.16,128.58,127.43,128.18,127.735045076892,62943,0,1
"2023-02-23",130.75,130.75,128.38,129.85,129.399247957828,11373,0,1
"2023-02-22",130.03,130.77,129.9301,130.33,129.877581720013,15649,0,1
"2023-02-21",131.74,132.2449,129.9147,129.99,129.538761971798,23428,0,1
"2023-02-17",133.93,133.93,132.5907,133.74,133.275744488871,21240,0,1
"2023-02-16",134.69,135.89,133.87,134.5,134.033106278998,20784,0,1
"2023-02-15",134.86,136.3,134.86,136.3,135.826857887192,14793,0,1
