"date","series_id","value","realtime_start","realtime_end"
1990-01-01,"TEMPHELPS",1160.2,2023-01-20,2023-01-20
1990-02-01,"TEMPHELPS",1165.2,2023-01-20,2023-01-20
1990-03-01,"TEMPHELPS",1169.5,2023-01-20,2023-01-20
1990-04-01,"TEMPHELPS",1163.5,2023-01-20,2023-01-20
1990-05-01,"TEMPHELPS",1161.1,2023-01-20,2023-01-20
1990-06-01,"TEMPHELPS",1162.8,2023-01-20,2023-01-20
1990-07-01,"TEMPHELPS",1166.9,2023-01-20,2023-01-20
1990-08-01,"TEMPHELPS",1159.4,2023-01-20,2023-01-20
1990-09-01,"TEMPHELPS",1164.1,2023-01-20,2023-01-20
1990-10-01,"TEMPHELPS",1140.5,2023-01-20,2023-01-20
1990-11-01,"TEMPHELPS",1135.2,2023-01-20,2023-01-20
1990-12-01,"TEMPHELPS",1125.8,2023-01-20,2023-01-20
1991-01-01,"TEMPHELPS",1144.6,2023-01-20,2023-01-20
1991-02-01,"TEMPHELPS",1127.1,2023-01-20,2023-01-20
1991-03-01,"TEMPHELPS",1116.1,2023-01-20,2023-01-20
1991-04-01,"TEMPHELPS",1112.8,2023-01-20,2023-01-20
1991-05-01,"TEMPHELPS",1111.8,2023-01-20,2023-01-20
1991-06-01,"TEMPHELPS",1113.7,2023-01-20,2023-01-20
1991-07-01,"TEMPHELPS",1111.7,2023-01-20,2023-01-20
1991-08-01,"TEMPHELPS",1121.2,2023-01-20,2023-01-20
1991-09-01,"TEMPHELPS",1130.5,2023-01-20,2023-01-20
1991-10-01,"TEMPHELPS",1132,2023-01-20,2023-01-20
1991-11-01,"TEMPHELPS",1133.1,2023-01-20,2023-01-20
1991-12-01,"TEMPHELPS",1139,2023-01-20,2023-01-20
1992-01-01,"TEMPHELPS",1149.3,2023-01-20,2023-01-20
1992-02-01,"TEMPHELPS",1156.7,2023-01-20,2023-01-20
1992-03-01,"TEMPHELPS",1170.5,2023-01-20,2023-01-20
1992-04-01,"TEMPHELPS",1182.9,2023-01-20,2023-01-20
1992-05-01,"TEMPHELPS",1197.9,2023-01-20,2023-01-20
