"date","series_id","value","realtime_start","realtime_end"
1973-01-01,"TOTBKCR",569.7089,2023-01-25,2023-01-25
1973-02-01,"TOTBKCR",577.518,2023-01-25,2023-01-25
1973-03-01,"TOTBKCR",586.1701,2023-01-25,2023-01-25
1973-04-01,"TOTBKCR",591.1341,2023-01-25,2023-01-25
1973-05-01,"TOTBKCR",598.963,2023-01-25,2023-01-25
1973-06-01,"TOTBKCR",605.4626,2023-01-25,2023-01-25
1973-07-01,"TOTBKCR",610.7133,2023-01-25,2023-01-25
1973-08-01,"TOTBKCR",616.2351,2023-01-25,2023-01-25
1973-09-01,"TOTBKCR",622.0711,2023-01-25,2023-01-25
1973-10-01,"TOTBKCR",627.4142,2023-01-25,2023-01-25
1973-11-01,"TOTBKCR",631.6332,2023-01-25,2023-01-25
1973-12-01,"TOTBKCR",645.2428,2023-01-25,2023-01-25
1974-01-01,"TOTBKCR",645.0434,2023-01-25,2023-01-25
1974-02-01,"TOTBKCR",649.7123,2023-01-25,2023-01-25
1974-03-01,"TOTBKCR",660.8952,2023-01-25,2023-01-25
1974-04-01,"TOTBKCR",670.7133,2023-01-25,2023-01-25
1974-05-01,"TOTBKCR",676.3028,2023-01-25,2023-01-25
1974-06-01,"TOTBKCR",683.8853,2023-01-25,2023-01-25
1974-07-01,"TOTBKCR",690.3408,2023-01-25,2023-01-25
1974-08-01,"TOTBKCR",692.2409,2023-01-25,2023-01-25
1974-09-01,"TOTBKCR",691.9667,2023-01-25,2023-01-25
1974-10-01,"TOTBKCR",693.5605,2023-01-25,2023-01-25
1974-11-01,"TOTBKCR",696.6358,2023-01-25,2023-01-25
1974-12-01,"TOTBKCR",704.0068,2023-01-25,2023-01-25
1975-01-01,"TOTBKCR",696.8606,2023-01-25,2023-01-25
1975-02-01,"TOTBKCR",696.0499,2023-01-25,2023-01-25
1975-03-01,"TOTBKCR",699.6054,2023-01-25,2023-01-25
1975-04-01,"TOTBKCR",704.9045,2023-01-25,2023-01-25
1975-05-01,"TOTBKCR",705.0104,2023-01-25,2023-01-25
1975-06-01,"TOTBKCR",708.7019,2023-01-25,2023-01-25
1975-07-01,"TOTBKCR",709.613,2023-01-25,2023-01-25
1975-08-01,"TOTBKCR",712.043,2023-01-25,2023-01-25
1975-09-01,"TOTBKCR",717.0995,2023-01-25,2023-01-25
1975-10-01,"TOTBKCR",719.4138,2023-01-25,2023-01-25
1975-11-01,"TOTBKCR",726.6598,2023-01-25,2023-01-25
1975-12-01,"TOTBKCR",738.2839,2023-01-25,2023-01-25
1976-01-01,"TOTBKCR",729.9663,2023-01-25,2023-01-25
1976-02-01,"TOTBKCR",731.92,2023-01-25,2023-01-25
1976-03-01,"TOTBKCR",740.1142,2023-01-25,2023-01-25
1976-04-01,"TOTBKCR",744.6244,2023-01-25,2023-01-25
1976-05-01,"TOTBKCR",748.2618,2023-01-25,2023-01-25
