"date","value"
1973-01-01,569.7089
1973-02-01,577.518
1973-03-01,586.1701
1973-04-01,591.1341
1973-05-01,598.963
1973-06-01,605.4626
1973-07-01,610.7133
1973-08-01,616.2351
1973-09-01,622.0711
1973-10-01,627.4142
1973-11-01,631.6332
1973-12-01,645.2428
1974-01-01,645.0434
1974-02-01,649.7123
1974-03-01,660.8952
1974-04-01,670.7133
1974-05-01,676.3028
1974-06-01,683.8853
1974-07-01,690.3408
1974-08-01,692.2409
1974-09-01,691.9667
1974-10-01,693.5605
1974-11-01,696.6358
1974-12-01,704.0068
1975-01-01,696.8606
1975-02-01,696.0499
1975-03-01,699.6054
1975-04-01,704.9045
1975-05-01,705.0104
1975-06-01,708.7019
1975-07-01,709.613
1975-08-01,712.043
1975-09-01,717.0995
1975-10-01,719.4138
1975-11-01,726.6598
1975-12-01,738.2839
1976-01-01,729.9663
1976-02-01,731.92
1976-03-01,740.1142
1976-04-01,744.6244
1976-05-01,748.2618
1976-06-01,757.8391
1976-07-01,754.2612
1976-08-01,760.4326
1976-09-01,767.2831
1976-10-01,773.9386
1976-11-01,782.1475
1976-12-01,796.7592
1977-01-01,792.0722
1977-02-01,798.8051
1977-03-01,808.9481
1977-04-01,817.8338
1977-05-01,824.1922
1977-06-01,832.7858
1977-07-01,836.7833
1977-08-01,846.0543
1977-09-01,852.7453
1977-10-01,860.043
1977-11-01,868.997
1977-12-01,881.8564
1978-01-01,881.9196
1978-02-01,888.4432
1978-03-01,903.1088
1978-04-01,914.9229
1978-05-01,927.5734
1978-06-01,937.5672
1978-07-01,944.4363
1978-08-01,951.9846
1978-09-01,965.6437
1978-10-01,973.8759
1978-11-01,987.7472
1978-12-01,1001.0723
1979-01-01,1003.0688
1979-02-01,1011.2247
1979-03-01,1024.8134
1979-04-01,1038.4732
1979-05-01,1050.1816
1979-06-01,1065.2979
1979-07-01,1078.262
1979-08-01,1085.6484
1979-09-01,1102.0782
1979-10-01,1104.8039
1979-11-01,1102.8665
1979-12-01,1111.935
1980-01-01,1115.6049
1980-02-01,1130.8365
1980-03-01,1138.9039
1980-04-01,1140.0037
1980-05-01,1137.3376
1980-06-01,1138.966
1980-07-01,1147.6551
1980-08-01,1160.4721
1980-09-01,1166.1341
1980-10-01,1183.3956
1980-11-01,1200.2973
1980-12-01,1209.8429
1981-01-01,1217.162
1981-02-01,1222.2329
1981-03-01,1224.8175
1981-04-01,1239.3042
1981-05-01,1250.0673
1981-06-01,1258.0204
1981-07-01,1266.457
1981-08-01,1272.0373
1981-09-01,1285.6041
1981-10-01,1284.2704
1981-11-01,1293.4231
1981-12-01,1285.1742
1982-01-01,1295.4951
1982-02-01,1307.9502
1982-03-01,1319.8699
1982-04-01,1325.1596
1982-05-01,1339.0528
1982-06-01,1346.2365
1982-07-01,1352.3263
1982-08-01,1355.8288
1982-09-01,1367.0864
1982-10-01,1376.2131
1982-11-01,1375.4434
1982-12-01,1381.5345
1983-01-01,1396.8702
1983-02-01,1400.5734
1983-03-01,1420.6188
1983-04-01,1430.1645
1983-05-01,1441.6828
1983-06-01,1459.3899
1983-07-01,1470.1174
1983-08-01,1485.0276
1983-09-01,1493.6567
1983-10-01,1513.2891
1983-11-01,1525.5672
1983-12-01,1533.5048
1984-01-01,1540.6374
1984-02-01,1567.1403
1984-03-01,1576.6937
1984-04-01,1598.0424
1984-05-01,1613.9166
1984-06-01,1625.8716
1984-07-01,1638.459
1984-08-01,1645.8431
1984-09-01,1659.0939
1984-10-01,1677.3993
1984-11-01,1679.5113
1984-12-01,1700.3957
1985-01-01,1708.0116
1985-02-01,1728.8097
1985-03-01,1737.7889
1985-04-01,1738.6909
1985-05-01,1757.4661
1985-06-01,1775.0666
1985-07-01,1785.9164
1985-08-01,1795.0555
1985-09-01,1811.1106
1985-10-01,1815.6004
1985-11-01,1842.2927
1985-12-01,1858.8095
1986-01-01,1882.2885
1986-02-01,1891.6786
1986-03-01,1900.9986
1986-04-01,1918.2122
1986-05-01,1928.0135
1986-06-01,1940.956
1986-07-01,1962.9165
1986-08-01,1986.6032
1986-09-01,1995.9935
1986-10-01,2001.0853
1986-11-01,2026.9725
1986-12-01,2080.29
1987-01-01,2078.4469
1987-02-01,2082.3895
1987-03-01,2087.4531
1987-04-01,2116.3224
1987-05-01,2125.6491
1987-06-01,2129.708
1987-07-01,2136.5696
1987-08-01,2148.6757
1987-09-01,2179.2739
1987-10-01,2189.9554
1987-11-01,2185.6237
1987-12-01,2203.1048
1988-01-01,2217.2743
1988-02-01,2224.0598
1988-03-01,2245.2737
1988-04-01,2263.501
1988-05-01,2284.9923
1988-06-01,2304.5248
1988-07-01,2316.4588
1988-08-01,2326.6448
1988-09-01,2333.9858
1988-10-01,2342.7126
1988-11-01,2363.7602
1988-12-01,2368.5305
1989-01-01,2379.904
1989-02-01,2396.3256
1989-03-01,2412.6676
1989-04-01,2425.9954
1989-05-01,2446.2819
1989-06-01,2455.9103
1989-07-01,2482.6849
1989-08-01,2490.0644
1989-09-01,2500.4863
1989-10-01,2524.7211
1989-11-01,2530.1402
1989-12-01,2535.4247
1990-01-01,2562.9783
1990-02-01,2576.6616
1990-03-01,2583.7709
1990-04-01,2599.2815
1990-05-01,2608.5526
1990-06-01,2628.5302
1990-07-01,2633.6059
1990-08-01,2642.129
1990-09-01,2645.6551
