"date","open","high","low","close","adjusted_close","volume","dividend_amount","split_coefficient"
"2023-03-28",73.47,73.89,73.39,73.49,73.49,11593405,0,1
"2023-03-27",73.22,73.69,73.21,73.36,73.36,10865542,0,1
"2023-03-24",71.94,73.035,71.86,72.97,72.97,12352559,0,1
"2023-03-23",72.22,72.48,71.48,71.75,71.75,12160406,0,1
"2023-03-22",72.83,73.14,72.02,72.03,72.03,11942225,0,1
"2023-03-21",72.87,73.03,72.19,72.7,72.7,12499653,0,1
"2023-03-20",72.04,72.83,72.01,72.76,72.76,14131040,0.3447,1
"2023-03-17",72.54,72.66,71.785,72.11,71.7700284527686,13283890,0,1
"2023-03-16",72.54,72.7079,72.125,72.64,72.2975297019707,15712521,0,1
"2023-03-15",71.65,72.68,71.485,72.59,72.2477654331781,21438247,0,1
"2023-03-14",71.68,72.16,71.425,72.12,71.7799813065271,19139214,0,1
"2023-03-13",71.04,72.575,71,71.47,71.1330458122226,29831406,0,1
"2023-03-10",71.6,71.875,70.845,71.11,70.7747430769154,19026308,0,1
"2023-03-09",72.41,72.53,71.245,71.46,71.123092958464,15612688,0,1
"2023-03-08",71.94,72.21,71.69,72.13,71.7899341602856,11170813,0,1
"2023-03-07",72.74,72.98,71.885,72.01,71.6704999151833,10059504,0,1
"2023-03-06",72.34,72.84,72.31,72.73,72.3871053857975,8356010,0,1
"2023-03-03",72.48,72.605,71.87,72.54,72.1980011643854,12384269,0,1
"2023-03-02",71.51,72.62,71.44,72.48,72.1382840418342,9876126,0,1
"2023-03-01",71.81,71.89,70.93,71.5,71.1629043734982,10475023,0,1
"2023-02-28",72.33,72.455,71.995,72.03,71.6904056227003,9757334,0,1
"2023-02-27",73.06,73.255,72.47,72.63,72.2875768482122,10162251,0,1
"2023-02-24",72.66,72.825,72.27,72.71,72.3671996782804,11340619,0,1
"2023-02-23",73.36,73.56,72.745,73.2,72.8548895124485,12700140,0,1
"2023-02-22",73.5,74.01,73.1099,73.29,72.9444651962752,8851001,0,1
"2023-02-21",73.38,73.79,73.0103,73.4,73.0539465876191,8974751,0,1
"2023-02-17",72.53,73.71,72.53,73.68,73.332626492858,11116125,0,1
"2023-02-16",72.62,73.18,72.309,72.74,72.397058239556,8355096,0,1
"2023-02-15",72.98,73.29,72.68,73.27,72.9245594887582,9006025,0,1
"2023-02-14",73.75,73.78,72.88,73.13,72.7852195361387,9344740,0,1
"2023-02-13",73.19,73.8275,73.15,73.8,73.4520607379603,7440544,0,1
"2023-02-10",72.3,73.03,72.145,72.97,72.6259738760022,8197163,0,1
"2023-02-09",73,73.26,72.205,72.3,71.9591326741807,8341482,0,1
"2023-02-08",72.78,72.91,72.49,72.62,72.2776239944536,8933483,0,1
"2023-02-07",72.96,73.32,72.4489,73.18,72.8349838049314,9268430,0,1
"2023-02-06",73.28,73.63,73.23,73.49,73.1435222714459,7209101,0,1
"2023-02-03",73.91,73.93,72.86,73.4,73.0539465876191,12874814,0,1
"2023-02-02",73.83,74.17,73.36,73.69,73.3425793466165,12238803,0,1
"2023-02-01",73.68,74.66,73.36,74.33,73.9795619871625,15447622,0,1
"2023-01-31",73.09,73.75,72.87,73.74,73.3923436154091,8002698,0,1
"2023-01-30",72.71,73.495,72.71,72.95,72.6060681684852,10463129,0,1
"2023-01-27",73.02,73.195,72.505,72.86,72.5164924846584,10341793,0,1
"2023-01-26",73.25,73.31,72.83,73.07,72.7255024135875,8081676,0,1
"2023-01-25",72.71,73.33,72.35,73.33,72.9842766113094,11606801,0,1
"2023-01-24",72.83,73.35,72.4,73.15,72.8051252436558,13465588,0,1
"2023-01-23",72.76,73.225,72.545,72.85,72.5065396308999,12000433,0,1
"2023-01-20",72.11,72.65,71.6,72.62,72.2776239944536,12349611,0,1
"2023-01-19",72.46,72.79,72.035,72.06,71.7202641839759,12421545,0,1
"2023-01-18",74.61,74.66,72.64,72.75,72.4070110933146,16069923,0,1
"2023-01-17",74.86,75.42,74.68,74.79,74.4373932600549,9007022,0,1
"2023-01-13",74.19,74.76,74.14,74.74,74.3876289912623,9274343,0,1
"2023-01-12",75.14,75.15,74.21,74.39,74.0392791097137,9841291,0,1
"2023-01-11",75.19,75.405,74.3214,74.98,74.626497481467,9848317,0,1
"2023-01-10",75.13,75.245,74.69,74.94,74.5866860664329,8427855,0,1
"2023-01-09",75.73,76.245,75.04,75.04,74.6862146040182,11081840,0,1
"2023-01-06",74.76,76.075,74.7,75.78,75.4227257821495,9982384,0,1
"2023-01-05",74.42,74.485,73.66,73.81,73.4620135917189,9848196,0,1
"2023-01-04",74.48,75.02,74.09,74.56,74.2084776236087,12197256,0,1
"2023-01-03",74.59,74.62,73.52,74.27,73.9198448646113,14433360,0,1
"2022-12-30",74.77,74.83,74.0101,74.55,74.1985247698502,6249894,0,1
"2022-12-29",74.9,75.19,74.7801,74.92,74.5667803589158,5574893,0,1
