"date","open","high","low","close","adjusted_close","volume","dividend_amount","split_coefficient"
"2023-03-28",141.83,142.21,140.74,141.7,141.7,2859759,0,1
"2023-03-27",142.94,143.47,141.28,141.87,141.87,4207320,0,1
"2023-03-24",141.71,141.83,139.78,141.58,141.58,4717403,0,1
"2023-03-23",143.91,144.96,140.63,142.04,142.04,6127786,0,1
"2023-03-22",145.5,146.56,142.13,142.19,142.19,5491779,0,1
"2023-03-21",143.35,145.65,143.29,145.43,145.43,6388423,0,1
"2023-03-20",140.74,142.39,139.75,141.52,141.52,5864903,0.4302,1
"2023-03-17",143.13,143.22,140.19,141.34,140.911682055295,8440007,0,1
"2023-03-16",139.75,143.78,139.64,143.17,142.736136407645,10747798,0,1
"2023-03-15",138.75,140.71,137.9921,140.63,140.203833645367,9001425,0,1
"2023-03-14",140.37,141.24,139.08,140.84,140.413197259571,7519125,0,1
"2023-03-13",136.16,140.26,135.71,138.49,138.070318719667,11814122,0,1
"2023-03-10",140.05,141.5,137.73,138.2,137.781197538147,14529366,0,1
"2023-03-09",142.75,144.23,139.465,139.59,139.16698527026,6668682,0,1
"2023-03-08",143,143.3,141.53,143,142.566651577099,5408306,0,1
"2023-03-07",145.02,145.74,143.185,143.26,142.825863670875,5970907,0,1
"2023-03-06",146.68,147.19,145.19,145.24,144.799863461943,4927198,0,1
"2023-03-03",144.48,146.56,144.15,146.31,145.866620924793,5017622,0,1
"2023-03-02",141.41,143.45,141.03,143.23,142.795954583132,5491848,0,1
"2023-03-01",145.02,145.5,142.87,143.71,143.274499987027,6344416,0,1
"2023-02-28",145.55,146.61,144.97,145.54,145.098954339377,5592583,0,1
"2023-02-27",145.49,146.73,145.039,145.64,145.198651298522,5622337,0,1
"2023-02-24",143.45,144.14,142.68,143.86,143.424045425744,5957288,0,1
"2023-02-23",146.79,146.98,143.69,146.16,145.717075486075,5284323,0,1
"2023-02-22",145.87,147.24,145.22,146.28,145.836711837049,4964246,0,1
"2023-02-21",148.32,148.72,145.5,145.54,145.098954339377,4418791,0,1
"2023-02-17",149.68,150.64,148.045,150.57,150.113711384362,3740078,0,1
"2023-02-16",151.54,153.69,150.51,150.54,150.083802296619,5628901,0,1
"2023-02-15",151.69,153.93,151.1,153.9,153.433620123885,3411511,0,1
"2023-02-14",149.26,152.525,148.33,152.12,151.659014251107,4361298,0,1
"2023-02-13",148.14,150.385,147.14,150.32,149.8644689865,3360818,0,1
"2023-02-10",148.6,149.31,146.95,148.15,147.701044973057,3216695,0,1
"2023-02-09",152.19,153.19,149.17,149.91,149.455711454006,4158092,0,1
"2023-02-08",150.98,151.35,149.15,150.19,149.734862939612,5564043,0,1
"2023-02-07",150.47,151.8617,147.655,151.48,151.02095371258,4916600,0,1
"2023-02-06",150.78,152.05,149.87,151.13,150.672014355573,4385136,0,1
"2023-02-03",151.48,154.95,150.68,151.35,150.891347665692,6796853,0,1
"2023-02-02",154.81,158.025,154.1,156.16,155.686771400558,7019836,0,1
"2023-02-01",148.31,152.71,146.78,151.52,151.060832496238,6956867,0,1
"2023-01-31",145.53,148.7,145.53,148.7,148.249378248354,3487788,0,1
"2023-01-30",146.78,147.75,145.25,145.37,144.929469508831,4789220,0,1
"2023-01-27",144.73,149.03,144.7,147.89,147.441832879281,5472665,0,1
"2023-01-26",144.22,145.03,142.79,144.61,144.171772619331,4820567,0,1
"2023-01-25",138.85,141.9,137.8,141.71,141.280560804131,3770193,0,1
"2023-01-24",140.66,141.66,139.75,140.99,140.562742698288,3186475,0,1
"2023-01-23",139.35,141.68,138.54,141.15,140.72225783292,4584149,0,1
"2023-01-20",135.99,139.06,135.32,138.98,138.558833819477,3751294,0,1
"2023-01-19",136.97,137.4,134.99,135.69,135.278803863612,6478626,0,1
"2023-01-18",141.22,142.03,137.92,137.98,137.561864228029,4798499,0,1
"2023-01-17",140.11,140.92,139.4,139.8,139.376348884465,3749889,0,1
"2023-01-13",136.26,139.83,136.073,139.7,139.27665192532,3984731,0,1
"2023-01-12",139.03,139.19,136.18,138.4,137.980591456437,4786339,0,1
"2023-01-11",135.69,138.18,135.57,138.17,137.751288450404,6354032,0,1
"2023-01-10",132.94,134.56,132.22,134.54,134.132288833447,4415358,0,1
"2023-01-09",133.67,135.025,132.77,132.87,132.467349615728,4693885,0,1
"2023-01-06",128.68,132.58,127.765,132.07,131.66977394257,4619865,0,1
"2023-01-05",129.34,129.9,128.17,129.04,128.648956080481,3888190,0,1
"2023-01-04",129.59,131.21,127.9574,130.25,129.855289286134,4039840,0,1
"2023-01-03",129.93,130.3,126.83,128.39,128.00092584604,4783631,0,1
"2022-12-30",128.23,129.19,127.68,129.16,128.768592431455,3765556,0,1
"2022-12-29",128.07,129.8,127.57,129.51,129.117531788462,3746103,0,1
"2022-12-28",127.39,128.63,126,126.26,125.877380616255,5036867,0,1
"2022-12-27",128.83,129.07,127.2501,127.33,126.944138079105,4268096,0,1
"2022-12-23",128.21,129.79,127.34,129.43,129.037774221146,3275639,0,1
"2022-12-22",130.45,130.54,126.63,128.55,128.160440980672,6448606,0,1
"2022-12-21",131.45,132.67,130.95,131.94,131.540167895681,5335112,0,1
"2022-12-20",130.59,131.68,129.69,129.87,129.476440841383,3855346,0,1
"2022-12-19",133.52,133.8,130.88,131.4,131.001804316299,4337910,0.3658,1
"2022-12-16",135.68,136.21,133.21,133.91,133.133559834137,6685875,0,1
"2022-12-15",136.59,137.25,135.45,136.46,135.668774363127,5974800,0,1
"2022-12-14",139.49,140.64,137.18,138.74,137.935554412577,5451851,0,1
"2022-12-13",144.42,145.32,138.27,139.78,138.969524259694,5372102,0,1
"2022-12-12",139.14,139.78,138.23,139.78,138.969524259694,3272791,0,1
"2022-12-09",139.19,140.815,138.97,139.43,138.621553638068,3609238,0,1
"2022-12-08",138.93,140.57,138.27,140.04,139.228016721474,3203509,0,1
"2022-12-07",138.59,140.18,138.16,138.7,137.895786341534,5426310,0,1
"2022-12-06",141.34,141.95,138.33,139.54,138.730915833436,3949926,0,1
"2022-12-05",144.02,144.47,141.37,141.75,140.928101758561,5789994,0,1
"2022-12-02",144.09,146.395,144.06,145.96,145.113691235835,5986259,0,1
"2022-12-01",146.71,147.32,145.04,146.15,145.302589573289,4827066,0,1
"2022-11-30",141.37,146.22,140.46,146.17,145.32247360881,8204277,0,1
"2022-11-29",141.88,142.4,140.755,141.3,140.480710959327,5211468,0,1
"2022-11-28",141.86,143.3414,141.44,141.75,140.928101758561,3020516,0,1
"2022-11-25",142.62,143.03,141.88,142.63,141.802999321507,1364226,0,1
"2022-11-23",141.02,142.85,140.73,142.55,141.723463179421,3088882,0,1
"2022-11-22",139.5,140.59,138.54,140.52,139.705233573989,2760449,0,1
"2022-11-21",140.2,140.6,138.2,138.95,138.144336785552,3376388,0,1
"2022-11-18",142.62,142.67,139.36,140.99,140.172508408744,3706963,0,1
"2022-11-17",140.47,141.4,139.48,140.8,139.98361007129,3782556,0,1
"2022-11-16",142.08,143.71,141.49,142.53,141.703579143899,4786922,0,1
"2022-11-15",146.18,146.96,143.14,144.74,143.900765069024,4369776,0,1
"2022-11-14",143.83,145.1,142.64,142.79,141.962071605678,7920558,0,1
"2022-11-11",141.9,145.89,141.47,145.09,144.24873569065,5675152,0,1
"2022-11-10",138.66,141.85,137.2,141.69,140.868449651996,7758021,0,1
"2022-11-09",135.48,136.11,131.9,132.04,131.274402512878,5077890,0,1
"2022-11-08",136.7,137.83,134.325,136.2,135.410281901347,4767911,0,1
"2022-11-07",138.33,138.45,135.2,136.54,135.748310505213,3712348,0,1
"2022-11-04",139.59,140.96,134.905,137.5,136.702744210244,6314460,0,1
"2022-11-03",136.2,137.93,135.46,136.36,135.569354185519,5558719,0,1
"2022-11-02",142.43,143.26,137.14,137.18,136.3845996419,9927546,0,1
"2022-11-01",146.48,146.9,142.29,142.57,141.743347214942,6257333,0,1
"2022-10-31",144.19,145.12,142.81,144.03,143.194881808011,4683740,0,1
"2022-10-28",140.94,145.155,139.925,144.96,144.11948945976,7041298,0,1
"2022-10-27",146.1,147.03,144.32,144.83,143.99024322887,6361053,0,1
"2022-10-26",144.8,148.32,144.4,145.39,144.546996223472,3432303,0,1
"2022-10-25",143.06,146.97,143.06,146.57,145.72015431924,3727504,0,1
"2022-10-24",141.75,143.6,139.22,142.99,142.160911960893,4540644,0,1
"2022-10-21",138.21,142.53,137.45,142.4,141.574332913009,7787897,0,1
"2022-10-20",139.18,141.78,137.91,138.37,137.567699755429,5097643,0,1
"2022-10-19",141.54,142.46,139.61,141.1,140.281870604113,3572424,0,1
"2022-10-18",145.15,145.57,141.31,142.7,141.872593445832,5184185,0,1
"2022-10-17",138.16,141.135,138.1,140.76,139.943842000247,6565588,0,1
"2022-10-14",141.92,142.66,135.05,135.27,134.485674249598,6710967,0,1
"2022-10-13",134.84,141.31,133.55,140.52,139.705233573989,9782193,0,1
"2022-10-12",138.65,140.07,137.53,139,138.194046874356,9720185,0,1
"2022-10-11",139.09,141.47,137.72,138.64,137.836134234969,6001697,0,1
"2022-10-10",140.86,141.26,138.4,139.78,138.969524259694,4864176,0,1
"2022-10-07",143.5,143.82,139.83,140.65,139.834479804879,5597674,0,1
"2022-10-06",146.39,147.83,145.025,145.66,144.815430703012,7214462,0,1
"2022-10-05",145.23,147.665,143.68,146.7,145.84940055013,6270580,0,1
"2022-10-04",146.13,149.01,145.71,147.57,146.714356095315,9831909,0,1
"2022-10-03",142.32,143.91,140.2,142.59,141.763231250464,8645781,0,1
"2022-09-30",143.61,146.54,142.03,142.45,141.624043001813,6116165,0,1
"2022-09-29",148.13,148.33,143.91,145.31,144.467460081386,6156824,0,1
"2022-09-28",147.17,151.3,146.43,150.51,149.637309316974,6930654,0,1
"2022-09-27",148.24,149.74,144.97,146.55,145.700270283719,7281665,0,1
"2022-09-26",145.82,149.27,145.8,146.09,145.242937466724,6419829,0,1
"2022-09-23",147.88,148.12,144.55,146.42,145.571024052829,5606475,0,1
"2022-09-22",152.63,153.18,149.1,149.87,149.001020180286,5653995,0,1
"2022-09-21",157.57,159.03,153.38,153.41,152.52049446759,5111182,0,1
"2022-09-20",158.19,158.79,155.81,157.13,156.218925074587,4571015,0,1
"2022-09-19",156.26,159.87,156.16,159.84,158.913211887749,5014331,0.33,1
"2022-09-16",156.82,158.21,155.69,157.94,156.700665755267,8682148,0,1
"2022-09-15",159.83,162.44,158.44,159.22,157.970621764933,5682247,0,1
