"date","series_id","value","realtime_start","realtime_end"
1948-01-01,"CE16OV",58061,2023-01-29,2023-01-29
1948-02-01,"CE16OV",58196,2023-01-29,2023-01-29
1948-03-01,"CE16OV",57671,2023-01-29,2023-01-29
1948-04-01,"CE16OV",58291,2023-01-29,2023-01-29
1948-05-01,"CE16OV",57854,2023-01-29,2023-01-29
1948-06-01,"CE16OV",58743,2023-01-29,2023-01-29
1948-07-01,"CE16OV",58968,2023-01-29,2023-01-29
1948-08-01,"CE16OV",58456,2023-01-29,2023-01-29
1948-09-01,"CE16OV",58513,2023-01-29,2023-01-29
1948-10-01,"CE16OV",58387,2023-01-29,2023-01-29
1948-11-01,"CE16OV",58417,2023-01-29,2023-01-29
1948-12-01,"CE16OV",58740,2023-01-29,2023-01-29
1949-01-01,"CE16OV",58175,2023-01-29,2023-01-29
1949-02-01,"CE16OV",58208,2023-01-29,2023-01-29
1949-03-01,"CE16OV",58043,2023-01-29,2023-01-29
1949-04-01,"CE16OV",57747,2023-01-29,2023-01-29
1949-05-01,"CE16OV",57552,2023-01-29,2023-01-29
1949-06-01,"CE16OV",57172,2023-01-29,2023-01-29
1949-07-01,"CE16OV",57190,2023-01-29,2023-01-29
1949-08-01,"CE16OV",57397,2023-01-29,2023-01-29
1949-09-01,"CE16OV",57584,2023-01-29,2023-01-29
1949-10-01,"CE16OV",57269,2023-01-29,2023-01-29
1949-11-01,"CE16OV",58009,2023-01-29,2023-01-29
1949-12-01,"CE16OV",57845,2023-01-29,2023-01-29
1950-01-01,"CE16OV",57635,2023-01-29,2023-01-29
1950-02-01,"CE16OV",57751,2023-01-29,2023-01-29
1950-03-01,"CE16OV",57728,2023-01-29,2023-01-29
1950-04-01,"CE16OV",58583,2023-01-29,2023-01-29
1950-05-01,"CE16OV",58649,2023-01-29,2023-01-29
1950-06-01,"CE16OV",59052,2023-01-29,2023-01-29
1950-07-01,"CE16OV",59001,2023-01-29,2023-01-29
1950-08-01,"CE16OV",59797,2023-01-29,2023-01-29
1950-09-01,"CE16OV",59575,2023-01-29,2023-01-29
1950-10-01,"CE16OV",59803,2023-01-29,2023-01-29
1950-11-01,"CE16OV",59697,2023-01-29,2023-01-29
1950-12-01,"CE16OV",59429,2023-01-29,2023-01-29
1951-01-01,"CE16OV",59636,2023-01-29,2023-01-29
1951-02-01,"CE16OV",59661,2023-01-29,2023-01-29
1951-03-01,"CE16OV",60401,2023-01-29,2023-01-29
1951-04-01,"CE16OV",59889,2023-01-29,2023-01-29
1951-05-01,"CE16OV",60188,2023-01-29,2023-01-29
1951-06-01,"CE16OV",59620,2023-01-29,2023-01-29
1951-07-01,"CE16OV",60156,2023-01-29,2023-01-29
1951-08-01,"CE16OV",59994,2023-01-29,2023-01-29
1951-09-01,"CE16OV",59713,2023-01-29,2023-01-29
1951-10-01,"CE16OV",60010,2023-01-29,2023-01-29
1951-11-01,"CE16OV",59836,2023-01-29,2023-01-29
1951-12-01,"CE16OV",60497,2023-01-29,2023-01-29
1952-01-01,"CE16OV",60460,2023-01-29,2023-01-29
1952-02-01,"CE16OV",60462,2023-01-29,2023-01-29
1952-03-01,"CE16OV",59908,2023-01-29,2023-01-29
1952-04-01,"CE16OV",59909,2023-01-29,2023-01-29
1952-05-01,"CE16OV",60195,2023-01-29,2023-01-29
1952-06-01,"CE16OV",60219,2023-01-29,2023-01-29
1952-07-01,"CE16OV",59971,2023-01-29,2023-01-29
1952-08-01,"CE16OV",59790,2023-01-29,2023-01-29
1952-09-01,"CE16OV",60521,2023-01-29,2023-01-29
1952-10-01,"CE16OV",60132,2023-01-29,2023-01-29
1952-11-01,"CE16OV",60748,2023-01-29,2023-01-29
1952-12-01,"CE16OV",60954,2023-01-29,2023-01-29
1953-01-01,"CE16OV",61600,2023-01-29,2023-01-29
1953-02-01,"CE16OV",61884,2023-01-29,2023-01-29
1953-03-01,"CE16OV",62010,2023-01-29,2023-01-29
1953-04-01,"CE16OV",61444,2023-01-29,2023-01-29
1953-05-01,"CE16OV",61019,2023-01-29,2023-01-29
1953-06-01,"CE16OV",61456,2023-01-29,2023-01-29
1953-07-01,"CE16OV",61397,2023-01-29,2023-01-29
1953-08-01,"CE16OV",61151,2023-01-29,2023-01-29
1953-09-01,"CE16OV",60906,2023-01-29,2023-01-29
1953-10-01,"CE16OV",60893,2023-01-29,2023-01-29
1953-11-01,"CE16OV",60738,2023-01-29,2023-01-29
1953-12-01,"CE16OV",59977,2023-01-29,2023-01-29
1954-01-01,"CE16OV",60024,2023-01-29,2023-01-29
1954-02-01,"CE16OV",60663,2023-01-29,2023-01-29
1954-03-01,"CE16OV",60186,2023-01-29,2023-01-29
1954-04-01,"CE16OV",60185,2023-01-29,2023-01-29
1954-05-01,"CE16OV",59908,2023-01-29,2023-01-29
1954-06-01,"CE16OV",59792,2023-01-29,2023-01-29
1954-07-01,"CE16OV",59643,2023-01-29,2023-01-29
1954-08-01,"CE16OV",59853,2023-01-29,2023-01-29
1954-09-01,"CE16OV",60282,2023-01-29,2023-01-29
1954-10-01,"CE16OV",60270,2023-01-29,2023-01-29
1954-11-01,"CE16OV",60357,2023-01-29,2023-01-29
1954-12-01,"CE16OV",60116,2023-01-29,2023-01-29
1955-01-01,"CE16OV",60753,2023-01-29,2023-01-29
1955-02-01,"CE16OV",60727,2023-01-29,2023-01-29
1955-03-01,"CE16OV",60964,2023-01-29,2023-01-29
1955-04-01,"CE16OV",61515,2023-01-29,2023-01-29
1955-05-01,"CE16OV",61634,2023-01-29,2023-01-29
1955-06-01,"CE16OV",61781,2023-01-29,2023-01-29
1955-07-01,"CE16OV",62513,2023-01-29,2023-01-29
1955-08-01,"CE16OV",62797,2023-01-29,2023-01-29
1955-09-01,"CE16OV",62950,2023-01-29,2023-01-29
1955-10-01,"CE16OV",62991,2023-01-29,2023-01-29
1955-11-01,"CE16OV",63257,2023-01-29,2023-01-29
