"date","series_id","value","realtime_start","realtime_end"
1919-01-01,"INDPRO",4.8773,2023-01-29,2023-01-29
1919-02-01,"INDPRO",4.6617,2023-01-29,2023-01-29
1919-03-01,"INDPRO",4.527,2023-01-29,2023-01-29
1919-04-01,"INDPRO",4.6078,2023-01-29,2023-01-29
1919-05-01,"INDPRO",4.6348,2023-01-29,2023-01-29
1919-06-01,"INDPRO",4.9312,2023-01-29,2023-01-29
1919-07-01,"INDPRO",5.2276,2023-01-29,2023-01-29
1919-08-01,"INDPRO",5.3084,2023-01-29,2023-01-29
1919-09-01,"INDPRO",5.2006,2023-01-29,2023-01-29
1919-10-01,"INDPRO",5.1467,2023-01-29,2023-01-29
1919-11-01,"INDPRO",5.0659,2023-01-29,2023-01-29
1919-12-01,"INDPRO",5.1467,2023-01-29,2023-01-29
1920-01-01,"INDPRO",5.6318,2023-01-29,2023-01-29
1920-02-01,"INDPRO",5.6318,2023-01-29,2023-01-29
1920-03-01,"INDPRO",5.524,2023-01-29,2023-01-29
1920-04-01,"INDPRO",5.2276,2023-01-29,2023-01-29
1920-05-01,"INDPRO",5.3623,2023-01-29,2023-01-29
1920-06-01,"INDPRO",5.4162,2023-01-29,2023-01-29
1920-07-01,"INDPRO",5.2815,2023-01-29,2023-01-29
1920-08-01,"INDPRO",5.3084,2023-01-29,2023-01-29
1920-09-01,"INDPRO",5.1198,2023-01-29,2023-01-29
1920-10-01,"INDPRO",4.9042,2023-01-29,2023-01-29
1920-11-01,"INDPRO",4.5,2023-01-29,2023-01-29
1920-12-01,"INDPRO",4.2306,2023-01-29,2023-01-29
1921-01-01,"INDPRO",3.9881,2023-01-29,2023-01-29
1921-02-01,"INDPRO",3.9072,2023-01-29,2023-01-29
1921-03-01,"INDPRO",3.7994,2023-01-29,2023-01-29
1921-04-01,"INDPRO",3.7994,2023-01-29,2023-01-29
1921-05-01,"INDPRO",3.9072,2023-01-29,2023-01-29
1921-06-01,"INDPRO",3.8803,2023-01-29,2023-01-29
1921-07-01,"INDPRO",3.8533,2023-01-29,2023-01-29
1921-08-01,"INDPRO",3.9881,2023-01-29,2023-01-29
1921-09-01,"INDPRO",4.015,2023-01-29,2023-01-29
1921-10-01,"INDPRO",4.2575,2023-01-29,2023-01-29
1921-11-01,"INDPRO",4.2036,2023-01-29,2023-01-29
1921-12-01,"INDPRO",4.1767,2023-01-29,2023-01-29
