"date","series_id","value","realtime_start","realtime_end"
1939-01-01,"PAYEMS",29923,2023-01-29,2023-01-29
1939-02-01,"PAYEMS",30100,2023-01-29,2023-01-29
1939-03-01,"PAYEMS",30280,2023-01-29,2023-01-29
1939-04-01,"PAYEMS",30094,2023-01-29,2023-01-29
1939-05-01,"PAYEMS",30299,2023-01-29,2023-01-29
1939-06-01,"PAYEMS",30502,2023-01-29,2023-01-29
1939-07-01,"PAYEMS",30419,2023-01-29,2023-01-29
1939-08-01,"PAYEMS",30663,2023-01-29,2023-01-29
1939-09-01,"PAYEMS",31031,2023-01-29,2023-01-29
1939-10-01,"PAYEMS",31411,2023-01-29,2023-01-29
1939-11-01,"PAYEMS",31470,2023-01-29,2023-01-29
1939-12-01,"PAYEMS",31542,2023-01-29,2023-01-29
1940-01-01,"PAYEMS",31603,2023-01-29,2023-01-29
1940-02-01,"PAYEMS",31715,2023-01-29,2023-01-29
1940-03-01,"PAYEMS",31825,2023-01-29,2023-01-29
1940-04-01,"PAYEMS",31701,2023-01-29,2023-01-29
1940-05-01,"PAYEMS",31879,2023-01-29,2023-01-29
1940-06-01,"PAYEMS",31977,2023-01-29,2023-01-29
1940-07-01,"PAYEMS",31942,2023-01-29,2023-01-29
1940-08-01,"PAYEMS",32352,2023-01-29,2023-01-29
1940-09-01,"PAYEMS",32810,2023-01-29,2023-01-29
1940-10-01,"PAYEMS",33267,2023-01-29,2023-01-29
1940-11-01,"PAYEMS",33669,2023-01-29,2023-01-29
1940-12-01,"PAYEMS",34174,2023-01-29,2023-01-29
1941-01-01,"PAYEMS",34481,2023-01-29,2023-01-29
1941-02-01,"PAYEMS",34843,2023-01-29,2023-01-29
1941-03-01,"PAYEMS",35092,2023-01-29,2023-01-29
1941-04-01,"PAYEMS",35468,2023-01-29,2023-01-29
1941-05-01,"PAYEMS",36182,2023-01-29,2023-01-29
1941-06-01,"PAYEMS",36650,2023-01-29,2023-01-29
1941-07-01,"PAYEMS",37137,2023-01-29,2023-01-29
