"date","series_id","value","realtime_start","realtime_end"
1959-01-01,"RPI",2442.158,2023-01-29,2023-01-29
1959-02-01,"RPI",2451.778,2023-01-29,2023-01-29
1959-03-01,"RPI",2467.594,2023-01-29,2023-01-29
1959-04-01,"RPI",2483.671,2023-01-29,2023-01-29
1959-05-01,"RPI",2498.026,2023-01-29,2023-01-29
1959-06-01,"RPI",2505.788,2023-01-29,2023-01-29
1959-07-01,"RPI",2504.312,2023-01-29,2023-01-29
1959-08-01,"RPI",2490.236,2023-01-29,2023-01-29
1959-09-01,"RPI",2492.033,2023-01-29,2023-01-29
1959-10-01,"RPI",2495.225,2023-01-29,2023-01-29
1959-11-01,"RPI",2514.248,2023-01-29,2023-01-29
1959-12-01,"RPI",2540.011,2023-01-29,2023-01-29
1960-01-01,"RPI",2548.137,2023-01-29,2023-01-29
1960-02-01,"RPI",2551.05,2023-01-29,2023-01-29
1960-03-01,"RPI",2555.924,2023-01-29,2023-01-29
1960-04-01,"RPI",2564.677,2023-01-29,2023-01-29
1960-05-01,"RPI",2570.841,2023-01-29,2023-01-29
1960-06-01,"RPI",2572.869,2023-01-29,2023-01-29
1960-07-01,"RPI",2577.579,2023-01-29,2023-01-29
1960-08-01,"RPI",2573.388,2023-01-29,2023-01-29
1960-09-01,"RPI",2576.666,2023-01-29,2023-01-29
1960-10-01,"RPI",2584.282,2023-01-29,2023-01-29
1960-11-01,"RPI",2573.347,2023-01-29,2023-01-29
1960-12-01,"RPI",2561.458,2023-01-29,2023-01-29
1961-01-01,"RPI",2584.569,2023-01-29,2023-01-29
1961-02-01,"RPI",2594.453,2023-01-29,2023-01-29
1961-03-01,"RPI",2605.019,2023-01-29,2023-01-29
1961-04-01,"RPI",2610.677,2023-01-29,2023-01-29
1961-05-01,"RPI",2630.983,2023-01-29,2023-01-29
1961-06-01,"RPI",2655.755,2023-01-29,2023-01-29
1961-07-01,"RPI",2663.324,2023-01-29,2023-01-29
1961-08-01,"RPI",2664.791,2023-01-29,2023-01-29
1961-09-01,"RPI",2668.056,2023-01-29,2023-01-29
1961-10-01,"RPI",2694.499,2023-01-29,2023-01-29
1961-11-01,"RPI",2718.609,2023-01-29,2023-01-29
1961-12-01,"RPI",2734.812,2023-01-29,2023-01-29
1962-01-01,"RPI",2732.201,2023-01-29,2023-01-29
1962-02-01,"RPI",2743.689,2023-01-29,2023-01-29
1962-03-01,"RPI",2762.598,2023-01-29,2023-01-29
1962-04-01,"RPI",2776.751,2023-01-29,2023-01-29
1962-05-01,"RPI",2780.627,2023-01-29,2023-01-29
1962-06-01,"RPI",2784.562,2023-01-29,2023-01-29
1962-07-01,"RPI",2797.963,2023-01-29,2023-01-29
1962-08-01,"RPI",2802.522,2023-01-29,2023-01-29
1962-09-01,"RPI",2803.759,2023-01-29,2023-01-29
1962-10-01,"RPI",2818.754,2023-01-29,2023-01-29
1962-11-01,"RPI",2828.912,2023-01-29,2023-01-29
1962-12-01,"RPI",2842.294,2023-01-29,2023-01-29
1963-01-01,"RPI",2859.848,2023-01-29,2023-01-29
1963-02-01,"RPI",2844.767,2023-01-29,2023-01-29
1963-03-01,"RPI",2857.502,2023-01-29,2023-01-29
1963-04-01,"RPI",2865.333,2023-01-29,2023-01-29
1963-05-01,"RPI",2877.681,2023-01-29,2023-01-29
1963-06-01,"RPI",2891.248,2023-01-29,2023-01-29
1963-07-01,"RPI",2892.852,2023-01-29,2023-01-29
1963-08-01,"RPI",2903.021,2023-01-29,2023-01-29
1963-09-01,"RPI",2922.823,2023-01-29,2023-01-29
1963-10-01,"RPI",2938.834,2023-01-29,2023-01-29
1963-11-01,"RPI",2944.966,2023-01-29,2023-01-29
1963-12-01,"RPI",2968.29,2023-01-29,2023-01-29
1964-01-01,"RPI",2978.966,2023-01-29,2023-01-29
1964-02-01,"RPI",2991.18,2023-01-29,2023-01-29
1964-03-01,"RPI",3006.408,2023-01-29,2023-01-29
1964-04-01,"RPI",3024.647,2023-01-29,2023-01-29
1964-05-01,"RPI",3042.828,2023-01-29,2023-01-29
1964-06-01,"RPI",3053.6,2023-01-29,2023-01-29
1964-07-01,"RPI",3070.242,2023-01-29,2023-01-29
1964-08-01,"RPI",3087.385,2023-01-29,2023-01-29
1964-09-01,"RPI",3100.22,2023-01-29,2023-01-29
1964-10-01,"RPI",3101.866,2023-01-29,2023-01-29
1964-11-01,"RPI",3122.788,2023-01-29,2023-01-29
1964-12-01,"RPI",3153.736,2023-01-29,2023-01-29
1965-01-01,"RPI",3173.501,2023-01-29,2023-01-29
1965-02-01,"RPI",3175.364,2023-01-29,2023-01-29
1965-03-01,"RPI",3190.591,2023-01-29,2023-01-29
1965-04-01,"RPI",3203.803,2023-01-29,2023-01-29
1965-05-01,"RPI",3221.449,2023-01-29,2023-01-29
1965-06-01,"RPI",3230.773,2023-01-29,2023-01-29
1965-07-01,"RPI",3252.486,2023-01-29,2023-01-29
1965-08-01,"RPI",3266.104,2023-01-29,2023-01-29
1965-09-01,"RPI",3346.103,2023-01-29,2023-01-29
1965-10-01,"RPI",3331.63,2023-01-29,2023-01-29
1965-11-01,"RPI",3356.525,2023-01-29,2023-01-29
1965-12-01,"RPI",3374.333,2023-01-29,2023-01-29
1966-01-01,"RPI",3382.552,2023-01-29,2023-01-29
1966-02-01,"RPI",3399.363,2023-01-29,2023-01-29
1966-03-01,"RPI",3417.621,2023-01-29,2023-01-29
1966-04-01,"RPI",3414.73,2023-01-29,2023-01-29
1966-05-01,"RPI",3425.954,2023-01-29,2023-01-29
1966-06-01,"RPI",3442.635,2023-01-29,2023-01-29
1966-07-01,"RPI",3456.638,2023-01-29,2023-01-29
1966-08-01,"RPI",3473.932,2023-01-29,2023-01-29
1966-09-01,"RPI",3494.844,2023-01-29,2023-01-29
1966-10-01,"RPI",3509.309,2023-01-29,2023-01-29
1966-11-01,"RPI",3531.003,2023-01-29,2023-01-29
1966-12-01,"RPI",3530.065,2023-01-29,2023-01-29
1967-01-01,"RPI",3562.998,2023-01-29,2023-01-29
1967-02-01,"RPI",3567.335,2023-01-29,2023-01-29
1967-03-01,"RPI",3588.793,2023-01-29,2023-01-29
1967-04-01,"RPI",3586.125,2023-01-29,2023-01-29
1967-05-01,"RPI",3592.518,2023-01-29,2023-01-29
1967-06-01,"RPI",3606.776,2023-01-29,2023-01-29
1967-07-01,"RPI",3625.314,2023-01-29,2023-01-29
1967-08-01,"RPI",3642.274,2023-01-29,2023-01-29
1967-09-01,"RPI",3645.137,2023-01-29,2023-01-29
1967-10-01,"RPI",3650.016,2023-01-29,2023-01-29
1967-11-01,"RPI",3673.03,2023-01-29,2023-01-29
1967-12-01,"RPI",3683.388,2023-01-29,2023-01-29
1968-01-01,"RPI",3703.467,2023-01-29,2023-01-29
1968-02-01,"RPI",3731.731,2023-01-29,2023-01-29
1968-03-01,"RPI",3763.465,2023-01-29,2023-01-29
1968-04-01,"RPI",3780.348,2023-01-29,2023-01-29
1968-05-01,"RPI",3800.158,2023-01-29,2023-01-29
1968-06-01,"RPI",3817.95,2023-01-29,2023-01-29
1968-07-01,"RPI",3841.105,2023-01-29,2023-01-29
1968-08-01,"RPI",3858.838,2023-01-29,2023-01-29
1968-09-01,"RPI",3876.933,2023-01-29,2023-01-29
1968-10-01,"RPI",3883.464,2023-01-29,2023-01-29
1968-11-01,"RPI",3900.973,2023-01-29,2023-01-29
1968-12-01,"RPI",3916.872,2023-01-29,2023-01-29
1969-01-01,"RPI",3920.47,2023-01-29,2023-01-29
1969-02-01,"RPI",3938.913,2023-01-29,2023-01-29
1969-03-01,"RPI",3956.672,2023-01-29,2023-01-29
1969-04-01,"RPI",3966.147,2023-01-29,2023-01-29
1969-05-01,"RPI",3981.601,2023-01-29,2023-01-29
1969-06-01,"RPI",3995.273,2023-01-29,2023-01-29
1969-07-01,"RPI",4017.343,2023-01-29,2023-01-29
1969-08-01,"RPI",4042.239,2023-01-29,2023-01-29
1969-09-01,"RPI",4052.81,2023-01-29,2023-01-29
1969-10-01,"RPI",4060.316,2023-01-29,2023-01-29
1969-11-01,"RPI",4064.391,2023-01-29,2023-01-29
1969-12-01,"RPI",4072.746,2023-01-29,2023-01-29
1970-01-01,"RPI",4080.053,2023-01-29,2023-01-29
1970-02-01,"RPI",4090.141,2023-01-29,2023-01-29
1970-03-01,"RPI",4105.972,2023-01-29,2023-01-29
1970-04-01,"RPI",4146.769,2023-01-29,2023-01-29
1970-05-01,"RPI",4122.95,2023-01-29,2023-01-29
1970-06-01,"RPI",4135.827,2023-01-29,2023-01-29
1970-07-01,"RPI",4159.044,2023-01-29,2023-01-29
1970-08-01,"RPI",4169.629,2023-01-29,2023-01-29
1970-09-01,"RPI",4166.724,2023-01-29,2023-01-29
1970-10-01,"RPI",4152.443,2023-01-29,2023-01-29
1970-11-01,"RPI",4148.145,2023-01-29,2023-01-29
1970-12-01,"RPI",4162.384,2023-01-29,2023-01-29
1971-01-01,"RPI",4198.309,2023-01-29,2023-01-29
1971-02-01,"RPI",4206.553,2023-01-29,2023-01-29
1971-03-01,"RPI",4219.729,2023-01-29,2023-01-29
1971-04-01,"RPI",4231.074,2023-01-29,2023-01-29
1971-05-01,"RPI",4247.207,2023-01-29,2023-01-29
1971-06-01,"RPI",4326.865,2023-01-29,2023-01-29
1971-07-01,"RPI",4272.81,2023-01-29,2023-01-29
1971-08-01,"RPI",4287.522,2023-01-29,2023-01-29
1971-09-01,"RPI",4312.76,2023-01-29,2023-01-29
1971-10-01,"RPI",4324.676,2023-01-29,2023-01-29
1971-11-01,"RPI",4346.762,2023-01-29,2023-01-29
1971-12-01,"RPI",4369.464,2023-01-29,2023-01-29
1972-01-01,"RPI",4390.518,2023-01-29,2023-01-29
1972-02-01,"RPI",4426.359,2023-01-29,2023-01-29
1972-03-01,"RPI",4454.36,2023-01-29,2023-01-29
1972-04-01,"RPI",4460.189,2023-01-29,2023-01-29
1972-05-01,"RPI",4479.264,2023-01-29,2023-01-29
1972-06-01,"RPI",4491.62,2023-01-29,2023-01-29
1972-07-01,"RPI",4518.901,2023-01-29,2023-01-29
1972-08-01,"RPI",4560.769,2023-01-29,2023-01-29
1972-09-01,"RPI",4578.161,2023-01-29,2023-01-29
1972-10-01,"RPI",4683.818,2023-01-29,2023-01-29
1972-11-01,"RPI",4731.413,2023-01-29,2023-01-29
1972-12-01,"RPI",4748.855,2023-01-29,2023-01-29
1973-01-01,"RPI",4729.977,2023-01-29,2023-01-29
1973-02-01,"RPI",4747.23,2023-01-29,2023-01-29
1973-03-01,"RPI",4753.071,2023-01-29,2023-01-29
1973-04-01,"RPI",4762.201,2023-01-29,2023-01-29
1973-05-01,"RPI",4783.055,2023-01-29,2023-01-29
1973-06-01,"RPI",4796.373,2023-01-29,2023-01-29
1973-07-01,"RPI",4810.499,2023-01-29,2023-01-29
1973-08-01,"RPI",4796.415,2023-01-29,2023-01-29
1973-09-01,"RPI",4824.783,2023-01-29,2023-01-29
1973-10-01,"RPI",4866.943,2023-01-29,2023-01-29
1973-11-01,"RPI",4878.055,2023-01-29,2023-01-29
1973-12-01,"RPI",4865.13,2023-01-29,2023-01-29
1974-01-01,"RPI",4823.641,2023-01-29,2023-01-29
1974-02-01,"RPI",4794.649,2023-01-29,2023-01-29
1974-03-01,"RPI",4763.27,2023-01-29,2023-01-29
1974-04-01,"RPI",4760.436,2023-01-29,2023-01-29
1974-05-01,"RPI",4764.73,2023-01-29,2023-01-29
1974-06-01,"RPI",4761.622,2023-01-29,2023-01-29
1974-07-01,"RPI",4780.374,2023-01-29,2023-01-29
1974-08-01,"RPI",4772.362,2023-01-29,2023-01-29
1974-09-01,"RPI",4767.383,2023-01-29,2023-01-29
1974-10-01,"RPI",4782.684,2023-01-29,2023-01-29
1974-11-01,"RPI",4754.224,2023-01-29,2023-01-29
1974-12-01,"RPI",4751.434,2023-01-29,2023-01-29
