"date","series_id","value","realtime_start","realtime_end"
1992-01-01,"RRSFS",118651,2023-01-29,2023-01-29
1992-02-01,"RRSFS",118480,2023-01-29,2023-01-29
1992-03-01,"RRSFS",117700,2023-01-29,2023-01-29
1992-04-01,"RRSFS",118156,2023-01-29,2023-01-29
1992-05-01,"RRSFS",118548,2023-01-29,2023-01-29
1992-06-01,"RRSFS",118542,2023-01-29,2023-01-29
1992-07-01,"RRSFS",119044,2023-01-29,2023-01-29
1992-08-01,"RRSFS",119176,2023-01-29,2023-01-29
1992-09-01,"RRSFS",120057,2023-01-29,2023-01-29
1992-10-01,"RRSFS",120413,2023-01-29,2023-01-29
1992-11-01,"RRSFS",120340,2023-01-29,2023-01-29
1992-12-01,"RRSFS",121648,2023-01-29,2023-01-29
1993-01-01,"RRSFS",122625,2023-01-29,2023-01-29
1993-02-01,"RRSFS",121414,2023-01-29,2023-01-29
1993-03-01,"RRSFS",120241,2023-01-29,2023-01-29
1993-04-01,"RRSFS",122913,2023-01-29,2023-01-29
1993-05-01,"RRSFS",123735,2023-01-29,2023-01-29
1993-06-01,"RRSFS",123463,2023-01-29,2023-01-29
1993-07-01,"RRSFS",125082,2023-01-29,2023-01-29
1993-08-01,"RRSFS",124798,2023-01-29,2023-01-29
1993-09-01,"RRSFS",125361,2023-01-29,2023-01-29
1993-10-01,"RRSFS",125607,2023-01-29,2023-01-29
1993-11-01,"RRSFS",126539,2023-01-29,2023-01-29
1993-12-01,"RRSFS",127409,2023-01-29,2023-01-29
1994-01-01,"RRSFS",126550,2023-01-29,2023-01-29
1994-02-01,"RRSFS",128203,2023-01-29,2023-01-29
1994-03-01,"RRSFS",130237,2023-01-29,2023-01-29
1994-04-01,"RRSFS",130190,2023-01-29,2023-01-29
1994-05-01,"RRSFS",129443,2023-01-29,2023-01-29
1994-06-01,"RRSFS",130581,2023-01-29,2023-01-29
1994-07-01,"RRSFS",130555,2023-01-29,2023-01-29
1994-08-01,"RRSFS",131653,2023-01-29,2023-01-29
1994-09-01,"RRSFS",132461,2023-01-29,2023-01-29
1994-10-01,"RRSFS",133582,2023-01-29,2023-01-29
1994-11-01,"RRSFS",133332,2023-01-29,2023-01-29
1994-12-01,"RRSFS",133712,2023-01-29,2023-01-29
1995-01-01,"RRSFS",133936,2023-01-29,2023-01-29
1995-02-01,"RRSFS",131477,2023-01-29,2023-01-29
1995-03-01,"RRSFS",132438,2023-01-29,2023-01-29
1995-04-01,"RRSFS",132432,2023-01-29,2023-01-29
1995-05-01,"RRSFS",133456,2023-01-29,2023-01-29
1995-06-01,"RRSFS",134843,2023-01-29,2023-01-29
1995-07-01,"RRSFS",134286,2023-01-29,2023-01-29
1995-08-01,"RRSFS",135069,2023-01-29,2023-01-29
1995-09-01,"RRSFS",135210,2023-01-29,2023-01-29
1995-10-01,"RRSFS",134317,2023-01-29,2023-01-29
1995-11-01,"RRSFS",135761,2023-01-29,2023-01-29
1995-12-01,"RRSFS",136712,2023-01-29,2023-01-29
1996-01-01,"RRSFS",134906,2023-01-29,2023-01-29
1996-02-01,"RRSFS",136779,2023-01-29,2023-01-29
1996-03-01,"RRSFS",137550,2023-01-29,2023-01-29
1996-04-01,"RRSFS",137525,2023-01-29,2023-01-29
1996-05-01,"RRSFS",138299,2023-01-29,2023-01-29
1996-06-01,"RRSFS",137886,2023-01-29,2023-01-29
1996-07-01,"RRSFS",137791,2023-01-29,2023-01-29
1996-08-01,"RRSFS",137632,2023-01-29,2023-01-29
1996-09-01,"RRSFS",139034,2023-01-29,2023-01-29
1996-10-01,"RRSFS",139735,2023-01-29,2023-01-29
1996-11-01,"RRSFS",139233,2023-01-29,2023-01-29
1996-12-01,"RRSFS",139529,2023-01-29,2023-01-29
1997-01-01,"RRSFS",140201,2023-01-29,2023-01-29
1997-02-01,"RRSFS",141153,2023-01-29,2023-01-29
1997-03-01,"RRSFS",141528,2023-01-29,2023-01-29
1997-04-01,"RRSFS",140472,2023-01-29,2023-01-29
1997-05-01,"RRSFS",139418,2023-01-29,2023-01-29
1997-06-01,"RRSFS",141109,2023-01-29,2023-01-29
1997-07-01,"RRSFS",142583,2023-01-29,2023-01-29
1997-08-01,"RRSFS",142605,2023-01-29,2023-01-29
1997-09-01,"RRSFS",142873,2023-01-29,2023-01-29
1997-10-01,"RRSFS",142313,2023-01-29,2023-01-29
1997-11-01,"RRSFS",142511,2023-01-29,2023-01-29
