"TableName","SeriesCode","LineNumber","LineDescription","TimePeriod","METRIC_NAME","CL_UNIT","UNIT_MULT","DataValue","NoteRef","date"
"T40100","A1073C","1","Current receipts from the rest of the world","1947Q1","Current Dollars","Level","6","19,838","T40100",1947-01-01
"T40100","A1073C","1","Current receipts from the rest of the world","1947Q2","Current Dollars","Level","6","21,057","T40100",1947-04-01
"T40100","A1073C","1","Current receipts from the rest of the world","1947Q3","Current Dollars","Level","6","21,025","T40100",1947-07-01
"T40100","A1073C","1","Current receipts from the rest of the world","1947Q4","Current Dollars","Level","6","19,428","T40100",1947-10-01
"T40100","A1073C","1","Current receipts from the rest of the world","1948Q1","Current Dollars","Level","6","18,841","T40100",1948-01-01
"T40100","A1073C","1","Current receipts from the rest of the world","1948Q2","Current Dollars","Level","6","17,265","T40100",1948-04-01
"T40100","A1073C","1","Current receipts from the rest of the world","1948Q3","Current Dollars","Level","6","17,537","T40100",1948-07-01
"T40100","A1073C","1","Current receipts from the rest of the world","1948Q4","Current Dollars","Level","6","16,669","T40100",1948-10-01
"T40100","A1073C","1","Current receipts from the rest of the world","1949Q1","Current Dollars","Level","6","18,134","T40100",1949-01-01
"T40100","A1073C","1","Current receipts from the rest of the world","1949Q2","Current Dollars","Level","6","17,623","T40100",1949-04-01
"T40100","A1073C","1","Current receipts from the rest of the world","1949Q3","Current Dollars","Level","6","16,055","T40100",1949-07-01
"T40100","A1073C","1","Current receipts from the rest of the world","1949Q4","Current Dollars","Level","6","13,899","T40100",1949-10-01
"T40100","A1073C","1","Current receipts from the rest of the world","1950Q1","Current Dollars","Level","6","13,640","T40100",1950-01-01
"T40100","A1073C","1","Current receipts from the rest of the world","1950Q2","Current Dollars","Level","6","13,920","T40100",1950-04-01
"T40100","A1073C","1","Current receipts from the rest of the world","1950Q3","Current Dollars","Level","6","14,661","T40100",1950-07-01
"T40100","A1073C","1","Current receipts from the rest of the world","1950Q4","Current Dollars","Level","6","15,923","T40100",1950-10-01
"T40100","A1073C","1","Current receipts from the rest of the world","1951Q1","Current Dollars","Level","6","17,443","T40100",1951-01-01
"T40100","A1073C","1","Current receipts from the rest of the world","1951Q2","Current Dollars","Level","6","19,881","T40100",1951-04-01
"T40100","A1073C","1","Current receipts from the rest of the world","1951Q3","Current Dollars","Level","6","20,912","T40100",1951-07-01
"T40100","A1073C","1","Current receipts from the rest of the world","1951Q4","Current Dollars","Level","6","21,184","T40100",1951-10-01
"T40100","A1073C","1","Current receipts from the rest of the world","1952Q1","Current Dollars","Level","6","21,493","T40100",1952-01-01
"T40100","A1073C","1","Current receipts from the rest of the world","1952Q2","Current Dollars","Level","6","19,473","T40100",1952-04-01
"T40100","A1073C","1","Current receipts from the rest of the world","1952Q3","Current Dollars","Level","6","18,111","T40100",1952-07-01
"T40100","A1073C","1","Current receipts from the rest of the world","1952Q4","Current Dollars","Level","6","18,186","T40100",1952-10-01
"T40100","A1073C","1","Current receipts from the rest of the world","1953Q1","Current Dollars","Level","6","17,953","T40100",1953-01-01
"T40100","A1073C","1","Current receipts from the rest of the world","1953Q2","Current Dollars","Level","6","18,163","T40100",1953-04-01
"T40100","A1073C","1","Current receipts from the rest of the world","1953Q3","Current Dollars","Level","6","18,511","T40100",1953-07-01
"T40100","A1073C","1","Current receipts from the rest of the world","1953Q4","Current Dollars","Level","6","17,996","T40100",1953-10-01
"T40100","A1073C","1","Current receipts from the rest of the world","1954Q1","Current Dollars","Level","6","17,379","T40100",1954-01-01
"T40100","A1073C","1","Current receipts from the rest of the world","1954Q2","Current Dollars","Level","6","19,384","T40100",1954-04-01
"T40100","A1073C","1","Current receipts from the rest of the world","1954Q3","Current Dollars","Level","6","18,850","T40100",1954-07-01
"T40100","A1073C","1","Current receipts from the rest of the world","1954Q4","Current Dollars","Level","6","19,887","T40100",1954-10-01
"T40100","A1073C","1","Current receipts from the rest of the world","1955Q1","Current Dollars","Level","6","20,671","T40100",1955-01-01
"T40100","A1073C","1","Current receipts from the rest of the world","1955Q2","Current Dollars","Level","6","20,405","T40100",1955-04-01
"T40100","A1073C","1","Current receipts from the rest of the world","1955Q3","Current Dollars","Level","6","21,686","T40100",1955-07-01
"T40100","A1073C","1","Current receipts from the rest of the world","1955Q4","Current Dollars","Level","6","21,975","T40100",1955-10-01
"T40100","A1073C","1","Current receipts from the rest of the world","1956Q1","Current Dollars","Level","6","23,334","T40100",1956-01-01
"T40100","A1073C","1","Current receipts from the rest of the world","1956Q2","Current Dollars","Level","6","24,817","T40100",1956-04-01
"T40100","A1073C","1","Current receipts from the rest of the world","1956Q3","Current Dollars","Level","6","25,915","T40100",1956-07-01
"T40100","A1073C","1","Current receipts from the rest of the world","1956Q4","Current Dollars","Level","6","26,803","T40100",1956-10-01
"T40100","A1073C","1","Current receipts from the rest of the world","1957Q1","Current Dollars","Level","6","29,199","T40100",1957-01-01
"T40100","A1073C","1","Current receipts from the rest of the world","1957Q2","Current Dollars","Level","6","28,930","T40100",1957-04-01
"T40100","A1073C","1","Current receipts from the rest of the world","1957Q3","Current Dollars","Level","6","28,220","T40100",1957-07-01
"T40100","A1073C","1","Current receipts from the rest of the world","1957Q4","Current Dollars","Level","6","26,792","T40100",1957-10-01
"T40100","A1073C","1","Current receipts from the rest of the world","1958Q1","Current Dollars","Level","6","24,420","T40100",1958-01-01
"T40100","A1073C","1","Current receipts from the rest of the world","1958Q2","Current Dollars","Level","6","24,412","T40100",1958-04-01
"T40100","A1073C","1","Current receipts from the rest of the world","1958Q3","Current Dollars","Level","6","24,434","T40100",1958-07-01
"T40100","A1073C","1","Current receipts from the rest of the world","1958Q4","Current Dollars","Level","6","24,448","T40100",1958-10-01
"T40100","A1073C","1","Current receipts from the rest of the world","1959Q1","Current Dollars","Level","6","25,877","T40100",1959-01-01
"T40100","A1073C","1","Current receipts from the rest of the world","1959Q2","Current Dollars","Level","6","25,833","T40100",1959-04-01
"T40100","A1073C","1","Current receipts from the rest of the world","1959Q3","Current Dollars","Level","6","28,458","T40100",1959-07-01
"T40100","A1073C","1","Current receipts from the rest of the world","1959Q4","Current Dollars","Level","6","27,809","T40100",1959-10-01
"T40100","A1073C","1","Current receipts from the rest of the world","1960Q1","Current Dollars","Level","6","30,914","T40100",1960-01-01
"T40100","A1073C","1","Current receipts from the rest of the world","1960Q2","Current Dollars","Level","6","31,642","T40100",1960-04-01
"T40100","A1073C","1","Current receipts from the rest of the world","1960Q3","Current Dollars","Level","6","32,495","T40100",1960-07-01
"T40100","A1073C","1","Current receipts from the rest of the world","1960Q4","Current Dollars","Level","6","32,679","T40100",1960-10-01
"T40100","A1073C","1","Current receipts from the rest of the world","1961Q1","Current Dollars","Level","6","32,860","T40100",1961-01-01
"T40100","A1073C","1","Current receipts from the rest of the world","1961Q2","Current Dollars","Level","6","31,768","T40100",1961-04-01
"T40100","A1073C","1","Current receipts from the rest of the world","1961Q3","Current Dollars","Level","6","33,095","T40100",1961-07-01
"T40100","A1073C","1","Current receipts from the rest of the world","1961Q4","Current Dollars","Level","6","33,912","T40100",1961-10-01
"T40100","A1073C","1","Current receipts from the rest of the world","1962Q1","Current Dollars","Level","6","33,729","T40100",1962-01-01
"T40100","A1073C","1","Current receipts from the rest of the world","1962Q2","Current Dollars","Level","6","35,493","T40100",1962-04-01
"T40100","A1073C","1","Current receipts from the rest of the world","1962Q3","Current Dollars","Level","6","35,502","T40100",1962-07-01
"T40100","A1073C","1","Current receipts from the rest of the world","1962Q4","Current Dollars","Level","6","35,300","T40100",1962-10-01
"T40100","A1073C","1","Current receipts from the rest of the world","1963Q1","Current Dollars","Level","6","35,580","T40100",1963-01-01
"T40100","A1073C","1","Current receipts from the rest of the world","1963Q2","Current Dollars","Level","6","37,795","T40100",1963-04-01
