"date","series_id","value","realtime_start","realtime_end"
1959-01-01,"W875RX1",2293.2,2023-01-29,2023-01-29
1959-02-01,"W875RX1",2301.5,2023-01-29,2023-01-29
1959-03-01,"W875RX1",2318.5,2023-01-29,2023-01-29
1959-04-01,"W875RX1",2334.9,2023-01-29,2023-01-29
1959-05-01,"W875RX1",2350.4,2023-01-29,2023-01-29
1959-06-01,"W875RX1",2357.4,2023-01-29,2023-01-29
1959-07-01,"W875RX1",2355.6,2023-01-29,2023-01-29
1959-08-01,"W875RX1",2342.1,2023-01-29,2023-01-29
1959-09-01,"W875RX1",2342.1,2023-01-29,2023-01-29
1959-10-01,"W875RX1",2344.8,2023-01-29,2023-01-29
1959-11-01,"W875RX1",2360.6,2023-01-29,2023-01-29
1959-12-01,"W875RX1",2387.6,2023-01-29,2023-01-29
1960-01-01,"W875RX1",2398.7,2023-01-29,2023-01-29
1960-02-01,"W875RX1",2400.9,2023-01-29,2023-01-29
1960-03-01,"W875RX1",2403.1,2023-01-29,2023-01-29
1960-04-01,"W875RX1",2411.8,2023-01-29,2023-01-29
1960-05-01,"W875RX1",2417.7,2023-01-29,2023-01-29
1960-06-01,"W875RX1",2417.1,2023-01-29,2023-01-29
1960-07-01,"W875RX1",2421.7,2023-01-29,2023-01-29
1960-08-01,"W875RX1",2415.5,2023-01-29,2023-01-29
1960-09-01,"W875RX1",2416.2,2023-01-29,2023-01-29
1960-10-01,"W875RX1",2423.8,2023-01-29,2023-01-29
1960-11-01,"W875RX1",2409.9,2023-01-29,2023-01-29
1960-12-01,"W875RX1",2395.8,2023-01-29,2023-01-29
1961-01-01,"W875RX1",2416.7,2023-01-29,2023-01-29
1961-02-01,"W875RX1",2416.9,2023-01-29,2023-01-29
1961-03-01,"W875RX1",2428.8,2023-01-29,2023-01-29
1961-04-01,"W875RX1",2437.2,2023-01-29,2023-01-29
1961-05-01,"W875RX1",2451.7,2023-01-29,2023-01-29
1961-06-01,"W875RX1",2471.4,2023-01-29,2023-01-29
1961-07-01,"W875RX1",2477.3,2023-01-29,2023-01-29
1961-08-01,"W875RX1",2487.8,2023-01-29,2023-01-29
1961-09-01,"W875RX1",2492.7,2023-01-29,2023-01-29
1961-10-01,"W875RX1",2519.4,2023-01-29,2023-01-29
1961-11-01,"W875RX1",2542.5,2023-01-29,2023-01-29
1961-12-01,"W875RX1",2556.5,2023-01-29,2023-01-29
1962-01-01,"W875RX1",2553,2023-01-29,2023-01-29
1962-02-01,"W875RX1",2565.3,2023-01-29,2023-01-29
1962-03-01,"W875RX1",2582.4,2023-01-29,2023-01-29
1962-04-01,"W875RX1",2598.5,2023-01-29,2023-01-29
1962-05-01,"W875RX1",2602.2,2023-01-29,2023-01-29
1962-06-01,"W875RX1",2605.5,2023-01-29,2023-01-29
1962-07-01,"W875RX1",2617.8,2023-01-29,2023-01-29
1962-08-01,"W875RX1",2620.8,2023-01-29,2023-01-29
1962-09-01,"W875RX1",2623.9,2023-01-29,2023-01-29
1962-10-01,"W875RX1",2632.6,2023-01-29,2023-01-29
1962-11-01,"W875RX1",2645.1,2023-01-29,2023-01-29
1962-12-01,"W875RX1",2659.1,2023-01-29,2023-01-29
1963-01-01,"W875RX1",2652.8,2023-01-29,2023-01-29
1963-02-01,"W875RX1",2659.7,2023-01-29,2023-01-29
1963-03-01,"W875RX1",2671.6,2023-01-29,2023-01-29
1963-04-01,"W875RX1",2679.1,2023-01-29,2023-01-29
1963-05-01,"W875RX1",2690.6,2023-01-29,2023-01-29
1963-06-01,"W875RX1",2704.4,2023-01-29,2023-01-29
1963-07-01,"W875RX1",2706,2023-01-29,2023-01-29
1963-08-01,"W875RX1",2715.7,2023-01-29,2023-01-29
1963-09-01,"W875RX1",2734.6,2023-01-29,2023-01-29
1963-10-01,"W875RX1",2749.7,2023-01-29,2023-01-29
1963-11-01,"W875RX1",2756.2,2023-01-29,2023-01-29
1963-12-01,"W875RX1",2775.9,2023-01-29,2023-01-29
1964-01-01,"W875RX1",2775.6,2023-01-29,2023-01-29
1964-02-01,"W875RX1",2800.5,2023-01-29,2023-01-29
1964-03-01,"W875RX1",2814.8,2023-01-29,2023-01-29
1964-04-01,"W875RX1",2832,2023-01-29,2023-01-29
1964-05-01,"W875RX1",2849.9,2023-01-29,2023-01-29
1964-06-01,"W875RX1",2861,2023-01-29,2023-01-29
1964-07-01,"W875RX1",2876.5,2023-01-29,2023-01-29
1964-08-01,"W875RX1",2894,2023-01-29,2023-01-29
1964-09-01,"W875RX1",2906.2,2023-01-29,2023-01-29
1964-10-01,"W875RX1",2908,2023-01-29,2023-01-29
1964-11-01,"W875RX1",2929.5,2023-01-29,2023-01-29
1964-12-01,"W875RX1",2957.7,2023-01-29,2023-01-29
1965-01-01,"W875RX1",2962.9,2023-01-29,2023-01-29
1965-02-01,"W875RX1",2979.2,2023-01-29,2023-01-29
