"date","value"
"2023-03-01",89703
"2023-02-01",77770
"2023-01-01",102943
"2022-12-01",43651
"2022-11-01",76835
"2022-10-01",33843
"2022-09-01",29989
"2022-08-01",20485
"2022-07-01",25810
"2022-06-01",32517
"2022-05-01",20712
"2022-04-01",24286
"2022-03-01",21387
"2022-02-01",15245
"2022-01-01",19064
"2021-12-01",19052
"2021-11-01",14875
"2021-10-01",22822
"2021-09-01",17895
"2021-08-01",15723
"2021-07-01",18942
"2021-06-01",20476
"2021-05-01",24586
"2021-04-01",22913
"2021-03-01",30603
"2021-02-01",34531
"2021-01-01",79552
"2020-12-01",77030
"2020-11-01",64797
"2020-10-01",80666
"2020-09-01",118804
"2020-08-01",115762
"2020-07-01",262649
"2020-06-01",170219
"2020-05-01",397016
"2020-04-01",671129
"2020-03-01",222288
"2020-02-01",56660
"2020-01-01",67735
"2019-12-01",32843
"2019-11-01",44569
"2019-10-01",50275
"2019-09-01",41557
"2019-08-01",53480
"2019-07-01",38845
"2019-06-01",42000
"2019-05-01",58600
"2019-04-01",40000
"2019-03-01",60600
"2019-02-01",76800
"2019-01-01",53000
"2018-12-01",43900
"2018-11-01",53100
"2018-10-01",75600
"2018-09-01",55300
"2018-08-01",38500
"2018-07-01",27100
"2018-06-01",37200
"2018-05-01",31500
"2018-04-01",36100
"2018-03-01",60400
"2018-02-01",35400
"2018-01-01",44700
"2017-12-01",32400
"2017-11-01",35000
"2017-10-01",29800
"2017-09-01",32300
"2017-08-01",33800
"2017-07-01",28300
"2017-06-01",31100
"2017-05-01",51700
"2017-04-01",36600
"2017-03-01",43300
"2017-02-01",37000
"2017-01-01",45900
"2016-12-01",33600
"2016-11-01",26900
"2016-10-01",30700
"2016-09-01",44300
"2016-08-01",32200
"2016-07-01",45300
"2016-06-01",38500
"2016-05-01",30200
"2016-04-01",65100
"2016-03-01",48200
"2016-02-01",61600
"2016-01-01",75100
"2015-12-01",23600
"2015-11-01",31000
"2015-10-01",50500
"2015-09-01",58900
"2015-08-01",41200
"2015-07-01",105700
"2015-06-01",44800
"2015-05-01",41000
"2015-04-01",61600
"2015-03-01",36600
"2015-02-01",50600
"2015-01-01",53000
"2014-12-01",32600
"2014-11-01",35900
"2014-10-01",51200
"2014-09-01",30500
"2014-08-01",40000
"2014-07-01",46900
"2014-06-01",31400
"2014-05-01",53000
"2014-04-01",40300
"2014-03-01",34400
"2014-02-01",41800
"2014-01-01",45100
"2013-12-01",30600
"2013-11-01",45300
"2013-10-01",45700
"2013-09-01",40300
"2013-08-01",50500
"2013-07-01",37700
"2013-06-01",39400
"2013-05-01",36400
"2013-04-01",38120
"2013-03-01",49260
"2013-02-01",55360
"2013-01-01",40430
"2012-12-01",32560
"2012-11-01",57080
"2012-10-01",47720
"2012-09-01",33820
"2012-08-01",32240
"2012-07-01",36860
"2012-06-01",37550
"2012-05-01",61890
"2012-04-01",40560
"2012-03-01",37880
"2012-02-01",51730
"2012-01-01",53490
"2011-12-01",41790
"2011-11-01",42470
"2011-10-01",42760
"2011-09-01",115730
"2011-08-01",51110
"2011-07-01",66410
"2011-06-01",41430
"2011-05-01",37140
"2011-04-01",36490
"2011-03-01",41530
"2011-02-01",50700
"2011-01-01",38520
"2010-12-01",32000
"2010-11-01",48710
"2010-10-01",37990
"2010-09-01",37150
"2010-08-01",34770
"2010-07-01",41680
"2010-06-01",39360
"2010-05-01",38810
"2010-04-01",38330
"2010-03-01",67610
"2010-02-01",42090
"2010-01-01",71480
"2009-12-01",45090
"2009-11-01",50350
"2009-10-01",55680
"2009-09-01",66400
"2009-08-01",76460
"2009-07-01",97370
"2009-06-01",74390
"2009-05-01",111180
"2009-04-01",132590
"2009-03-01",150410
"2009-02-01",186350
"2009-01-01",241750
"2008-12-01",166350
"2008-11-01",181670
"2008-10-01",112880
"2008-09-01",95090
"2008-08-01",88740
"2008-07-01",103310
"2008-06-01",81760
"2008-05-01",103520
"2008-04-01",90020
"2008-03-01",53580
"2008-02-01",72090
"2008-01-01",74990
"2007-12-01",44420
"2007-11-01",73140
"2007-10-01",63110
"2007-09-01",71740
"2007-08-01",79460
"2007-07-01",42900
"2007-06-01",55730
"2007-05-01",71120
"2007-04-01",70670
"2007-03-01",49000
"2007-02-01",84010
"2007-01-01",62980
"2006-12-01",54640
"2006-11-01",76770
"2006-10-01",69180
"2006-09-01",100320
"2006-08-01",65280
"2006-07-01",37180
"2006-06-01",75080
"2006-05-01",53720
"2006-04-01",59690
"2006-03-01",64980
"2006-02-01",87440
"2006-01-01",103470
"2005-12-01",107820
"2005-11-01",99280
"2005-10-01",81300
"2005-09-01",71840
"2005-08-01",70570
"2005-07-01",102970
"2005-06-01",111000
"2005-05-01",82280
"2005-04-01",57860
"2005-03-01",86400
"2005-02-01",108390
"2005-01-01",92350
"2004-12-01",109050
"2004-11-01",104530
"2004-10-01",101840
"2004-09-01",107860
"2004-08-01",74150
"2004-07-01",69570
"2004-06-01",64340
"2004-05-01",73370
"2004-04-01",72180
"2004-03-01",68030
"2004-02-01",77250
"2004-01-01",117560
"2003-12-01",93020
"2003-11-01",99450
"2003-10-01",171870
"2003-09-01",76510
"2003-08-01",79930
"2003-07-01",85120
"2003-06-01",59720
"2003-05-01",68620
"2003-04-01",146400
"2003-03-01",85400
"2003-02-01",138180
"2003-01-01",132220
"2002-12-01",92920
"2002-11-01",157510
"2002-10-01",176010
"2002-09-01",70060
"2002-08-01",118070
"2002-07-01",80970
"2002-06-01",94770
"2002-05-01",84980
"2002-04-01",112650
"2002-03-01",102320
"2002-02-01",128120
"2002-01-01",248480
"2001-12-01",161580
"2001-11-01",181410
"2001-10-01",242190
"2001-09-01",248330
"2001-08-01",140020
"2001-07-01",205980
"2001-06-01",124850
"2001-05-01",80140
"2001-04-01",165560
"2001-03-01",162870
"2001-02-01",101730
"2001-01-01",142210
"2000-12-01",133700
"2000-11-01",44200
"2000-10-01",43800
"2000-09-01",47700
"2000-08-01",57200
"2000-07-01",64000
"2000-06-01",17200
"2000-05-01",27000
"2000-04-01",37300
"2000-03-01",55800
"2000-02-01",35400
"2000-01-01",50600
"1999-12-01",44700
"1999-11-01",50900
"1999-10-01",22800
"1999-09-01",61200
"1999-08-01",57300
