date,production,shipments_volume,new_orders,employment,avg_work_week,prices_received,prices_paid,capex,delivery_time,inventory,f_production,f_shipments_volume,f_new_orders,f_employment,f_avg_work_week,f_prices_received,f_prices_paid,f_capex,f_delivery_time,f_inventory
2001-07-01,-18,-25,-24,-19,-13,-7,3,-11,2,-17,15,20,15,-8,-4,12,17,-1,-6,-26
2001-08-01,19,14,7,-4,-5,1,-3,-23,-4,-7,15,13,17,1,6,9,4,-16,-4,-20
2001-09-01,-1,-3,-15,-20,-12,-10,1,-26,-9,-7,10,11,17,-10,-3,9,14,-19,-4,-23
2001-10-01,-1,-1,-13,-17,-13,-7,6,-32,-7,-9,6,2,11,-13,-6,11,13,-16,3,-34
2001-11-01,-3,-3,-14,-16,-14,-4,2,-26,1,-14,12,11,7,-10,-6,12,15,-25,-1,-20
2001-12-01,1,4,-3,-15,-2,-4,9,-24,-1,-15,19,27,19,-5,-4,14,23,-10,6,-9
2002-01-01,3,0,9,-7,-3,-10,3,-21,3,0,26,34,27,-1,-1,1,15,-6,6,-21
2002-02-01,5,-2,-2,-9,6,-9,8,-37,9,1,28,34,35,9,3,1,24,-7,7,2
2002-03-01,14,13,14,-1,4,-4,7,-39,7,-1,42,42,42,17,18,12,27,1,3,3
2002-04-01,10,2,8,1,-2,-7,15,-31,5,0,32,33,36,15,17,11,32,2,7,2
2002-05-01,17,31,21,-3,3,-8,19,-29,4,4,19,39,39,11,5,9,30,9,5,13
2002-06-01,0,2,8,4,0,-13,16,-22,6,-5,26,30,31,10,7,4,32,9,11,0
2002-07-01,11,10,5,-4,-2,-6,23,-7,2,12,27,33,38,11,3,5,29,9,9,2
2002-08-01,10,5,12,-7,-10,-7,17,-7,5,2,27,28,30,6,4,4,34,8,9,-2
2002-09-01,1,4,2,-7,1,-6,19,-24,2,-1,29,27,24,6,5,-3,24,-2,4,-5
2002-10-01,7,5,10,-6,3,-7,11,-12,2,-5,36,34,37,12,9,-5,22,6,-6,-3
2002-11-01,10,17,14,-6,2,-6,13,0,-3,0,35,35,33,12,16,1,21,7,1,-11
2002-12-01,1,5,5,-11,-8,-8,18,-9,2,-9,29,29,31,9,4,-5,26,5,1,-9
2003-01-01,12,15,9,-9,6,-2,15,-15,3,-9,32,38,35,17,16,5,27,5,1,-6
2003-02-01,10,6,17,-4,12,-4,21,-15,1,-10,29,31,34,12,10,7,24,9,10,-10
2003-03-01,2,0,8,-21,0,-12,11,-9,0,0,33,37,36,12,14,-4,17,4,5,-7
2003-04-01,7,10,7,-11,-2,-12,4,-1,1,-9,33,34,33,0,5,-2,16,11,4,7
2003-05-01,-2,6,4,-4,-4,-8,7,-4,-1,-5,40,38,37,12,14,8,25,10,9,-10
2003-06-01,9,14,14,-7,-2,-4,11,-11,-3,-5,38,35,40,12,11,8,32,14,-2,-7
2003-07-01,12,13,27,3,2,-4,10,-3,0,-10,37,34,23,11,11,5,13,14,4,-1
2003-08-01,18,13,24,9,11,-2,18,0,-1,-14,41,44,45,18,12,11,31,16,1,-3
