date,revenue,employment,avg_hours_worked,part_time_employment,wages,inventory,capex,input_prices,selling_prices,f_revenue,f_employment,f_avg_hours_worked,f_part_time_employment,f_wages,f_inventory,f_capex,f_input_prices,f_selling_prices
2014-01-01,4,0,3,-2,15,-3,7,35,11,29,8,4,14,35,6,19,43,24
2014-02-01,10,10,-3,-3,11,-3,13,23,12,25,10,5,5,43,0,23,50,30
2014-03-01,34,8,4,4,27,-7,7,34,23,38,11,11,7,36,2,19,47,40
2014-04-01,16,5,5,5,34,1,6,38,25,34,19,14,3,45,6,17,47,44
2014-05-01,20,4,11,16,24,7,10,36,21,40,13,24,10,41,9,22,42,39
2014-06-01,10,-4,5,7,15,8,1,32,18,48,23,19,5,45,10,7,55,41
2014-07-01,6,8,5,-1,26,5,4,29,14,46,28,18,5,39,12,13,45,28
2014-08-01,17,14,12,3,19,9,12,33,17,39,20,17,-1,38,13,15,53,42
2014-09-01,9,2,10,3,22,3,5,27,14,45,12,13,1,34,19,16,48,29
2014-10-01,19,4,6,-1,23,2,7,28,16,38,18,9,13,35,13,20,59,38
2014-11-01,12,-1,2,3,25,4,9,26,18,39,17,15,3,38,11,17,43,37
2014-12-01,7,-3,-3,3,20,1,13,29,18,35,9,10,18,36,6,14,48,39
2015-01-01,26,3,11,9,22,2,11,27,15,31,14,12,2,40,1,19,49,38
2015-02-01,19,-1,14,4,23,6,8,19,14,35,14,9,2,33,1,9,38,35
2015-03-01,-1,8,2,0,22,6,9,24,15,29,13,11,5,41,1,11,44,30
2015-04-01,15,8,8,-4,20,3,11,22,6,33,32,22,8,39,3,12,39,24
2015-05-01,21,8,2,-2,21,2,7,23,7,37,27,7,1,42,13,11,37,23
2015-06-01,2,7,0,1,25,3,17,27,15,28,22,14,6,36,10,16,34,18
2015-07-01,15,11,6,8,17,4,12,27,13,26,14,9,0,39,6,14,38,27
2015-08-01,20,6,4,4,20,-1,13,21,8,35,15,9,-2,42,16,19,37,26
2015-09-01,0,8,0,1,19,4,21,14,7,28,19,15,3,32,8,27,35,24
2015-10-01,7,4,1,12,20,3,14,21,9,28,13,-1,1,34,2,2,39,26
2015-11-01,11,-1,4,0,11,0,0,18,0,18,11,8,7,28,1,10,34,21
2015-12-01,3,-3,1,3,22,4,3,19,7,22,15,3,5,35,6,1,36,16
2016-01-01,-5,1,-8,-5,15,-4,-1,11,7,22,20,7,8,36,10,4,25,20
2016-02-01,-8,-5,-12,-5,6,-1,-4,12,0,27,18,5,8,34,9,-12,31,13
2016-03-01,18,-10,-2,1,14,3,3,19,-1,17,7,-2,2,17,12,0,36,7
2016-04-01,-5,-8,-7,1,17,9,8,20,3,14,6,-1,4,32,12,8,43,16
2016-05-01,-3,-1,-2,-2,21,3,0,16,4,0,8,-2,-10,34,4,0,47,31
2016-06-01,10,-7,0,1,15,-5,8,21,6,23,11,4,-3,26,9,11,37,20
2016-07-01,12,-2,2,2,22,2,5,21,10,24,14,8,4,35,10,13,46,26
2016-08-01,-1,5,6,1,26,-9,3,23,13,18,19,6,9,34,4,7,30,19
2016-09-01,13,-1,-3,-6,19,15,7,25,12,18,1,6,7,39,2,12,36,21
2016-10-01,3,1,1,0,16,9,3,16,1,23,16,11,1,33,9,12,33,23
2016-11-01,6,9,3,4,24,4,12,22,7,25,25,11,4,46,4,14,44,21
2016-12-01,22,7,8,5,26,3,10,29,12,44,39,18,2,43,15,20,36,23
2017-01-01,10,4,3,9,23,6,11,33,17,28,20,13,2,39,2,16,42,25
2017-02-01,15,14,11,9,27,2,16,35,17,30,24,19,1,43,9,21,44,32
2017-03-01,25,12,14,-2,25,1,11,31,16,34,35,21,15,51,5,27,45,33
2017-04-01,15,12,11,9,29,12,11,30,21,41,26,19,6,48,5,16,37,38
2017-05-01,8,15,14,7,28,7,11,35,19,32,29,27,4,50,9,30,50,36
2017-06-01,33,15,18,7,32,12,10,18,14,35,20,17,10,49,6,0,49,37
2017-07-01,16,4,11,4,25,10,18,28,15,40,27,17,12,45,6,19,44,31
2017-08-01,6,4,4,7,28,13,15,46,15,33,16,14,14,45,4,14,45,29
2017-09-01,4,5,6,5,24,10,11,30,12,33,33,18,5,40,5,30,47,29
2017-10-01,22,9,17,-2,25,4,15,32,20,34,30,21,-6,47,11,22,43,26
2017-11-01,13,8,11,0,25,4,19,37,19,48,24,14,-2,45,14,15,43,29
2017-12-01,16,0,3,-9,21,-10,13,25,14,40,26,22,3,39,5,16,49,34
2018-01-01,15,4,16,-1,27,9,30,34,13,49,26,22,5,52,13,22,49,34
2018-02-01,20,19,18,11,29,12,19,39,30,44,29,24,18,56,19,22,54,38
2018-03-01,23,15,14,7,31,12,18,33,27,50,33,26,8,53,13,21,41,36
2018-04-01,26,9,12,9,32,7,19,35,9,55,35,23,8,49,14,28,51,30
2018-05-01,23,3,6,12,31,9,20,37,29,30,29,20,9,41,14,28,37,34
2018-06-01,26,14,13,3,29,9,19,36,28,42,27,18,10,50,10,26,45,34
2018-07-01,23,1,9,2,17,7,12,34,26,40,26,19,9,45,16,20,41,32
2018-08-01,11,5,3,-3,28,3,10,34,22,44,28,26,12,46,17,25,53,35
2018-09-01,30,2,21,11,32,5,7,40,25,44,21,22,10,58,18,18,54,44
2018-10-01,16,6,4,15,33,6,16,36,16,40,29,23,17,53,6,20,46,32
2018-11-01,18,3,11,6,31,14,6,39,23,30,21,16,15,40,19,17,47,36
2018-12-01,7,14,7,5,26,12,16,29,16,35,20,12,13,41,7,21,38,19
2019-01-01,22,5,9,6,28,-6,13,32,15,29,2,7,7,35,-9,22,46,33
2019-02-01,20,-2,6,5,26,6,15,37,17,36,15,11,7,43,3,23,47,37
2019-03-01,4,-2,0,12,33,8,27,37,15,30,17,19,12,48,9,26,51,39
2019-04-01,12,12,21,10,24,5,19,39,10,23,17,14,2,42,7,18,50,33
2019-05-01,20,9,19,13,27,20,22,33,11,38,16,20,8,47,4,39,47,28
2019-06-01,3,2,2,10,25,9,7,29,5,26,14,11,5,32,2,13,42,26
2019-07-01,0,0,6,5,23,0,13,32,9,29,14,11,1,42,-3,15,46,23
2019-08-01,26,1,2,1,20,0,16,27,1,29,10,7,-1,42,6,15,45,26
2019-09-01,19,6,11,3,25,-3,26,34,22,25,17,14,8,46,-4,6,41,33
2019-10-01,-2,-2,0,8,21,-3,6,20,7,32,14,4,10,48,9,15,41,24
2019-11-01,14,6,4,10,24,-1,14,34,17,44,23,14,8,49,4,21,45,30
2019-12-01,25,16,12,15,30,-4,11,29,15,19,17,6,3,45,4,11,48,25
2020-01-01,15,12,4,4,25,9,12,29,20,32,19,21,14,53,5,17,54,32
2020-02-01,12,9,21,11,32,3,7,26,19,28,13,15,11,53,15,0,47,28
2020-03-01,-17,-14,-17,-22,3,-14,-11,16,-1,-35,-29,-28,-13,-8,-19,-28,7,-8
2020-04-01,-79,-42,-69,-36,-22,-21,-31,-2,-33,-35,-22,-27,-7,6,-10,-29,4,-16
2020-05-01,-20,-14,-26,-22,-2,-22,-24,13,-13,-2,0,-8,1,21,-6,-17,25,8
2020-06-01,12,4,3,-11,8,-16,-11,38,9,14,8,10,11,27,-5,-6,44,15
2020-07-01,34,8,13,-2,15,-8,3,28,14,4,-3,3,-1,30,-6,-8,31,15
