date,biz_activity,biz_climate,new_orders,revenue,unfilled_orders,inventory,prices_paid,prices_received,employment,part_time_employment,avg_work_week,wages,f_biz_activity,f_biz_climate,capex
2011-03-01,21.8,32.1,34.7,33.7,-0.9,2.6,17.1,-8.4,5.0,7.9,20.5,2.3,47.9,62.0,19.05
2011-04-01,34.3,52.4,33.5,38.4,8.7,12.3,32.4,16.8,17.0,19.1,10.9,29.6,45.0,62.6,22.3
2011-05-01,19.5,32.7,15.2,26.8,3.1,0.6,28.8,9.4,7.6,7.1,17.5,44.1,47.3,51.2,38.7
2011-06-01,-15.6,18.8,12.4,14.9,3.8,0.1,26.9,9.6,22.5,4.4,21.2,29.6,11.4,37.6,5.4
2011-07-01,-7.4,-23.6,-3.9,-12.3,0.1,10.5,30.9,4.8,3.1,-7.6,1.5,31.6,17.4,37.4,10.05
2011-08-01,-19.7,-1.6,-9.4,-2.8,-10.4,5.2,17.9,10.3,-8.9,23.1,20.2,34.9,3.4,26.8,8.05
2011-09-01,-41.3,13.8,1.2,4.2,-0.8,-11.5,11.6,17.8,15.5,19.9,17.2,31.6,10.5,10.9,15.149999999999999
2011-10-01,-16.7,-11.0,-8.6,1.2,-7.7,7.7,21.9,34.9,2.4,-0.2,-11.4,29.1,-6.0,19.8,22.6
2011-11-01,20.3,53.3,29.9,23.6,11.9,6.3,22.8,3.4,16.9,16.3,19.9,29.0,56.1,64.6,12.299999999999999
2011-12-01,37.8,26.1,12.7,21.0,6.9,5.6,26.2,13.0,-2.9,7.3,40.8,23.0,48.7,47.0,11.55
2012-01-01,50.2,34.6,24.2,14.4,18.1,4.2,7.8,15.4,21.4,-3.5,-1.0,19.4,57.7,57.3,29.950000000000003
2012-02-01,58.6,45.2,39.7,32.2,15.3,12.5,27.3,12.6,18.2,11.9,16.2,25.0,63.7,66.8,27.4
2012-03-01,51.2,57.6,52.2,55.1,18.9,2.6,17.3,23.0,26.7,11.7,26.2,34.7,72.0,74.6,32.900000000000006
2012-04-01,25.6,15.0,16.0,16.5,6.4,3.5,25.2,11.0,0.7,9.1,16.1,39.9,48.2,53.8,15.899999999999999
2012-05-01,22.9,19.3,13.1,7.7,1.6,-3.4,23.3,6.0,25.7,20.9,15.8,31.9,53.7,60.5,29.75
2012-06-01,0.5,18.2,10.6,7.5,-2.3,1.9,14.3,13.7,16.1,24.2,13.8,21.6,29.1,32.1,18.65
2012-07-01,10.0,14.4,-1.1,3.3,-11.7,0.3,9.9,11.6,7.9,15.7,6.3,19.7,12.5,32.2,20.75
2012-08-01,1.4,33.1,19.3,27.8,2.7,-2.8,20.7,1.8,15.0,7.3,10.1,16.5,26.7,31.9,15.25
2012-09-01,-5.5,25.6,5.2,-8.8,13.0,3.1,19.6,3.4,-2.9,1.1,2.1,18.8,27.1,44.6,17.200000000000003
2012-10-01,15.4,17.7,-2.2,4.7,0.6,-8.6,34.7,1.5,19.7,16.2,18.5,25.6,34.6,50.8,8.9
2012-11-01,15.3,21.0,10.3,22.5,13.5,12.9,17.8,-1.8,6.0,12.0,25.2,35.8,17.9,34.2,7.949999999999999
2012-12-01,16.0,40.2,28.7,39.4,2.6,2.0,26.7,5.4,0.2,13.6,1.7,12.8,19.3,34.9,13.9
2013-01-01,16.8,27.0,11.9,26.4,3.0,1.4,28.3,3.2,8.3,8.5,10.6,27.4,34.0,39.8,16.1
2013-02-01,7.6,12.6,-6.2,15.5,-9.1,-5.4,20.9,17.3,9.9,15.6,14.7,38.9,36.5,41.5,21.35
2013-03-01,13.7,23.7,8.6,23.9,6.8,5.1,29.1,0.4,20.5,13.7,9.1,37.7,33.8,40.5,15.2
2013-04-01,18.5,23.6,15.5,13.5,8.2,2.5,19.7,12.9,12.1,20.7,14.7,27.5,20.7,28.0,16.1
2013-05-01,25.9,35.0,36.2,28.4,10.5,6.5,19.7,3.2,19.3,9.7,23.4,30.4,50.7,53.6,13.05
2013-06-01,36.8,32.6,18.7,26.9,8.5,4.5,19.1,0.6,15.7,16.6,15.8,42.6,64.4,51.7,16.05
2013-07-01,24.9,41.0,41.0,38.4,6.8,2.8,17.2,12.0,22.6,17.5,24.8,33.2,62.7,59.5,19.35
2013-08-01,36.4,34.3,11.9,29.4,-2.3,7.2,18.1,8.9,17.0,15.5,16.6,33.2,56.0,61.1,30.0
2013-09-01,41.1,47.2,31.0,47.2,12.3,4.5,37.3,17.6,28.0,26.8,24.7,27.4,58.5,51.0,22.6
2013-10-01,24.5,32.1,32.7,42.4,0.6,-1.4,6.8,10.6,24.7,24.4,16.3,31.1,47.6,45.4,23.05
