date,shipments_volume,new_orders,capacity,vendor_lead_time,employment,avg_work_week,wages,inventory,prices_received,prices_paid,f_shipments_volume,f_new_orders,f_capacity,f_vendor_lead_time,f_employment,f_avg_work_week,f_wages,f_capex,f_prices_received,f_prices_paid,biz_climate,f_biz_climate,capex,f_inventory
1993-11-01,7,11,,,4,0.0,,,,,33,,,,2,3.0,,,,,,,,
1993-12-01,20,14,,,1,9.0,,,,,52,,,,5,15.0,,,,,,,,
1994-01-01,20,23,,,1,13.0,,,,,47,,,,-2,16.0,,,,,,,,
1994-02-01,7,11,,,-5,2.0,,,,,38,,,,-6,7.0,,,,,,,,
1994-03-01,26,25,,,3,8.0,,,,,36,,,,5,10.0,,,,,,,,
1994-04-01,21,20,,,3,8.0,,,,,30,,,,2,6.0,,,,,,,,
1994-05-01,21,23,,,8,10.0,,,,,35,,,,8,9.0,,,,,,,,
1994-06-01,25,33,,,-4,22.0,,,,,22,,,,-4,10.0,,,,,,,,
1994-07-01,17,26,,,7,17.0,,,,,34,,,,-5,4.0,,,,,,,,
1994-08-01,28,28,,,6,18.0,,,,,22,,,,2,4.0,,,,,,,,
1994-09-01,21,28,,,11,17.0,,,,,40,,,,11,6.0,,,,,,,,
1994-10-01,24,29,,,13,18.0,,,,,35,,,,12,4.0,,,,,,,,
1994-11-01,10,15,,,7,5.0,,,,,32,,,,11,5.0,,,,,,,,
1994-12-01,19,19,,,10,10.0,,,,,38,,,,15,4.0,,,,,,,,
1995-01-01,17,17,,,6,8.0,,,,,32,,,,13,9.0,,,,,,,,
1995-02-01,13,14,,,7,7.0,,,,,29,,,,11,7.0,,,,,,,,
1995-03-01,10,3,,,10,3.0,,,,,19,,,,7,0.0,,,,,,,,
1995-04-01,-10,-13,,,3,-1.0,,,,,31,,,,3,5.0,,,,,,,,
1995-05-01,-5,-3,,,2,0.0,,,,,31,,,,4,6.0,,,,,,,,
1995-06-01,-10,-16,,,1,-9.0,,,,,25,,,,8,3.0,,,,,,,,
1995-07-01,-7,-14,,,-6,-13.0,,,,,31,,,,8,4.0,,,,,,,,
1995-08-01,-3,-10,,,-5,-8.0,,,,,34,,,,6,10.0,,,,,,,,
1995-09-01,0,-7,,,-9,-8.0,,,,,40,,,,2,17.0,,,,,,,,
1995-10-01,-7,-9,,,-6,-8.0,,,,,30,,,,-5,11.0,,,,,,,,
1995-11-01,2,-4,,,-9,-3.0,,,,,35,,,,-2,9.0,,,,,,,,
1995-12-01,-8,-8,,,-9,-9.0,,,,,36,,,,2,4.0,,,,,,,,
1996-01-01,-10,-14,,,-5,-14.0,,,,,34,,,,3,9.0,,,,,,,,
1996-02-01,-2,-3,,,-8,-9.0,,,,,36,,,,4,15.0,,,,,,,,
1996-03-01,-31,-26,,,-8,-19.0,,,,,35,,,,7,13.0,,,,,,,,
1996-04-01,-5,0,,,-6,-5.0,,,,,35,,,,2,8.0,,,,,,,,
1996-05-01,8,7,,,-2,-3.0,,,,,34,,,,9,10.0,,,,,,,,
1996-06-01,6,6,,,-1,1.0,,,,,37,,,,1,7.0,,,,,,,,
1996-07-01,7,4,,1.0,2,1.0,,,,,34,,,,0,11.0,,,,,,,,
1996-08-01,6,9,,-6.0,2,0.0,,,,,30,,,,-1,-2.0,,,,,,,,
1996-09-01,-2,-4,,4.0,2,-6.0,,,,,33,,,,5,2.0,,,,,,,,
1996-10-01,4,1,,-4.0,0,0.0,,,,,34,,,,2,8.0,,,,,,,,
1996-11-01,2,7,,-1.0,7,-5.0,,,,,31,,,,13,11.0,,,,,,,,
1996-12-01,9,11,,-4.0,-2,-4.0,,,,,34,,,,7,12.0,,,,,,,,
1997-01-01,-2,9,,1.0,-4,-2.0,,,,,33,,,,6,10.0,,,,,,,,
1997-02-01,-5,-1,,-3.0,0,-1.0,,,,,44,,,,4,8.0,,,,,,,,
1997-03-01,16,17,,-1.0,-1,-2.0,,,,,40,,,,15,8.0,,,,,,,,
1997-04-01,12,18,,2.0,0,7.0,,,,,37,,,,7,14.0,,,,,,,,
1997-05-01,14,9,9.0,3.0,7,3.0,12.0,15.0,,,34,36.0,24.0,4.0,7,9.0,43.0,13.0,,,,,,-13.0
