date,production,f_production,capacity,f_capacity,new_orders,f_new_orders,unfilled_orders,f_unfilled_orders,shipments_volume,f_shipments_volume,delivery_time,f_delivery_time,inventory,f_inventory,prices_paid,f_prices_paid,prices_received,f_prices_received,wages,f_wages,employment,f_employment,avg_hours_worked,f_avg_hours_worked,capex,f_capex,outlook,f_outlook,biz_climate,f_biz_climate,uncertainty
2004-06-01,33.9,55.8,27.1,57.8,24.3,52.1,8.0,9.7,35.5,60.5,1.5,-0.4,11.5,-5.3,55.1,30.3,22.8,32.9,25.2,50.8,28.6,36.3,21.0,23.8,32.3,46.9,47.8,52.8,47.3,53.3,
2004-07-01,36.7,71.1,32.3,61.9,23.3,62.4,1.7,7.8,26.0,70.9,11.5,-5.0,7.1,4.5,60.6,35.9,34.0,16.5,20.3,60.3,20.3,41.4,15.9,14.4,27.2,45.4,41.1,56.5,38.6,44.8,
2004-08-01,28.8,65.8,23.9,55.9,24.6,59.8,1.5,8.8,19.4,69.6,2.1,3.2,-1.4,1.4,67.0,50.0,29.6,34.3,20.7,49.0,15.7,39.5,23.7,18.3,32.6,42.7,34.6,56.4,37.1,54.8,
2004-09-01,24.4,73.2,11.0,69.3,20.0,64.5,1.9,6.0,19.2,71.0,0.6,1.4,10.9,4.3,60.2,52.1,25.6,35.2,20.6,54.7,9.2,35.9,6.2,19.6,23.7,37.7,26.5,50.7,26.9,45.4,
2004-10-01,21.8,62.2,17.1,57.9,19.3,59.6,16.0,10.6,11.0,64.8,6.6,8.0,13.9,0.0,71.9,41.5,30.5,18.5,18.5,49.7,1.8,31.6,7.5,22.2,17.7,48.0,29.3,52.9,24.5,46.6,
2004-11-01,34.6,67.7,25.8,62.7,33.5,68.3,9.6,10.4,27.5,63.9,17.4,9.8,4.2,11.5,55.7,44.3,28.9,38.5,24.7,48.7,18.1,37.1,8.3,16.9,19.4,45.0,33.7,60.6,43.1,54.1,
2004-12-01,40.8,55.7,34.8,52.6,30.2,48.9,7.0,12.1,40.3,57.1,13.9,8.0,-4.4,0.0,45.7,37.9,23.1,35.9,19.6,45.8,15.3,26.7,13.7,26.2,19.4,38.0,32.4,44.0,41.6,50.7,
2005-01-01,13.8,49.9,10.9,44.4,16.2,44.1,10.7,5.8,21.3,48.7,14.0,4.6,-6.3,4.8,38.7,41.9,24.3,37.1,20.3,50.4,19.6,36.0,23.2,13.4,7.7,48.2,24.9,37.1,28.3,33.0,
2005-02-01,25.4,48.1,23.0,39.8,26.1,41.3,7.0,4.4,18.8,48.7,8.6,-0.5,6.1,1.5,43.4,38.1,16.5,23.5,24.1,44.6,19.6,16.4,18.2,10.9,17.3,39.4,24.4,40.1,28.1,38.1,
2005-03-01,17.5,49.7,9.3,43.7,20.6,34.9,9.3,9.4,15.5,52.5,3.2,-5.5,-10.6,-9.4,52.1,43.1,24.8,21.5,29.9,38.5,14.5,19.0,3.6,7.6,22.0,34.0,27.0,34.6,30.2,30.5,
2005-04-01,11.5,46.9,6.5,41.0,2.7,44.0,-3.7,13.3,15.2,45.0,8.8,6.9,-18.0,-8.2,39.2,40.0,17.5,14.8,20.3,48.2,20.0,36.7,23.9,14.1,13.9,36.8,10.4,22.4,7.3,19.1,
2005-05-01,13.5,50.2,8.1,41.5,15.7,48.5,6.6,15.1,17.2,47.1,19.2,-2.2,-13.5,0.0,18.4,28.3,20.0,16.7,24.5,51.6,21.3,34.2,24.0,20.4,14.3,37.0,23.6,35.0,26.4,34.8,
2005-06-01,32.6,54.0,20.0,37.5,22.8,40.1,7.3,3.0,33.0,38.9,11.1,-15.1,-16.7,3.4,11.3,20.7,13.6,5.1,23.6,49.0,14.4,30.5,11.9,9.4,19.6,36.2,24.6,29.0,13.3,23.0,
