"date","value"
2010-01-01,104060800
2010-02-01,103971000
2010-03-01,104038750
2010-04-01,104247500
2010-05-01,104310200
2010-06-01,104391250
2010-07-01,104625400
2010-08-01,104703250
2010-09-01,104817500
2010-10-01,104866600
2010-11-01,105022500
2010-12-01,105054500
2011-01-01,105301800
2011-02-01,105507250
2011-03-01,105850500
2011-04-01,106137400
2011-05-01,106419750
2011-06-01,106653000
2011-07-01,106929000
2011-08-01,107166750
2011-09-01,107375500
2011-10-01,107572400
2011-11-01,107818500
2011-12-01,107904000
2012-01-01,108156750
2012-02-01,108420250
2012-03-01,108675400
2012-04-01,108947500
2012-05-01,109171500
2012-06-01,109316400
2012-07-01,109355000
2012-08-01,109593000
2012-09-01,109843200
2012-10-01,110007750
2012-11-01,110159750
2012-12-01,110142200
2013-01-01,110444750
2013-02-01,110666500
2013-03-01,110949600
2013-04-01,111138500
2013-05-01,111341500
2013-06-01,111575200
2013-07-01,111806000
2013-08-01,111996200
2013-09-01,112066250
2013-10-01,112202000
2013-11-01,112529000
2013-12-01,112848250
2014-01-01,112902000
2014-02-01,113112750
2014-03-01,113344800
2014-04-01,113751000
2014-05-01,114067000
2014-06-01,114391500
2014-07-01,114650750
2014-08-01,114851200
2014-09-01,115053250
2014-10-01,115377500
2014-11-01,115616400
2014-12-01,115890750
2015-01-01,115891000
2015-02-01,116002500
2015-03-01,116064000
2015-04-01,116334000
2015-05-01,116665200
2015-06-01,117091250
2015-07-01,117307250
2015-08-01,117537800
2015-09-01,117823250
2015-10-01,118103400
2015-11-01,118285000
2015-12-01,118312500
2016-01-01,118413600
2016-02-01,118596000
2016-03-01,118835750
2016-04-01,118986200
2016-05-01,119090250
2016-06-01,119300250
2016-07-01,119597400
2016-08-01,119824750
2016-09-01,120020250
2016-10-01,120260200
2016-11-01,120515250
2016-12-01,120513800
2017-01-01,120539500
2017-02-01,120666000
2017-03-01,120840500
2017-04-01,121109800
2017-05-01,121377000
2017-06-01,121653000
2017-07-01,121925200
2017-08-01,122082000
2017-09-01,122263400
2017-10-01,122412250
2017-11-01,122601750
2017-12-01,122649600
2018-01-01,122709250
2018-02-01,122909750
2018-03-01,123021000
2018-04-01,123084750
2018-05-01,123324500
2018-06-01,123614800
2018-07-01,123816500
2018-08-01,123923750
2018-09-01,124031400
2018-10-01,124210500
2018-11-01,124305750
2018-12-01,124399600
2019-01-01,124453750
2019-02-01,124392750
2019-03-01,124394400
2019-04-01,124376750
2019-05-01,124355750
2019-06-01,124447800
2019-07-01,124479000
2019-08-01,124395600
2019-09-01,124368000
2019-10-01,124249000
2019-11-01,124149000
2019-12-01,124192000
2020-01-01,123966750
2020-02-01,123928200
2020-03-01,123023250
2020-04-01,117764250
2020-05-01,116264800
2020-06-01,116300000
2020-07-01,116110000
2020-08-01,116013800
2020-09-01,116279750
2020-10-01,116620600
2020-11-01,116860000
2020-12-01,117041250
2021-01-01,116935000
2021-02-01,117092500
2021-03-01,117333250
2021-04-01,117592750
2021-05-01,117973800
2021-06-01,118542000
2021-07-01,119482200
2021-08-01,120245250
2021-09-01,120975500
2021-10-01,121735400
2021-11-01,122481250
2021-12-01,123128500
2022-01-01,123558000
2022-02-01,124117500
2022-03-01,124401500
2022-04-01,124642400
2022-05-01,124860500
2022-06-01,125251000
2022-07-01,125761800
2022-08-01,126043000
2022-09-01,126270500
2022-10-01,126464800
2022-11-01,126575750
2022-12-01,126785400
2023-01-01,127034750
2023-02-01,127153250
2023-03-01,127315750
