"date","value"
1996-12-01,NA
1997-01-01,9.99
1997-02-01,9.76
1997-03-01,9.75
1997-04-01,10.21
1997-05-01,9.82
1997-06-01,9.58
1997-07-01,9.52
1997-08-01,9.44
1997-09-01,9.5
1997-10-01,9.39
1997-11-01,9.5
1997-12-01,9.41
1998-01-01,9.26
1998-02-01,9.06
1998-03-01,9.07
1998-04-01,9.05
1998-05-01,9.15
1998-06-01,9.21
1998-07-01,9.26
1998-08-01,9.9
1998-09-01,11.29
1998-10-01,12.05
1998-11-01,11.24
1998-12-01,10.64
1999-01-01,10.71
1999-02-01,10.69
1999-03-01,10.75
1999-04-01,10.19
1999-05-01,10.24
1999-06-01,10.59
1999-07-01,10.7
1999-08-01,11.15
1999-09-01,11.33
1999-10-01,11.6
1999-11-01,11.19
1999-12-01,11.04
2000-01-01,11.26
2000-02-01,11.37
2000-03-01,11.83
2000-04-01,12.2
2000-05-01,12.48
2000-06-01,12.33
2000-07-01,12.29
2000-08-01,12.4
2000-09-01,12.6
2000-10-01,13.37
2000-11-01,14.26
2000-12-01,14.97
2001-01-01,13.77
2001-02-01,12.75
2001-03-01,13.02
2001-04-01,13.74
2001-05-01,12.9
2001-06-01,13.42
2001-07-01,13.15
2001-08-01,12.83
2001-09-01,13.2
2001-10-01,13.57
2001-11-01,12.73
2001-12-01,11.8
2002-01-01,11.26
2002-02-01,11.32
2002-03-01,11.16
2002-04-01,11.04
2002-05-01,10.92
2002-06-01,11.61
2002-07-01,14.21
2002-08-01,13.68
2002-09-01,13.26
2002-10-01,13.71
2002-11-01,12.73
2002-12-01,11.81
2003-01-01,10.74
2003-02-01,10.88
2003-03-01,10.31
2003-04-01,9.58
2003-05-01,9.07
2003-06-01,8.65
2003-07-01,8.66
2003-08-01,9.32
2003-09-01,8.66
2003-10-01,8.25
2003-11-01,7.93
2003-12-01,7.55
2004-01-01,7.12
2004-02-01,7.4
2004-03-01,7.31
2004-04-01,7.44
2004-05-01,8.08
2004-06-01,7.97
2004-07-01,7.72
2004-08-01,7.63
2004-09-01,7.31
2004-10-01,7.1
2004-11-01,6.8
2004-12-01,6.74
2005-01-01,6.95
2005-02-01,6.79
2005-03-01,7.08
2005-04-01,7.72
2005-05-01,8.03
2005-06-01,7.55
2005-07-01,7.21
2005-08-01,7.18
2005-09-01,7.29
2005-10-01,7.59
2005-11-01,7.7
2005-12-01,7.76
2006-01-01,7.7
2006-02-01,7.72
2006-03-01,7.73
2006-04-01,7.75
2006-05-01,7.81
2006-06-01,8.13
