"date","value"
1967-01-01,1560250
1967-02-01,1573750
1967-03-01,1557000
1967-04-01,1382000
1967-05-01,1150500
1967-06-01,1038500
1967-07-01,1144000
1967-08-01,1091000
1967-09-01,899600
1967-10-01,886000
1967-11-01,971250
1967-12-01,1232200
1968-01-01,1629000
1968-02-01,1569750
1968-03-01,1409800
1968-04-01,1152750
1968-05-01,983750
1968-06-01,890000
1968-07-01,988500
1968-08-01,961400
1968-09-01,803000
1968-10-01,791500
1968-11-01,895200
1968-12-01,1135500
1969-01-01,1496000
1969-02-01,1471500
1969-03-01,1331600
1969-04-01,1112500
1969-05-01,914600
1969-06-01,847250
1969-07-01,1008750
1969-08-01,965600
1969-09-01,841000
1969-10-01,851250
1969-11-01,1004200
1969-12-01,1312750
1970-01-01,1840400
1970-02-01,1873250
1970-03-01,1801000
1970-04-01,1768250
1970-05-01,1683800
1970-06-01,1578250
1970-07-01,1740500
1970-08-01,1731400
1970-09-01,1600500
1970-10-01,1714200
1970-11-01,2006750
1970-12-01,2284250
1971-01-01,2791800
1971-02-01,2751000
1971-03-01,2600750
1971-04-01,2332250
1971-05-01,2031600
1971-06-01,1900500
1971-07-01,1969600
1971-08-01,1928000
1971-09-01,1750750
1971-10-01,1709000
1971-11-01,1861000
1971-12-01,2138750
1972-01-01,2517200
1972-02-01,2500250
1972-03-01,2318500
1972-04-01,2039200
1972-05-01,1750250
1972-06-01,1640500
1972-07-01,1791600
1972-08-01,1598000
1972-09-01,1395400
1972-10-01,1355250
1972-11-01,1474750
1972-12-01,1771800
1973-01-01,2131000
1973-02-01,2071000
1973-03-01,1912800
1973-04-01,1675500
1973-05-01,1477000
1973-06-01,1390200
1973-07-01,1505250
1973-08-01,1470500
1973-09-01,1304400
1973-10-01,1292750
1973-11-01,1447000
1973-12-01,1839600
1974-01-01,2559250
1974-02-01,2623500
1974-03-01,2516200
1974-04-01,2234750
1974-05-01,1953250
1974-06-01,1847000
1974-07-01,1991750
1974-08-01,1886000
1974-09-01,1782500
1974-10-01,1908500
1974-11-01,2436000
1974-12-01,3444750
1975-01-01,4706250
1975-02-01,5033750
1975-03-01,5112200
1975-04-01,4816500
1975-05-01,4314200
1975-06-01,3877500
1975-07-01,3891000
1975-08-01,3467800
1975-09-01,3071000
1975-10-01,2923000
1975-11-01,3020400
1975-12-01,3305000
1976-01-01,3923600
1976-02-01,3722000
1976-03-01,3439750
1976-04-01,3079500
1976-05-01,2761000
1976-06-01,2651000
1976-07-01,2803600
1976-08-01,2669500
1976-09-01,2459000
1976-10-01,2457200
1976-11-01,2669500
1976-12-01,2975750
1977-01-01,3610600
1977-02-01,3666250
1977-03-01,3233000
1977-04-01,2780800
1977-05-01,2416750
1977-06-01,2315750
1977-07-01,2424800
1977-08-01,2355500
1977-09-01,2106000
1977-10-01,2061000
1977-11-01,2238750
1977-12-01,2620000
1978-01-01,3196000
1978-02-01,3272250
1978-03-01,2980500
1978-04-01,2439800
1978-05-01,2057250
1978-06-01,1980000
1978-07-01,2194200
1978-08-01,2220750
1978-09-01,1872000
1978-10-01,1816750
1978-11-01,1947000
1978-12-01,2388600
1979-01-01,3036500
1979-02-01,3054000
1979-03-01,2784000
1979-04-01,2452250
1979-05-01,2089750
1979-06-01,2000800
1979-07-01,2296500
1979-08-01,2300000
1979-09-01,2032200
1979-10-01,2044250
1979-11-01,2290500
1979-12-01,2783800
1980-01-01,3540250
1980-02-01,3530750
1980-03-01,3386800
1980-04-01,3282250
1980-05-01,3330800
1980-06-01,3445000
1980-07-01,3707500
1980-08-01,3439800
1980-09-01,3103000
1980-10-01,2916750
1980-11-01,2959000
1980-12-01,3201000
1981-01-01,3877400
1981-02-01,3668500
1981-03-01,3404750
1981-04-01,3028750
1981-05-01,2718600
1981-06-01,2588500
1981-07-01,2743750
1981-08-01,2678000
1981-09-01,2488750
1981-10-01,2575400
1981-11-01,3038250
1981-12-01,3610500
1982-01-01,4482400
1982-02-01,4376250
1982-03-01,4308500
1982-04-01,4119500
1982-05-01,3756000
1982-06-01,3727750
1982-07-01,3874200
1982-08-01,3857500
1982-09-01,3695750
1982-10-01,3811200
1982-11-01,4126000
1982-12-01,4435750
1983-01-01,4968800
1983-02-01,4764000
1983-03-01,4459250
1983-04-01,3947000
1983-05-01,3368250
1983-06-01,3141500
1983-07-01,3007000
1983-08-01,2810250
1983-09-01,2482500
1983-10-01,2359000
1983-11-01,2463000
1983-12-01,2793000
1984-01-01,3260250
1984-02-01,3070250
1984-03-01,2863000
1984-04-01,2524000
1984-05-01,2222250
1984-06-01,2126600
1984-07-01,2277750
1984-08-01,2178250
1984-09-01,2010600
1984-10-01,2058500
1984-11-01,2277500
1984-12-01,2633000
1985-01-01,3267500
1985-02-01,3257750
1985-03-01,3044200
1985-04-01,2701000
1985-05-01,2392000
1985-06-01,2301800
1985-07-01,2464750
1985-08-01,2303600
1985-09-01,2142000
1985-10-01,2134000
1985-11-01,2361000
1985-12-01,2716750
1986-01-01,3316250
1986-02-01,3185000
1986-03-01,3087600
1986-04-01,2739250
1986-05-01,2489600
1986-06-01,2369750
1986-07-01,2548000
1986-08-01,2406000
1986-09-01,2252250
1986-10-01,2200750
1986-11-01,2344400
1986-12-01,2624500
1987-01-01,3202486
1987-02-01,3066253
1987-03-01,2866531
1987-04-01,2543745
1987-05-01,2165811
1987-06-01,2051812
1987-07-01,2146712
1987-08-01,2025237
1987-09-01,1808952
1987-10-01,1658193
1987-11-01,1869329
1987-12-01,2140451
1988-01-01,2790929
1988-02-01,2667090
1988-03-01,2517422
1988-04-01,2174212
1988-05-01,1904941
1988-06-01,1844860
1988-07-01,1959140
1988-08-01,1893147
1988-09-01,1711524
1988-10-01,1641087
1988-11-01,1775890
1988-12-01,2125950
1989-01-01,2629931
1989-02-01,2631714
1989-03-01,2556412
1989-04-01,2215898
1989-05-01,1939043
1989-06-01,1920033
1989-07-01,2067521
1989-08-01,2011717
1989-09-01,1811276
1989-10-01,1864743
1989-11-01,2031990
1989-12-01,2420675
1990-01-01,3003430
1990-02-01,2924149
1990-03-01,2809490
1990-04-01,2488044
1990-05-01,2224516
1990-06-01,2174281
1990-07-01,2400898
1990-08-01,2292845
1990-09-01,2134755
1990-10-01,2218706
1990-11-01,2544898
1990-12-01,3071985
1991-01-01,3923018
1991-02-01,4036918
1991-03-01,4067111
1991-04-01,3660043
1991-05-01,3266731
1991-06-01,3087694
1991-07-01,3220017
1991-08-01,2959073
1991-09-01,2730554
1991-10-01,2690540
1991-11-01,3005485
1991-12-01,3446306
1992-01-01,4242052
1992-02-01,4092533
1992-03-01,3891494
1992-04-01,3524947
1992-05-01,3133189
1992-06-01,2955988
1992-07-01,3140771
1992-08-01,2967742
1992-09-01,2647078
1992-10-01,2507124
1992-11-01,2664970
1992-12-01,2845696
1993-01-01,3411238
1993-02-01,3245903
1993-03-01,3163077
1993-04-01,2935833
1993-05-01,2607836
1993-06-01,2582049
1993-07-01,2674548
1993-08-01,2549686
1993-09-01,2343548
1993-10-01,2313102
1993-11-01,2516678
1993-12-01,2766727
1994-01-01,3401354
1994-02-01,3432920
1994-03-01,3243649
1994-04-01,2851298
