"date","value"
1992-01-01,-0.65256
1992-02-01,-0.83547
1992-03-01,-0.83311
1992-04-01,-0.7051
1992-05-01,-0.72182
1992-06-01,-0.704
1992-07-01,-0.76183
1992-08-01,-0.7819
1992-09-01,-0.82066
1992-10-01,-0.83667
1992-11-01,-0.72743
1992-12-01,-0.62851
1993-01-01,-0.60502
1993-02-01,-0.63959
1993-03-01,-0.55507
1993-04-01,-0.60144
1993-05-01,-0.55617
1993-06-01,-0.64138
1993-07-01,-0.61621
1993-08-01,-0.61891
1993-09-01,-0.55577
1993-10-01,-0.49661
1993-11-01,-0.31423
1993-12-01,-0.25959
1994-01-01,-0.18323
1994-02-01,-0.1176
1994-03-01,-0.06463
1994-04-01,-0.04001
1994-05-01,0.03854
1994-06-01,-0.0073
1994-07-01,0.07438
1994-08-01,0.11086
1994-09-01,0.17193
1994-10-01,0.17279
1994-11-01,0.29943
1994-12-01,0.32315
1995-01-01,0.30289
1995-02-01,0.45545
1995-03-01,0.44152
1995-04-01,0.38043
1995-05-01,0.38577
1995-06-01,0.34027
1995-07-01,0.38851
1995-08-01,0.40901
1995-09-01,0.39776
1995-10-01,0.31289
1995-11-01,0.3366
1995-12-01,0.35726
1996-01-01,0.38411
1996-02-01,0.30677
1996-03-01,0.31188
1996-04-01,0.29821
1996-05-01,0.36693
1996-06-01,0.45351
1996-07-01,0.4534
1996-08-01,0.58932
1996-09-01,0.52153
1996-10-01,0.57921
1996-11-01,0.55639
1996-12-01,0.56408
1997-01-01,0.7155
1997-02-01,0.6784
1997-03-01,0.63841
1997-04-01,0.63418
1997-05-01,0.81289
1997-06-01,0.78202
1997-07-01,0.88487
1997-08-01,0.8758
1997-09-01,0.89242
1997-10-01,0.88797
1997-11-01,0.91393
1997-12-01,0.98787
1998-01-01,0.95562
1998-02-01,0.96856
1998-03-01,0.93917
1998-04-01,1.0378
1998-05-01,1.02337
1998-06-01,1.10852
1998-07-01,1.03352
1998-08-01,1.01146
1998-09-01,1.0561
1998-10-01,1.0521
1998-11-01,1.00063
1998-12-01,1.08629
1999-01-01,1.12789
1999-02-01,1.15884
1999-03-01,1.24532
1999-04-01,1.18385
1999-05-01,1.11095
1999-06-01,1.24154
1999-07-01,1.17679
1999-08-01,1.23862
1999-09-01,1.32662
1999-10-01,1.29209
1999-11-01,1.45659
1999-12-01,1.46624
2000-01-01,1.46667
2000-02-01,1.3446
2000-03-01,1.44539
2000-04-01,1.54615
2000-05-01,1.3501
2000-06-01,1.30813
2000-07-01,1.46019
2000-08-01,1.35729
2000-09-01,1.39699
2000-10-01,1.40763
2000-11-01,1.30042
2000-12-01,1.15491
2001-01-01,1.2685
2001-02-01,1.07654
2001-03-01,1.0818
2001-04-01,0.97543
2001-05-01,1.00313
2001-06-01,0.84081
2001-07-01,0.83748
2001-08-01,0.82964
2001-09-01,0.49827
2001-10-01,0.24961
2001-11-01,0.15108
2001-12-01,0.10774
2002-01-01,0.18393
2002-02-01,0.10005
2002-03-01,0.14354
2002-04-01,0.17838
2002-05-01,0.09896
2002-06-01,0.0749
2002-07-01,0.06845
2002-08-01,0.06885
2002-09-01,-0.0233
2002-10-01,-0.06106
2002-11-01,-0.11192
2002-12-01,-0.10531
2003-01-01,-0.13275
2003-02-01,-0.29283
2003-03-01,-0.414
2003-04-01,-0.29754
2003-05-01,-0.37062
2003-06-01,-0.30091
2003-07-01,-0.35945
2003-08-01,-0.31268
2003-09-01,-0.35909
2003-10-01,-0.29054
2003-11-01,-0.18349
2003-12-01,-0.03296
2004-01-01,-0.07155
2004-02-01,-0.11613
2004-03-01,-0.04798
2004-04-01,0.03746
2004-05-01,0.00223
2004-06-01,0.12355
2004-07-01,0.17287
2004-08-01,0.17295
2004-09-01,0.11829
2004-10-01,0.12883
2004-11-01,0.27802
2004-12-01,0.26243
2005-01-01,0.19279
2005-02-01,0.33541
2005-03-01,0.27662
2005-04-01,0.3349
