"date","value"
2020-02-01,100
2020-02-02,99.93
2020-02-03,99.88
2020-02-04,99.8
2020-02-05,99.87
2020-02-06,99.92
2020-02-07,99.73
2020-02-08,99.7
2020-02-09,99.63
2020-02-10,99.56
2020-02-11,99.59
2020-02-12,99.53
2020-02-13,99.54
2020-02-14,99.74
2020-02-15,99.86
2020-02-16,99.99
2020-02-17,100.07
2020-02-18,100.04
2020-02-19,99.98
2020-02-20,99.87
2020-02-21,99.65
2020-02-22,99.42
2020-02-23,99.35
2020-02-24,99.29
2020-02-25,99.28
2020-02-26,99.12
2020-02-27,98.99
2020-02-28,98.9
2020-02-29,98.82
2020-03-01,98.72
2020-03-02,98.67
2020-03-03,98.67
2020-03-04,98.81
2020-03-05,98.86
2020-03-06,98.81
2020-03-07,98.85
2020-03-08,98.77
2020-03-09,98.54
2020-03-10,98.31
2020-03-11,98.01
2020-03-12,97.77
2020-03-13,97.58
2020-03-14,97.43
2020-03-15,97.16
2020-03-16,96.96
2020-03-17,96.5
2020-03-18,95.96
2020-03-19,95.16
2020-03-20,94.04
2020-03-21,92.52
2020-03-22,91.08
2020-03-23,89.62
2020-03-24,88.3
2020-03-25,86.78
2020-03-26,85.21
2020-03-27,83.42
2020-03-28,81.95
2020-03-29,80.36
2020-03-30,78.84
2020-03-31,77.21
2020-04-01,75.54
2020-04-02,73.88
2020-04-03,72.6
2020-04-04,71.05
2020-04-05,69.53
2020-04-06,67.88
2020-04-07,66.16
2020-04-08,64.8
2020-04-09,63.5
2020-04-10,62.31
2020-04-11,61.44
2020-04-12,60.56
2020-04-13,59.8
2020-04-14,59.24
2020-04-15,58.55
2020-04-16,57.98
2020-04-17,57.43
2020-04-18,56.96
2020-04-19,56.53
2020-04-20,56.18
2020-04-21,55.85
2020-04-22,55.48
2020-04-23,55.12
2020-04-24,54.87
2020-04-25,54.62
2020-04-26,54.37
2020-04-27,54.11
2020-04-28,53.93
2020-04-29,53.85
2020-04-30,53.79
2020-05-01,53.65
2020-05-02,53.55
2020-05-03,53.49
2020-05-04,53.44
2020-05-05,53.32
2020-05-06,53.19
2020-05-07,53.17
2020-05-08,53.16
2020-05-09,53.2
2020-05-10,53.22
2020-05-11,53.16
2020-05-12,53.16
2020-05-13,52.85
2020-05-14,52.58
2020-05-15,52.58
2020-05-16,52.46
2020-05-17,52.39
2020-05-18,52.32
2020-05-19,52.18
2020-05-20,52.4
2020-05-21,52.55
2020-05-22,52.45
2020-05-23,52.46
2020-05-24,52.36
2020-05-25,52.3
2020-05-26,52.26
2020-05-27,52.26
2020-05-28,52.28
2020-05-29,52.43
2020-05-30,52.66
2020-05-31,52.87
2020-06-01,53.05
2020-06-02,53.22
2020-06-03,53.3
2020-06-04,53.37
2020-06-05,53.38
2020-06-06,53.35
2020-06-07,53.35
2020-06-08,53.34
2020-06-09,53.28
2020-06-10,53.28
2020-06-11,53.24
2020-06-12,53.19
2020-06-13,53.06
2020-06-14,53.02
2020-06-15,52.99
2020-06-16,53.07
2020-06-17,53.12
2020-06-18,53.2
2020-06-19,53.26
2020-06-20,53.4
2020-06-21,53.47
2020-06-22,53.59
2020-06-23,53.61
2020-06-24,53.64
2020-06-25,53.67
2020-06-26,53.6
2020-06-27,53.52
2020-06-28,53.46
2020-06-29,53.36
2020-06-30,53.36
2020-07-01,53.34
2020-07-02,53.34
2020-07-03,53.47
2020-07-04,53.61
2020-07-05,53.72
2020-07-06,53.85
2020-07-07,53.98
2020-07-08,54.22
2020-07-09,54.45
2020-07-10,54.67
2020-07-11,54.82
2020-07-12,55
2020-07-13,55.19
2020-07-14,55.36
2020-07-15,55.39
2020-07-16,55.49
2020-07-17,55.6
2020-07-18,55.63
2020-07-19,55.75
2020-07-20,55.9
2020-07-21,55.97
2020-07-22,56.12
2020-07-23,56.21
2020-07-24,56.25
2020-07-25,56.36
2020-07-26,56.3
2020-07-27,56.14
2020-07-28,56.03
2020-07-29,55.93
2020-07-30,55.81
2020-07-31,55.75
2020-08-01,55.68
2020-08-02,55.64
2020-08-03,55.67
2020-08-04,55.68
2020-08-05,55.59
2020-08-06,55.43
2020-08-07,55.17
2020-08-08,54.99
2020-08-09,54.85
2020-08-10,54.73
2020-08-11,54.64
2020-08-12,54.58
2020-08-13,54.55
2020-08-14,54.63
2020-08-15,54.56
2020-08-16,54.61
2020-08-17,54.61
2020-08-18,54.6
2020-08-19,54.65
2020-08-20,54.77
2020-08-21,54.81
2020-08-22,54.91
2020-08-23,54.9
2020-08-24,54.89
2020-08-25,54.85
2020-08-26,54.8
2020-08-27,54.66
2020-08-28,54.55
2020-08-29,54.46
2020-08-30,54.4
2020-08-31,54.36
2020-09-01,54.34
2020-09-02,54.38
2020-09-03,54.5
2020-09-04,54.65
2020-09-05,54.79
2020-09-06,54.99
2020-09-07,55.19
2020-09-08,55.37
2020-09-09,55.54
2020-09-10,55.7
2020-09-11,55.86
2020-09-12,56.02
2020-09-13,56.16
2020-09-14,56.25
2020-09-15,56.38
2020-09-16,56.56
2020-09-17,56.67
2020-09-18,56.77
2020-09-19,56.89
2020-09-20,56.97
2020-09-21,57.09
2020-09-22,57.25
2020-09-23,57.32
2020-09-24,57.42
2020-09-25,57.61
2020-09-26,57.75
2020-09-27,57.89
2020-09-28,58.04
2020-09-29,58.2
2020-09-30,58.3
2020-10-01,58.31
2020-10-02,58.3
2020-10-03,58.25
2020-10-04,58.17
2020-10-05,58.02
2020-10-06,57.78
2020-10-07,57.61
2020-10-08,57.58
2020-10-09,57.61
2020-10-10,57.63
2020-10-11,57.72
2020-10-12,57.81
2020-10-13,57.93
2020-10-14,58.12
2020-10-15,58.35
2020-10-16,58.41
2020-10-17,58.43
2020-10-18,58.58
2020-10-19,58.72
2020-10-20,58.84
2020-10-21,58.89
2020-10-22,58.78
2020-10-23,58.67
2020-10-24,58.7
2020-10-25,58.56
2020-10-26,58.49
2020-10-27,58.5
2020-10-28,58.52
2020-10-29,58.66
2020-10-30,58.92
2020-10-31,59.16
2020-11-01,59.45
2020-11-02,59.71
2020-11-03,59.89
2020-11-04,60.17
2020-11-05,60.34
2020-11-06,60.51
2020-11-07,60.55
2020-11-08,60.58
2020-11-09,60.64
2020-11-10,60.77
2020-11-11,60.83
2020-11-12,60.89
2020-11-13,60.96
2020-11-14,61.05
2020-11-15,61.26
2020-11-16,61.49
2020-11-17,61.79
2020-11-18,62.09
2020-11-19,62.42
2020-11-20,62.69
2020-11-21,63.09
2020-11-22,63.43
2020-11-23,63.76
2020-11-24,63.93
2020-11-25,64.06
2020-11-26,64.26
2020-11-27,64.49
2020-11-28,64.58
2020-11-29,64.56
2020-11-30,64.53
2020-12-01,64.5
2020-12-02,64.45
2020-12-03,64.48
2020-12-04,64.54
2020-12-05,64.69
2020-12-06,64.86
2020-12-07,65.03
2020-12-08,65.29
2020-12-09,65.65
2020-12-10,65.8
2020-12-11,66.02
2020-12-12,66.07
2020-12-13,66.26
2020-12-14,66.44
2020-12-15,66.43
2020-12-16,66.44
2020-12-17,66.42
2020-12-18,66.3
2020-12-19,66.16
2020-12-20,65.91
2020-12-21,65.66
2020-12-22,65.51
2020-12-23,65.33
2020-12-24,65.21
2020-12-25,65.02
2020-12-26,64.99
2020-12-27,64.96
2020-12-28,65.06
2020-12-29,65.28
2020-12-30,65.66
2020-12-31,66.08
2021-01-01,66.55
2021-01-02,67.04
2021-01-03,67.59
2021-01-04,68.07
2021-01-05,68.53
2021-01-06,68.82
2021-01-07,69.17
2021-01-08,69.61
2021-01-09,70
2021-01-10,70.28
2021-01-11,70.52
2021-01-12,70.74
2021-01-13,71.13
2021-01-14,71.49
2021-01-15,71.83
2021-01-16,72.19
2021-01-17,72.5
2021-01-18,72.76
2021-01-19,72.91
2021-01-20,72.98
2021-01-21,72.98
2021-01-22,72.99
2021-01-23,72.91
2021-01-24,73.02
2021-01-25,73.19
2021-01-26,73.41
2021-01-27,73.62
2021-01-28,73.86
2021-01-29,74.16
2021-01-30,74.66
2021-01-31,75.05
2021-02-01,75.4
2021-02-02,75.75
2021-02-03,76.14
2021-02-04,76.54
2021-02-05,76.92
2021-02-06,77.13
2021-02-07,77.44
2021-02-08,77.72
2021-02-09,78.12
2021-02-10,78.44
2021-02-11,78.82
2021-02-12,79.22
2021-02-13,79.71
2021-02-14,80.08
2021-02-15,80.48
2021-02-16,80.77
2021-02-17,81
2021-02-18,81.21
2021-02-19,81.23
2021-02-20,81.13
2021-02-21,81.17
2021-02-22,81.22
2021-02-23,81.35
2021-02-24,81.52
2021-02-25,81.64
2021-02-26,81.92
2021-02-27,82.32
2021-02-28,82.67
2021-03-01,82.94
2021-03-02,83.22
2021-03-03,83.49
2021-03-04,83.85
2021-03-05,84.08
2021-03-06,84.16
2021-03-07,84.3
2021-03-08,84.44
2021-03-09,84.6
2021-03-10,84.74
2021-03-11,84.92
2021-03-12,85.21
2021-03-13,85.67
2021-03-14,86.06
2021-03-15,86.5
2021-03-16,86.9
2021-03-17,87.35
2021-03-18,87.81
2021-03-19,88.28
2021-03-20,88.82
2021-03-21,89.27
2021-03-22,89.68
2021-03-23,90.12
2021-03-24,90.55
2021-03-25,90.9
2021-03-26,91.09
2021-03-27,91.26
2021-03-28,91.49
2021-03-29,91.76
2021-03-30,91.94
2021-03-31,92.06
2021-04-01,92.05
2021-04-02,91.95
2021-04-03,91.86
2021-04-04,91.78
2021-04-05,91.71
2021-04-06,91.64
2021-04-07,91.42
2021-04-08,91.4
2021-04-09,91.67
2021-04-10,91.64
2021-04-11,91.57
2021-04-12,91.54
2021-04-13,91.5
2021-04-14,91.69
2021-04-15,91.84
2021-04-16,91.87
2021-04-17,92.18
2021-04-18,92.43
2021-04-19,92.68
2021-04-20,92.94
2021-04-21,93.23
2021-04-22,93.53
2021-04-23,93.83
2021-04-24,94.21
2021-04-25,94.55
