"date","value"
2020-02-01,100
2020-02-02,99.91
2020-02-03,99.93
2020-02-04,99.99
2020-02-05,100.08
2020-02-06,100.13
2020-02-07,100.08
2020-02-08,100.12
2020-02-09,100.18
2020-02-10,100.26
2020-02-11,100.3
2020-02-12,100.42
2020-02-13,100.56
2020-02-14,100.77
2020-02-15,100.72
2020-02-16,100.89
2020-02-17,101.06
2020-02-18,101.14
2020-02-19,100.93
2020-02-20,100.63
2020-02-21,100.3
2020-02-22,100.18
2020-02-23,100.03
2020-02-24,99.75
2020-02-25,99.54
2020-02-26,99.43
2020-02-27,99.28
2020-02-28,99.18
2020-02-29,99.16
2020-03-01,99.03
2020-03-02,98.95
2020-03-03,98.8
2020-03-04,98.76
2020-03-05,98.78
2020-03-06,98.87
2020-03-07,98.94
2020-03-08,98.92
2020-03-09,98.82
2020-03-10,98.89
2020-03-11,98.88
2020-03-12,98.86
2020-03-13,98.83
2020-03-14,98.86
2020-03-15,98.76
2020-03-16,98.69
2020-03-17,98.41
2020-03-18,98.02
2020-03-19,97.51
2020-03-20,96.69
2020-03-21,95.44
2020-03-22,94.36
2020-03-23,93.29
2020-03-24,92.2
2020-03-25,90.91
2020-03-26,89.51
2020-03-27,87.74
2020-03-28,86.43
2020-03-29,84.93
2020-03-30,83.5
2020-03-31,82.07
2020-04-01,80.5
2020-04-02,78.96
2020-04-03,78.1
2020-04-04,77.08
2020-04-05,76.13
2020-04-06,75.08
2020-04-07,74.05
2020-04-08,73.57
2020-04-09,73.17
2020-04-10,72.57
2020-04-11,72.13
2020-04-12,71.62
2020-04-13,71.18
2020-04-14,70.8
2020-04-15,70.24
2020-04-16,69.76
2020-04-17,69.23
2020-04-18,68.76
2020-04-19,68.27
2020-04-20,67.92
2020-04-21,67.55
2020-04-22,67.23
2020-04-23,66.89
2020-04-24,66.61
2020-04-25,66.33
2020-04-26,66.11
2020-04-27,65.77
2020-04-28,65.38
2020-04-29,65.05
2020-04-30,64.73
2020-05-01,64.46
2020-05-02,64.22
2020-05-03,63.96
2020-05-04,63.81
2020-05-05,63.7
2020-05-06,63.54
2020-05-07,63.45
2020-05-08,63.44
2020-05-09,63.46
2020-05-10,63.55
2020-05-11,63.53
2020-05-12,63.52
2020-05-13,63.08
2020-05-14,62.77
2020-05-15,62.6
2020-05-16,62.23
2020-05-17,61.86
2020-05-18,61.52
2020-05-19,61.25
2020-05-20,61.56
2020-05-21,61.83
2020-05-22,61.82
2020-05-23,61.97
2020-05-24,61.97
2020-05-25,61.97
2020-05-26,61.94
2020-05-27,61.76
2020-05-28,61.48
2020-05-29,61.38
2020-05-30,61.47
2020-05-31,61.52
2020-06-01,61.49
2020-06-02,61.45
2020-06-03,61.46
2020-06-04,61.5
2020-06-05,61.54
2020-06-06,61.49
2020-06-07,61.54
2020-06-08,61.62
2020-06-09,61.77
2020-06-10,61.97
2020-06-11,62.1
2020-06-12,62.1
2020-06-13,62.01
2020-06-14,62.07
2020-06-15,62.12
2020-06-16,62.2
2020-06-17,62.25
2020-06-18,62.37
2020-06-19,62.54
2020-06-20,62.85
2020-06-21,63.02
2020-06-22,63.22
2020-06-23,63.3
2020-06-24,63.37
2020-06-25,63.46
2020-06-26,63.52
2020-06-27,63.57
2020-06-28,63.63
2020-06-29,63.67
2020-06-30,63.83
2020-07-01,63.89
2020-07-02,63.88
2020-07-03,63.99
2020-07-04,64.07
2020-07-05,64.13
2020-07-06,64.22
2020-07-07,64.29
2020-07-08,64.59
2020-07-09,64.94
2020-07-10,65.25
2020-07-11,65.56
2020-07-12,65.85
2020-07-13,66.13
2020-07-14,66.38
