"date","value"
2020-02-01,100
2020-02-02,99.52
2020-02-03,99.16
2020-02-04,98.77
2020-02-05,98.55
2020-02-06,98.29
2020-02-07,98.05
2020-02-08,97.92
2020-02-09,97.8
2020-02-10,97.53
2020-02-11,97.25
2020-02-12,97.06
2020-02-13,96.89
2020-02-14,96.85
2020-02-15,96.78
2020-02-16,96.79
2020-02-17,96.99
2020-02-18,97.36
2020-02-19,97.73
2020-02-20,98.12
2020-02-21,98.6
2020-02-22,99.07
2020-02-23,99.49
2020-02-24,99.89
2020-02-25,100.09
2020-02-26,100.39
2020-02-27,100.66
2020-02-28,100.83
2020-02-29,100.95
2020-03-01,101
2020-03-02,100.97
2020-03-03,101.11
2020-03-04,101.16
2020-03-05,101.21
2020-03-06,101.16
2020-03-07,101.17
2020-03-08,101.12
2020-03-09,100.98
2020-03-10,100.65
2020-03-11,100.21
2020-03-12,99.73
2020-03-13,99.26
2020-03-14,98.79
2020-03-15,98.32
2020-03-16,97.86
2020-03-17,97.2
2020-03-18,96.33
2020-03-19,95.16
2020-03-20,93.67
2020-03-21,91.79
2020-03-22,89.97
2020-03-23,88.08
2020-03-24,86.51
2020-03-25,84.99
2020-03-26,83.58
2020-03-27,81.93
2020-03-28,80.52
2020-03-29,79.06
2020-03-30,77.72
2020-03-31,76.18
2020-04-01,74.59
2020-04-02,73.09
2020-04-03,72.16
2020-04-04,71.2
2020-04-05,70.17
2020-04-06,69.06
2020-04-07,67.88
2020-04-08,67.09
2020-04-09,66.35
2020-04-10,65.53
2020-04-11,64.83
2020-04-12,64.23
2020-04-13,63.7
2020-04-14,63.33
2020-04-15,62.88
2020-04-16,62.43
2020-04-17,62.08
2020-04-18,61.88
2020-04-19,61.7
2020-04-20,61.64
2020-04-21,61.6
2020-04-22,61.54
2020-04-23,61.57
2020-04-24,61.62
2020-04-25,61.68
2020-04-26,61.77
2020-04-27,61.82
2020-04-28,61.94
2020-04-29,62.17
2020-04-30,62.4
2020-05-01,62.66
2020-05-02,62.94
2020-05-03,63.22
2020-05-04,63.55
2020-05-05,63.9
2020-05-06,64.29
2020-05-07,64.65
2020-05-08,65.07
2020-05-09,65.49
2020-05-10,65.94
2020-05-11,66.32
