"date","value"
2020-02-01,100
2020-02-02,99.8
2020-02-03,99.67
2020-02-04,99.5
2020-02-05,99.38
2020-02-06,99.31
2020-02-07,99.17
2020-02-08,99
2020-02-09,98.81
2020-02-10,98.6
2020-02-11,98.41
2020-02-12,98.27
2020-02-13,98.12
2020-02-14,98
2020-02-15,97.79
2020-02-16,97.72
2020-02-17,97.66
2020-02-18,97.62
2020-02-19,97.54
2020-02-20,97.47
2020-02-21,97.23
2020-02-22,97.13
2020-02-23,96.97
2020-02-24,96.83
2020-02-25,96.76
2020-02-26,96.96
2020-02-27,97.1
2020-02-28,97.46
2020-02-29,97.77
2020-03-01,98.05
2020-03-02,98.44
2020-03-03,98.59
2020-03-04,98.35
2020-03-05,98.18
2020-03-06,98
2020-03-07,97.83
2020-03-08,97.65
2020-03-09,97.28
2020-03-10,97.09
2020-03-11,96.95
2020-03-12,96.65
2020-03-13,96.12
2020-03-14,95.45
2020-03-15,94.77
2020-03-16,94.1
2020-03-17,93
2020-03-18,91.61
2020-03-19,89.97
2020-03-20,88.14
2020-03-21,86.05
2020-03-22,83.97
2020-03-23,81.88
2020-03-24,79.95
2020-03-25,78.13
2020-03-26,76.34
2020-03-27,74.68
2020-03-28,73.27
2020-03-29,71.85
2020-03-30,70.47
2020-03-31,69.21
2020-04-01,68.04
2020-04-02,66.98
2020-04-03,66.1
2020-04-04,64.47
2020-04-05,62.83
2020-04-06,61.82
2020-04-07,60.41
2020-04-08,59.18
2020-04-09,58.1
2020-04-10,56.98
2020-04-11,56.56
2020-04-12,56.15
2020-04-13,55.14
2020-04-14,54.58
2020-04-15,54
2020-04-16,53.34
2020-04-17,52.77
2020-04-18,52.42
2020-04-19,52.15
2020-04-20,51.91
2020-04-21,51.7
2020-04-22,51.52
2020-04-23,51.44
2020-04-24,51.47
2020-04-25,51.5
2020-04-26,51.52
2020-04-27,51.56
2020-04-28,51.65
2020-04-29,51.72
2020-04-30,51.86
2020-05-01,52.28
2020-05-02,52.6
2020-05-03,52.93
2020-05-04,53.24
2020-05-05,53.59
2020-05-06,54
2020-05-07,54.41
2020-05-08,54.62
2020-05-09,54.94
2020-05-10,55.27
2020-05-11,55.6
2020-05-12,55.91
2020-05-13,56.13
2020-05-14,56.39
2020-05-15,56.63
2020-05-16,56.85
2020-05-17,57.1
2020-05-18,57.38
2020-05-19,57.63
2020-05-20,57.96
2020-05-21,58.28
2020-05-22,58.57
2020-05-23,58.92
2020-05-24,59.23
2020-05-25,59.52
2020-05-26,59.82
2020-05-27,60.25
2020-05-28,60.68
2020-05-29,61.09
2020-05-30,61.44
2020-05-31,61.8
2020-06-01,62.06
2020-06-02,62.25
2020-06-03,62.27
2020-06-04,62.33
2020-06-05,62.37
2020-06-06,62.44
2020-06-07,62.48
2020-06-08,62.6
2020-06-09,62.79
2020-06-10,63.03
2020-06-11,63.24
2020-06-12,63.5
2020-06-13,63.84
2020-06-14,64.22
2020-06-15,64.65
2020-06-16,65.2
2020-06-17,65.68
