"date","value"
2020-02-01,100
2020-02-02,100.03
2020-02-03,99.97
2020-02-04,100.11
2020-02-05,100.51
2020-02-06,100.66
2020-02-07,100.24
2020-02-08,99.82
2020-02-09,99.4
2020-02-10,99.12
2020-02-11,98.73
2020-02-12,98.38
2020-02-13,98.09
2020-02-14,97.95
2020-02-15,97.74
2020-02-16,97.63
2020-02-17,97.36
2020-02-18,97.27
2020-02-19,97.1
2020-02-20,96.9
2020-02-21,96.81
2020-02-22,96.65
2020-02-23,96.56
2020-02-24,96.67
2020-02-25,96.46
2020-02-26,96.16
2020-02-27,95.79
2020-02-28,95.42
2020-02-29,95.14
2020-03-01,94.74
2020-03-02,94.15
2020-03-03,93.86
2020-03-04,93.56
2020-03-05,93.35
2020-03-06,92.94
2020-03-07,92.5
2020-03-08,92.11
2020-03-09,91.63
2020-03-10,91.27
2020-03-11,91.78
2020-03-12,91.84
2020-03-13,91.87
2020-03-14,91.53
2020-03-15,91.03
2020-03-16,90.62
2020-03-17,89.63
2020-03-18,85.97
2020-03-19,81.49
2020-03-20,76.53
2020-03-21,71.57
2020-03-22,66.68
2020-03-23,61.77
2020-03-24,57.15
2020-03-25,54.24
2020-03-26,52.37
2020-03-27,50.96
2020-03-28,49.91
2020-03-29,48.88
2020-03-30,47.97
2020-03-31,47.16
2020-04-01,46.27
2020-04-02,45.52
2020-04-03,45
2020-04-04,43.96
2020-04-05,42.89
2020-04-06,42.2
2020-04-07,41.23
2020-04-08,40.53
2020-04-09,40.02
2020-04-10,39.47
2020-04-11,39.53
2020-04-12,39.59
2020-04-13,39.27
2020-04-14,39.19
2020-04-15,39.05
2020-04-16,38.82
2020-04-17,38.74
2020-04-18,38.7
2020-04-19,38.65
2020-04-20,38.65
2020-04-21,38.48
2020-04-22,38.4
2020-04-23,38.15
2020-04-24,37.79
2020-04-25,37.44
2020-04-26,37.08
2020-04-27,36.68
2020-04-28,36.29
2020-04-29,36.01
2020-04-30,35.81
2020-05-01,35.68
2020-05-02,35.53
2020-05-03,35.39
2020-05-04,35.06
2020-05-05,35.19
2020-05-06,35.4
2020-05-07,35.61
2020-05-08,35.79
2020-05-09,36.07
2020-05-10,36.38
2020-05-11,36.8
2020-05-12,36.89
2020-05-13,36.73
2020-05-14,36.85
2020-05-15,37.07
2020-05-16,37.07
2020-05-17,37.12
2020-05-18,37.3
2020-05-19,37.61
2020-05-20,37.97
2020-05-21,38.17
2020-05-22,38.34
2020-05-23,38.8
2020-05-24,39.2
2020-05-25,39.55
2020-05-26,39.87
2020-05-27,40.21
2020-05-28,40.51
2020-05-29,40.82
2020-05-30,41.08
2020-05-31,41.33
2020-06-01,41.56
2020-06-02,41.83
2020-06-03,42.05
2020-06-04,42.22
2020-06-05,42.31
2020-06-06,42.48
2020-06-07,42.68
2020-06-08,42.86
2020-06-09,43.14
2020-06-10,43.46
2020-06-11,43.85
2020-06-12,44.23
2020-06-13,44.58
2020-06-14,45.02
2020-06-15,45.5
2020-06-16,45.97
2020-06-17,46.48
2020-06-18,47.07
2020-06-19,47.76
2020-06-20,48.54
2020-06-21,49.4
2020-06-22,50.26
2020-06-23,50.28
2020-06-24,50.27
2020-06-25,50.14
2020-06-26,49.93
2020-06-27,49.6
2020-06-28,49.13
2020-06-29,48.68
2020-06-30,49.02
2020-07-01,49.42
2020-07-02,49.79
2020-07-03,50.22
2020-07-04,50.61
2020-07-05,50.94
2020-07-06,51.24
2020-07-07,51.5
2020-07-08,51.62
2020-07-09,51.78
2020-07-10,51.84
2020-07-11,51.92
2020-07-12,52.02
2020-07-13,52.09
2020-07-14,52.18
2020-07-15,52.29
2020-07-16,52.42
2020-07-17,52.54
2020-07-18,52.62
2020-07-19,52.69
2020-07-20,52.82
2020-07-21,52.93
2020-07-22,53.04
2020-07-23,53.22
2020-07-24,53.42
2020-07-25,53.65
2020-07-26,53.89
2020-07-27,54.13
2020-07-28,54.37
2020-07-29,54.67
2020-07-30,54.68
2020-07-31,54.81
2020-08-01,54.81
2020-08-02,54.79
2020-08-03,54.75
2020-08-04,54.72
2020-08-05,54.79
2020-08-06,55.04
2020-08-07,55.15
2020-08-08,55.42
2020-08-09,55.68
2020-08-10,55.94
2020-08-11,56.18
2020-08-12,56.09
2020-08-13,55.99
2020-08-14,55.93
2020-08-15,55.76
2020-08-16,55.64
2020-08-17,55.24
2020-08-18,55.08
2020-08-19,55.14
2020-08-20,55.21
2020-08-21,55.22
2020-08-22,55.29
2020-08-23,55.29
2020-08-24,55.64
2020-08-25,55.82
2020-08-26,55.99
2020-08-27,56.15
2020-08-28,56.38
2020-08-29,56.68
2020-08-30,57.01
2020-08-31,57.03
2020-09-01,57
2020-09-02,57.13
2020-09-03,57.32
2020-09-04,57.59
2020-09-05,57.73
2020-09-06,57.82
2020-09-07,58.14
2020-09-08,58.36
2020-09-09,58.12
2020-09-10,58.03
2020-09-11,57.82
2020-09-12,57.69
2020-09-13,57.36
2020-09-14,57.11
2020-09-15,57.24
2020-09-16,57.69
2020-09-17,57.88
2020-09-18,58.05
2020-09-19,58.09
2020-09-20,58.26
2020-09-21,58.36
2020-09-22,58.21
2020-09-23,57.75
2020-09-24,57.32
2020-09-25,57.01
2020-09-26,56.81
2020-09-27,56.69
2020-09-28,56.56
2020-09-29,56.63
2020-09-30,56.88
2020-10-01,57.04
2020-10-02,57.17
2020-10-03,57.34
2020-10-04,57.57
2020-10-05,57.52
2020-10-06,57.21
2020-10-07,57.25
2020-10-08,57.4
2020-10-09,57.54
2020-10-10,57.58
2020-10-11,57.55
2020-10-12,57.86
2020-10-13,58.16
2020-10-14,58.21
2020-10-15,58.28
2020-10-16,58.35
2020-10-17,58.48
2020-10-18,58.68
2020-10-19,58.86
2020-10-20,59.04
2020-10-21,59.19
2020-10-22,59.32
2020-10-23,59.36
2020-10-24,59.39
2020-10-25,59.27
2020-10-26,59.25
2020-10-27,59.12
2020-10-28,59.05
2020-10-29,59.05
2020-10-30,58.96
2020-10-31,58.78
2020-11-01,58.76
2020-11-02,58.48
2020-11-03,58.35
2020-11-04,58.19
2020-11-05,57.91
2020-11-06,58.15
2020-11-07,58.39
2020-11-08,58.59
2020-11-09,58.88
2020-11-10,59.06
2020-11-11,59.28
2020-11-12,59.57
2020-11-13,59.43
2020-11-14,59.28
2020-11-15,59.19
2020-11-16,59.17
2020-11-17,59.23
2020-11-18,59.15
2020-11-19,59.06
2020-11-20,59.01
2020-11-21,59.07
2020-11-22,59.06
2020-11-23,59.08
2020-11-24,59.09
2020-11-25,59.19
2020-11-26,59.13
2020-11-27,58.97
2020-11-28,58.8
2020-11-29,58.64
2020-11-30,58.48
2020-12-01,58.24
2020-12-02,57.97
2020-12-03,57.81
2020-12-04,57.7
2020-12-05,57.62
2020-12-06,57.52
2020-12-07,57.37
2020-12-08,57.27
2020-12-09,57.21
2020-12-10,57.2
2020-12-11,57.3
2020-12-12,57.49
2020-12-13,57.82
2020-12-14,58.25
2020-12-15,58.73
2020-12-16,59.17
2020-12-17,59.57
2020-12-18,59.9
2020-12-19,60.1
2020-12-20,60.2
2020-12-21,60.21
2020-12-22,60.22
2020-12-23,60.3
2020-12-24,60.39
2020-12-25,60.48
2020-12-26,60.53
2020-12-27,60.53
2020-12-28,60.45
2020-12-29,60.42
2020-12-30,60.44
2020-12-31,60.48
2021-01-01,60.52
2021-01-02,60.72
2021-01-03,61.05
2021-01-04,61.55
2021-01-05,62.02
2021-01-06,62.44
2021-01-07,62.83
2021-01-08,63.2
2021-01-09,63.17
2021-01-10,63.04
2021-01-11,62.74
2021-01-12,62.38
2021-01-13,61.98
2021-01-14,61.6
2021-01-15,61.1
2021-01-16,60.93
2021-01-17,60.76
2021-01-18,60.63
2021-01-19,60.45
2021-01-20,60.25
2021-01-21,60.07
2021-01-22,60.03
2021-01-23,60.2
2021-01-24,60.4
2021-01-25,60.63
2021-01-26,60.92
2021-01-27,61.29
2021-01-28,61.69
2021-01-29,62.07
2021-01-30,62.3
2021-01-31,62.57
2021-02-01,62.76
2021-02-02,62.93
2021-02-03,63.08
2021-02-04,62.88
2021-02-05,62.97
2021-02-06,62.98
2021-02-07,63.01
2021-02-08,63.09
2021-02-09,63.28
2021-02-10,63.52
2021-02-11,64.11
2021-02-12,64.45
2021-02-13,64.78
2021-02-14,65.06
2021-02-15,65.33
2021-02-16,65.51
2021-02-17,65.62
2021-02-18,65.71
2021-02-19,65.76
2021-02-20,65.71
2021-02-21,65.82
2021-02-22,65.96
2021-02-23,66.25
2021-02-24,66.61
2021-02-25,67.02
2021-02-26,67.48
2021-02-27,68.03
2021-02-28,68.47
2021-03-01,68.85
2021-03-02,69.02
2021-03-03,69.2
2021-03-04,69.46
2021-03-05,69.74
2021-03-06,70.09
2021-03-07,70.43
2021-03-08,70.81
2021-03-09,71.3
2021-03-10,71.81
2021-03-11,72.18
2021-03-12,72.55
2021-03-13,72.9
2021-03-14,73.23
2021-03-15,73.52
2021-03-16,73.81
2021-03-17,74.06
2021-03-18,74.39
2021-03-19,74.72
2021-03-20,74.91
2021-03-21,75.06
2021-03-22,75.21
2021-03-23,75.47
2021-03-24,75.62
2021-03-25,75.93
2021-03-26,76.18
2021-03-27,76.63
2021-03-28,77.11
2021-03-29,77.77
2021-03-30,78.17
2021-03-31,78.71
2021-04-01,79.03
2021-04-02,79.51
2021-04-03,79.86
2021-04-04,80.22
2021-04-05,80.46
2021-04-06,80.9
2021-04-07,81.34
2021-04-08,81.84
2021-04-09,82.73
2021-04-10,83.65
2021-04-11,84.54
2021-04-12,85.43
2021-04-13,86.24
2021-04-14,87.19
2021-04-15,88.19
2021-04-16,88.69
2021-04-17,89.17
2021-04-18,89.64
2021-04-19,90.08
2021-04-20,90.54
2021-04-21,90.83
2021-04-22,90.98
2021-04-23,91.17
2021-04-24,91.35
2021-04-25,91.5
2021-04-26,91.63
2021-04-27,91.67
2021-04-28,91.69
2021-04-29,91.66
2021-04-30,91.59
2021-05-01,91.57
2021-05-02,91.6
2021-05-03,91.68
2021-05-04,91.79
2021-05-05,91.93
2021-05-06,92.15
2021-05-07,92.35
2021-05-08,92.33
2021-05-09,92.56
2021-05-10,92.76
2021-05-11,92.95
2021-05-12,93.13
2021-05-13,93.29
2021-05-14,93.44
2021-05-15,93.68
2021-05-16,93.68
2021-05-17,93.67
2021-05-18,93.81
2021-05-19,93.88
2021-05-20,94.03
2021-05-21,94.21
2021-05-22,94.43
2021-05-23,94.76
2021-05-24,95.17
2021-05-25,95.45
2021-05-26,95.83
2021-05-27,96.1
2021-05-28,96.38
2021-05-29,96.75
2021-05-30,97.07
2021-05-31,97.3
2021-06-01,97.4
2021-06-02,97.47
2021-06-03,97.61
2021-06-04,97.64
2021-06-05,97.61
2021-06-06,97.54
2021-06-07,97.41
2021-06-08,97.36
2021-06-09,97.41
2021-06-10,97.44
2021-06-11,97.57
2021-06-12,97.73
2021-06-13,97.96
2021-06-14,98.35
2021-06-15,98.82
2021-06-16,99.25
2021-06-17,99.73
2021-06-18,100.3
2021-06-19,100.9
2021-06-20,101.41
2021-06-21,101.82
2021-06-22,102.2
2021-06-23,102.61
2021-06-24,102.95
2021-06-25,103.2
2021-06-26,103.55
2021-06-27,103.93
2021-06-28,104.45
2021-06-29,105.01
2021-06-30,105.49
2021-07-01,105.98
2021-07-02,106.46
2021-07-03,107.04
2021-07-04,107.61
2021-07-05,108.02
2021-07-06,108.39
2021-07-07,108.66
2021-07-08,108.88
2021-07-09,109.1
2021-07-10,109.07
2021-07-11,109.09
2021-07-12,109.18
2021-07-13,109.24
2021-07-14,109.55
2021-07-15,109.95
2021-07-16,110.41
2021-07-17,110.87
2021-07-18,111.34
2021-07-19,111.79
2021-07-20,112.37
2021-07-21,112.22
2021-07-22,111.9
2021-07-23,111.52
2021-07-24,111.06
2021-07-25,110.59
2021-07-26,110.11
2021-07-27,109.89
2021-07-28,110.24
2021-07-29,110.53
2021-07-30,110.62
2021-07-31,111.08
2021-08-01,111.39
2021-08-02,111.75
2021-08-03,111.77
2021-08-04,111.82
2021-08-05,112.03
2021-08-06,112.75
2021-08-07,112.9
2021-08-08,113.25
2021-08-09,113.54
2021-08-10,113.75
2021-08-11,113.95
2021-08-12,114.07
2021-08-13,113.83
2021-08-14,114.23
2021-08-15,114.53
2021-08-16,114.84
2021-08-17,115.04
2021-08-18,115.25
2021-08-19,115.43
2021-08-20,115.58
2021-08-21,115.32
2021-08-22,115.17
2021-08-23,114.16
2021-08-24,114.11
2021-08-25,114.25
2021-08-26,114.47
2021-08-27,114.57
2021-08-28,114.65
2021-08-29,114.77
2021-08-30,115.63
2021-08-31,115.52
2021-09-01,114.78
2021-09-02,114.12
2021-09-03,114.43
2021-09-04,114.74
2021-09-05,115.01
2021-09-06,115.28
2021-09-07,115.63
2021-09-08,116.41
2021-09-09,117.1
2021-09-10,116.68
2021-09-11,115.29
2021-09-12,113.9
2021-09-13,112.72
2021-09-14,112.03
2021-09-15,111.44
2021-09-16,110.83
2021-09-17,110.65
2021-09-18,111.51
2021-09-19,112.33
2021-09-20,113.09
2021-09-21,113.44
2021-09-22,113.68
2021-09-23,113.93
2021-09-24,114.08
2021-09-25,114.18
2021-09-26,114.25
2021-09-27,114.3
2021-09-28,114.29
2021-09-29,114.23
2021-09-30,114.13
2021-10-01,113.98
2021-10-02,113.91
2021-10-03,113.93
2021-10-04,114
2021-10-05,115.01
2021-10-06,116.18
2021-10-07,117.32
2021-10-08,118.82
2021-10-09,120.19
2021-10-10,121.43
2021-10-11,122.59
2021-10-12,122.78
2021-10-13,122.83
2021-10-14,122.99
2021-10-15,122.97
