"date","value"
2020-02-01,100
2020-02-02,99.81
2020-02-03,99.7
2020-02-04,99.68
2020-02-05,99.71
2020-02-06,99.7
2020-02-07,99.72
2020-02-08,99.78
2020-02-09,99.81
2020-02-10,99.84
2020-02-11,99.83
2020-02-12,99.85
2020-02-13,99.99
2020-02-14,100.17
2020-02-15,100.28
2020-02-16,100.47
2020-02-17,100.59
2020-02-18,100.73
2020-02-19,100.83
2020-02-20,100.88
2020-02-21,100.95
2020-02-22,100.86
2020-02-23,100.93
2020-02-24,100.98
2020-02-25,101.04
2020-02-26,101.12
2020-02-27,101.14
2020-02-28,101.07
2020-02-29,101.15
2020-03-01,100.99
2020-03-02,100.95
2020-03-03,100.87
2020-03-04,100.87
2020-03-05,100.94
2020-03-06,101.07
2020-03-07,101.2
2020-03-08,101.35
2020-03-09,101.36
2020-03-10,101.58
2020-03-11,101.63
2020-03-12,101.65
2020-03-13,101.54
2020-03-14,101.45
2020-03-15,101.29
2020-03-16,101.2
2020-03-17,100.67
2020-03-18,99.96
2020-03-19,99.05
2020-03-20,97.94
2020-03-21,96.56
2020-03-22,95.19
2020-03-23,93.76
2020-03-24,92.33
2020-03-25,90.75
2020-03-26,89.23
2020-03-27,87.64
2020-03-28,86.31
2020-03-29,84.94
2020-03-30,83.71
2020-03-31,82.54
2020-04-01,81.47
2020-04-02,80.41
2020-04-03,79.56
2020-04-04,78.64
2020-04-05,77.69
2020-04-06,76.59
2020-04-07,75.46
2020-04-08,74.62
2020-04-09,73.83
2020-04-10,73.06
2020-04-11,72.42
2020-04-12,71.76
2020-04-13,71.17
2020-04-14,70.71
2020-04-15,70.17
2020-04-16,69.65
2020-04-17,69.19
2020-04-18,68.82
2020-04-19,68.43
2020-04-20,68.16
2020-04-21,67.91
2020-04-22,67.66
2020-04-23,67.5
2020-04-24,67.36
2020-04-25,67.26
2020-04-26,67.2
2020-04-27,67.08
2020-04-28,66.93
2020-04-29,66.97
2020-04-30,67
2020-05-01,67.03
2020-05-02,67.1
2020-05-03,67.13
2020-05-04,67.25
2020-05-05,67.46
2020-05-06,67.58
2020-05-07,67.7
2020-05-08,67.92
2020-05-09,68.1
2020-05-10,68.37
2020-05-11,68.45
2020-05-12,68.65
2020-05-13,68.39
2020-05-14,68.3
2020-05-15,68.49
2020-05-16,68.56
2020-05-17,68.63
2020-05-18,68.78
2020-05-19,68.88
2020-05-20,69.56
2020-05-21,70.19
2020-05-22,70.57
2020-05-23,70.97
2020-05-24,71.19
2020-05-25,71.49
2020-05-26,71.65
2020-05-27,71.65
2020-05-28,71.61
2020-05-29,71.73
2020-05-30,72.13
2020-05-31,72.49
2020-06-01,72.64
2020-06-02,72.92
2020-06-03,73.23
2020-06-04,73.58
2020-06-05,73.89
2020-06-06,74.05
2020-06-07,74.35
2020-06-08,74.73
2020-06-09,75.1
2020-06-10,75.45
2020-06-11,75.7
2020-06-12,75.83
2020-06-13,75.92
2020-06-14,76.17
2020-06-15,76.41
2020-06-16,76.65
2020-06-17,76.87
2020-06-18,77.22
