"date","value"
2020-02-01,100
2020-02-02,99.66
2020-02-03,99.14
2020-02-04,99.03
2020-02-05,98.93
2020-02-06,98.7
2020-02-07,98.43
2020-02-08,98.44
2020-02-09,98.41
2020-02-10,98.66
2020-02-11,98.65
2020-02-12,98.68
2020-02-13,98.84
2020-02-14,98.93
2020-02-15,99.17
2020-02-16,99.44
2020-02-17,99.58
2020-02-18,99.77
2020-02-19,99.89
2020-02-20,99.94
2020-02-21,100.25
2020-02-22,100.18
2020-02-23,100.13
2020-02-24,100.08
2020-02-25,99.97
2020-02-26,99.85
2020-02-27,99.83
2020-02-28,99.71
2020-02-29,99.68
2020-03-01,99.47
2020-03-02,99.29
2020-03-03,99.08
2020-03-04,98.83
2020-03-05,98.58
2020-03-06,98.21
2020-03-07,98.08
2020-03-08,97.99
2020-03-09,97.79
2020-03-10,97.71
2020-03-11,97.37
2020-03-12,96.9
2020-03-13,96.48
2020-03-14,95.87
2020-03-15,95.33
2020-03-16,94.92
2020-03-17,94.3
2020-03-18,93.97
2020-03-19,93.96
2020-03-20,93.64
2020-03-21,93.09
2020-03-22,92.57
2020-03-23,92.14
2020-03-24,91.59
2020-03-25,90.86
2020-03-26,89.61
2020-03-27,88.38
2020-03-28,87.42
2020-03-29,86.38
2020-03-30,85.24
2020-03-31,84.3
2020-04-01,82.87
2020-04-02,81.69
2020-04-03,80.72
2020-04-04,79.3
2020-04-05,77.93
2020-04-06,76.84
2020-04-07,75.66
2020-04-08,75.13
2020-04-09,74.5
2020-04-10,73.56
2020-04-11,73.06
2020-04-12,72.55
2020-04-13,71.71
2020-04-14,70.97
2020-04-15,70.17
2020-04-16,69.33
2020-04-17,68.55
2020-04-18,67.77
2020-04-19,66.98
2020-04-20,66.48
2020-04-21,65.91
2020-04-22,65.46
2020-04-23,65.03
2020-04-24,64.91
2020-04-25,64.83
2020-04-26,64.83
2020-04-27,64.61
2020-04-28,64.37
2020-04-29,64.17
2020-04-30,64.07
2020-05-01,63.93
2020-05-02,63.36
2020-05-03,62.72
2020-05-04,62.18
2020-05-05,61.74
2020-05-06,61.55
2020-05-07,61.41
2020-05-08,61.39
2020-05-09,61.89
2020-05-10,62.43
2020-05-11,62.8
2020-05-12,63.16
2020-05-13,63
2020-05-14,63.32
2020-05-15,63.77
2020-05-16,63.94
2020-05-17,64.16
2020-05-18,64.49
2020-05-19,64.83
2020-05-20,65.54
2020-05-21,66.05
2020-05-22,66.44
2020-05-23,67.04
2020-05-24,67.47
2020-05-25,67.94
2020-05-26,68.45
2020-05-27,68.94
2020-05-28,69.24
2020-05-29,69.58
2020-05-30,70.03
2020-05-31,70.56
2020-06-01,71.04
2020-06-02,71.54
2020-06-03,72.13
2020-06-04,72.7
2020-06-05,73.24
2020-06-06,73.63
2020-06-07,73.98
2020-06-08,74.28
2020-06-09,74.51
2020-06-10,74.65
2020-06-11,74.8
2020-06-12,74.98
2020-06-13,75.35
2020-06-14,75.94
2020-06-15,76.56
2020-06-16,77.35
2020-06-17,78.09
2020-06-18,78.84
2020-06-19,79.62
2020-06-20,80.48
2020-06-21,81.33
2020-06-22,82.22
2020-06-23,82.64
2020-06-24,83.03
2020-06-25,83.37
2020-06-26,83.52
2020-06-27,83.45
2020-06-28,83.31
2020-06-29,83.13
2020-06-30,83.44
2020-07-01,83.75
2020-07-02,84.07
2020-07-03,84.51
2020-07-04,85
2020-07-05,85.41
2020-07-06,85.87
2020-07-07,86.15
2020-07-08,86.66
2020-07-09,87.22
2020-07-10,87.79
2020-07-11,88.4
2020-07-12,89.05
2020-07-13,89.71
2020-07-14,90.36
2020-07-15,90.71
2020-07-16,91.02
2020-07-17,91.24
2020-07-18,91.35
2020-07-19,91.7
2020-07-20,92.08
2020-07-21,92.6
2020-07-22,93.28
2020-07-23,94
2020-07-24,95.14
2020-07-25,96.58
2020-07-26,97.81
2020-07-27,98.94
2020-07-28,99.99
2020-07-29,100.91
2020-07-30,101.69
2020-07-31,102.11
2020-08-01,101.86
2020-08-02,101.39
2020-08-03,100.86
2020-08-04,100.28
2020-08-05,99.85
2020-08-06,99.03
2020-08-07,98.14
2020-08-08,97.56
2020-08-09,97.09
2020-08-10,96.68
2020-08-11,96.28
2020-08-12,95.57
