"date","value"
1947-01-01,24.0228
1947-02-01,24.7439
1947-03-01,25.0143
1947-04-01,25.2397
1947-05-01,25.5552
1947-06-01,25.6003
1947-07-01,24.9693
1947-08-01,25.3299
1947-09-01,25.5552
1947-10-01,25.5101
1947-11-01,26.0059
1947-12-01,26.051
1948-01-01,27.2228
1948-02-01,26.9524
1948-03-01,27.0425
1948-04-01,26.8622
1948-05-01,27.0876
1948-06-01,26.7721
1948-07-01,27.4932
1948-08-01,27.4031
1948-09-01,27.0425
1948-10-01,27.6285
1948-11-01,26.8172
1948-12-01,26.5918
1949-01-01,25.8707
1949-02-01,25.3299
1949-03-01,25.0143
1949-04-01,24.6087
1949-05-01,24.3383
1949-06-01,24.2932
1949-07-01,24.0228
1949-08-01,24.2482
1949-09-01,25.0144
1949-10-01,24.2031
1949-11-01,25.0144
1949-12-01,26.0961
1950-01-01,25.7806
1950-02-01,26.7721
1950-03-01,27.4031
1950-04-01,28.8454
1950-05-01,29.1158
1950-06-01,30.1524
1950-07-01,30.9186
1950-08-01,31.5046
1950-09-01,31.5947
1950-10-01,31.8652
1950-11-01,31.9102
1950-12-01,31.9553
1951-01-01,32.2257
1951-02-01,31.9102
1951-03-01,32.0454
1951-04-01,31.9102
1951-05-01,31.6849
1951-06-01,31.4595
1951-07-01,30.6933
1951-08-01,30.5581
1951-09-01,30.513
1951-10-01,30.2426
1951-11-01,29.9722
1951-12-01,30.0623
1952-01-01,30.4679
1952-02-01,30.6933
1952-03-01,30.513
1952-04-01,30.0172
1952-05-01,29.5665
1952-06-01,29.3862
1952-07-01,29.3412
1952-08-01,31.3243
1952-09-01,31.6398
1952-10-01,32.0905
1952-11-01,32.6313
1952-12-01,32.7665
1953-01-01,33.3074
1953-02-01,33.8032
1953-03-01,33.8933
1953-04-01,34.0285
1953-05-01,33.3074
1953-06-01,33.0821
1953-07-01,33.5327
1953-08-01,33.3975
1953-09-01,32.7666
1953-10-01,32.8567
1953-11-01,32.3159
1953-12-01,31.5496
1954-01-01,32.1355
1954-02-01,32.2257
1954-03-01,32.0003
1954-04-01,32.0004
1954-05-01,32.406
1954-06-01,31.6398
1954-07-01,31.5947
1954-08-01,31.4145
1954-09-01,32.9919
1954-10-01,34.0736
1954-11-01,34.3891
1954-12-01,34.7046
1955-01-01,35.2004
1955-02-01,35.6962
1955-03-01,36.868
1955-04-01,37.1384
1955-05-01,37.2737
1955-06-01,37.9497
1955-07-01,37.9948
1955-08-01,37.9948
1955-09-01,38.2202
1955-10-01,38.2201
1955-11-01,38.6708
1955-12-01,38.8962
1956-01-01,39.5272
1956-02-01,39.392
1956-03-01,39.3018
1956-04-01,39.1216
1956-05-01,38.5807
1956-06-01,38.13
1956-07-01,36.1469
1956-08-01,37.9948
1956-09-01,38.9864
1956-10-01,38.7159
