"date","value"
1947-01-01,12.2025
1947-02-01,12.5768
1947-03-01,12.8513
1947-04-01,12.9511
1947-05-01,12.8263
1947-06-01,12.9261
1947-07-01,12.6766
1947-08-01,12.5518
1947-09-01,12.976
1947-10-01,13.1507
1947-11-01,13.55
1947-12-01,13.7247
1948-01-01,13.5749
1948-02-01,13.4002
1948-03-01,13.5001
1948-04-01,13.3753
1948-05-01,13.1258
1948-06-01,13.6747
1948-07-01,14.0241
1948-08-01,13.7995
1948-09-01,13.4003
1948-10-01,13.8245
1948-11-01,13.3004
1948-12-01,12.8014
1949-01-01,12.4021
1949-02-01,12.2274
1949-03-01,12.2025
1949-04-01,12.2274
1949-05-01,12.1526
1949-06-01,12.452
1949-07-01,12.8513
1949-08-01,13.0509
1949-09-01,13.525
1949-10-01,13.7247
1949-11-01,12.976
1949-12-01,12.8263
1950-01-01,14.3235
1950-02-01,14.2986
1950-03-01,14.8975
1950-04-01,15.9705
1950-05-01,16.794
1950-06-01,18.1914
1950-07-01,18.94
1950-08-01,19.514
1950-09-01,18.6406
1950-10-01,18.2413
1950-11-01,17.867
1950-12-01,17.6923
1951-01-01,17.3679
1951-02-01,17.4428
1951-03-01,17.318
1951-04-01,16.5195
1951-05-01,15.6711
1951-06-01,14.9474
1951-07-01,13.3504
1951-08-01,12.477
1951-09-01,13.001
1951-10-01,12.9012
1951-11-01,13.1507
1951-12-01,13.3004
1952-01-01,13.2505
1952-02-01,13.2256
1952-03-01,13.5001
1952-04-01,13.3753
1952-05-01,13.7746
1952-06-01,13.9243
1952-07-01,12.5768
1952-08-01,13.8245
1952-09-01,15.2469
1952-10-01,15.7459
1952-11-01,16.769
1952-12-01,16.8189
1953-01-01,17.4677
1953-02-01,17.6424
1953-03-01,17.8171
1953-04-01,17.6424
1953-05-01,17.7422
1953-06-01,17.0685
1953-07-01,16.9687
1953-08-01,16.8189
1953-09-01,16.1452
1953-10-01,15.9955
1953-11-01,15.4215
1953-12-01,14.8725
1954-01-01,14.6479
1954-02-01,14.9973
1954-03-01,14.9973
1954-04-01,15.172
1954-05-01,15.4714
1954-06-01,15.5712
1954-07-01,15.3966
1954-08-01,15.5213
1954-09-01,15.6212
1954-10-01,15.8457
1954-11-01,16.2949
1954-12-01,16.9188
1955-01-01,18.1166
1955-02-01,18.3162
1955-03-01,18.8153
1955-04-01,19.1147
1955-05-01,19.6138
1955-06-01,19.2145
1955-07-01,19.489
1955-08-01,19.464
1955-09-01,19.5389
1955-10-01,19.6637
1955-11-01,19.4641
1955-12-01,19.3892
1956-01-01,19.1896
1956-02-01,18.8402
1956-03-01,18.8901
1956-04-01,19.1646
1956-05-01,18.7154
1956-06-01,18.2663
1956-07-01,18.2912
1956-08-01,18.2912
1956-09-01,18.0167
1956-10-01,18.2413
1956-11-01,17.9918
1956-12-01,18.7404
1957-01-01,18.7903
1957-02-01,19.1147
1957-03-01,19.0149
1957-04-01,18.4909
1957-05-01,18.391
1957-06-01,18.6905
1957-07-01,18.5158
1957-08-01,19.0149
1957-09-01,18.965
1957-10-01,18.2663
1957-11-01,18.2164
1957-12-01,17.4178
1958-01-01,16.7191
1958-02-01,16.1202
1958-03-01,15.5962
1958-04-01,14.9723
1958-05-01,15.5213
1958-06-01,15.9705
1958-07-01,16.1951
1958-08-01,16.4945
1958-09-01,15.3716
1958-10-01,16.1202
1958-11-01,18.8901
1958-12-01,18.965
1959-01-01,19.0149
1959-02-01,19.1147
1959-03-01,19.489
1959-04-01,19.6138
1959-05-01,20.013
1959-06-01,20.1628
1959-07-01,20.562
1959-08-01,19.9881
1959-09-01,19.3892
1959-10-01,19.8384
1959-11-01,17.3929
1959-12-01,19.6138
1960-01-01,21.7598
1960-02-01,21.4604
1960-03-01,21.0362
1960-04-01,21.0112
1960-05-01,21.2108
1960-06-01,20.9863
1960-07-01,20.1877
1960-08-01,20.4123
1960-09-01,20.1628
1960-10-01,20.3874
1960-11-01,19.7136
1960-12-01,19.0398
1961-01-01,18.3411
1961-02-01,18.2413
1961-03-01,18.2413
1961-04-01,19.5639
1961-05-01,20.1877
1961-06-01,20.8615
1961-07-01,21.2358
1961-08-01,21.2857
1961-09-01,20.0879
1961-10-01,21.2108
1961-11-01,22.1591
1961-12-01,22.5584
1962-01-01,22.0593
1962-02-01,22.184
1962-03-01,22.5084
1962-04-01,23.0325
1962-05-01,23.2321
1962-06-01,22.8079
1962-07-01,23.307
1962-08-01,22.9826
1962-09-01,23.282
1962-10-01,23.3818
1962-11-01,23.4068
1962-12-01,23.5815
1963-01-01,23.831
1963-02-01,24.0805
1963-03-01,24.1305
1963-04-01,24.3301
1963-05-01,24.7293
1963-06-01,25.1536
