"date","value"
1919-01-01,4.8776
1919-02-01,4.7754
1919-03-01,4.5967
1919-04-01,4.6988
1919-05-01,4.6733
1919-06-01,5.0053
1919-07-01,5.2862
1919-08-01,5.4139
1919-09-01,5.2096
1919-10-01,5.1074
1919-11-01,5.2862
1919-12-01,5.184
1920-01-01,5.7203
1920-02-01,5.7203
1920-03-01,5.5926
1920-04-01,5.2606
1920-05-01,5.4394
1920-06-01,5.4394
1920-07-01,5.2351
1920-08-01,5.2606
1920-09-01,5.133
1920-10-01,4.852
1920-11-01,4.3413
1920-12-01,4.0349
1921-01-01,3.8306
1921-02-01,3.8306
1921-03-01,3.7284
1921-04-01,3.7284
1921-05-01,3.8561
1921-06-01,3.8306
1921-07-01,3.8306
1921-08-01,3.9838
1921-09-01,4.0349
1921-10-01,4.2136
1921-11-01,4.2647
1921-12-01,4.2136
1922-01-01,4.3158
1922-02-01,4.4179
1922-03-01,4.6222
1922-04-01,4.8265
1922-05-01,5.0819
1922-06-01,5.3117
1922-07-01,5.3628
1922-08-01,5.1585
1922-09-01,5.3117
1922-10-01,5.5415
1922-11-01,5.7458
1922-12-01,5.9246
1923-01-01,5.8224
1923-02-01,5.8735
1923-03-01,6.1289
1923-04-01,6.2055
1923-05-01,6.3332
1923-06-01,6.2566
1923-07-01,6.1544
1923-08-01,6.0012
1923-09-01,5.9757
1923-10-01,5.8735
1923-11-01,5.8735
1923-12-01,5.7969
1924-01-01,5.8991
1924-02-01,6.0267
1924-03-01,5.9246
1924-04-01,5.7714
1924-05-01,5.4905
1924-06-01,5.2096
1924-07-01,5.133
1924-08-01,5.3117
1924-09-01,5.516
1924-10-01,5.6692
1924-11-01,5.7969
1924-12-01,6.0012
1925-01-01,6.18
1925-02-01,6.2055
1925-03-01,6.231
1925-04-01,6.231
1925-05-01,6.18
1925-06-01,6.1544
1925-07-01,6.2821
1925-08-01,6.18
1925-09-01,6.2055
1925-10-01,6.4609
1925-11-01,6.6396
1925-12-01,6.7929
1926-01-01,6.6396
1926-02-01,6.5886
1926-03-01,6.563
1926-04-01,6.563
1926-05-01,6.512
1926-06-01,6.5886
1926-07-01,6.5886
1926-08-01,6.6652
1926-09-01,6.7929
1926-10-01,6.7418
