"date","value"
2000-12-01,5084
2001-01-01,5385
2001-02-01,4938
2001-03-01,5182
2001-04-01,4871
2001-05-01,5043
2001-06-01,4748
2001-07-01,4895
2001-08-01,4860
2001-09-01,4647
2001-10-01,4753
2001-11-01,4595
2001-12-01,4495
2002-01-01,4532
2002-02-01,4485
2002-03-01,4376
2002-04-01,4588
2002-05-01,4509
2002-06-01,4554
2002-07-01,4615
2002-08-01,4522
2002-09-01,4556
2002-10-01,4460
2002-11-01,4443
2002-12-01,4575
2003-01-01,4710
2003-02-01,4413
2003-03-01,4176
2003-04-01,4291
2003-05-01,4396
2003-06-01,4365
2003-07-01,4313
2003-08-01,4414
2003-09-01,4524
2003-10-01,4556
2003-11-01,4481
2003-12-01,4659
2004-01-01,4603
2004-02-01,4469
2004-03-01,4873
2004-04-01,4827
2004-05-01,4676
2004-06-01,4716
2004-07-01,4586
2004-08-01,4704
2004-09-01,4728
2004-10-01,4814
2004-11-01,4831
2004-12-01,4819
2005-01-01,4845
2005-02-01,4948
2005-03-01,4958
2005-04-01,5028
2005-05-01,4954
2005-06-01,5076
2005-07-01,4974
2005-08-01,5089
2005-09-01,5167
2005-10-01,4807
2005-11-01,5000
2005-12-01,4947
2006-01-01,4952
2006-02-01,5121
2006-03-01,5145
2006-04-01,4866
2006-05-01,5145
2006-06-01,5093
2006-07-01,5203
2006-08-01,5004
2006-09-01,4869
2006-10-01,5068
2006-11-01,5142
2006-12-01,4881
2007-01-01,5066
2007-02-01,4789
2007-03-01,5110
2007-04-01,4974
2007-05-01,5083
2007-06-01,4884
2007-07-01,4893
2007-08-01,4958
2007-09-01,4954
2007-10-01,5068
2007-11-01,4839
2007-12-01,4771
2008-01-01,4762
2008-02-01,4755
2008-03-01,4592
2008-04-01,4645
2008-05-01,4371
2008-06-01,4562
2008-07-01,4332
2008-08-01,4390
2008-09-01,4217
2008-10-01,4248
2008-11-01,3830
2008-12-01,4076
2009-01-01,3800
2009-02-01,3789
2009-03-01,3605
2009-04-01,3515
2009-05-01,3496
2009-06-01,3375
2009-07-01,3601
2009-08-01,3529
2009-09-01,3710
2009-10-01,3510
2009-11-01,3736
2009-12-01,3753
2010-01-01,3615
2010-02-01,3580
2010-03-01,3959
2010-04-01,3820
2010-05-01,3686
2010-06-01,3833
2010-07-01,3882
2010-08-01,3780
2010-09-01,3784
2010-10-01,3865
2010-11-01,3903
2010-12-01,4013
2011-01-01,3714
2011-02-01,4003
2011-03-01,4179
2011-04-01,4028
2011-05-01,4022
2011-06-01,4075
2011-07-01,4020
2011-08-01,4057
2011-09-01,4159
2011-10-01,4101
2011-11-01,4093
2011-12-01,4062
2012-01-01,4172
2012-02-01,4260
2012-03-01,4279
2012-04-01,4098
2012-05-01,4228
2012-06-01,4121
2012-07-01,4032
2012-08-01,4136
2012-09-01,4022
2012-10-01,4120
2012-11-01,4213
2012-12-01,4162
2013-01-01,4204
2013-02-01,4275
2013-03-01,4100
2013-04-01,4282
2013-05-01,4376
2013-06-01,4196
2013-07-01,4291
2013-08-01,4430
2013-09-01,4433
2013-10-01,4237
2013-11-01,4326
2013-12-01,4333
2014-01-01,4336
2014-02-01,4405
2014-03-01,4456
2014-04-01,4582
2014-05-01,4522
2014-06-01,4600
2014-07-01,4721
2014-08-01,4542
2014-09-01,4815
2014-10-01,4806
2014-11-01,4682
2014-12-01,4874
2015-01-01,4744
2015-02-01,4807
2015-03-01,4797
2015-04-01,4847
2015-05-01,4819
2015-06-01,4789
2015-07-01,4798
2015-08-01,4822
2015-09-01,4964
2015-10-01,4978
2015-11-01,5007
2015-12-01,5168
2016-01-01,4867
2016-02-01,5126
2016-03-01,4995
2016-04-01,4952
2016-05-01,4838
2016-06-01,4929
2016-07-01,5021
2016-08-01,4977
2016-09-01,4912
2016-10-01,4895
2016-11-01,4976
2016-12-01,5011
2017-01-01,5147
2017-02-01,5004
2017-03-01,5058
2017-04-01,4937
2017-05-01,5127
2017-06-01,5295
2017-07-01,5148
2017-08-01,5210
2017-09-01,5095
2017-10-01,5227
2017-11-01,5125
2017-12-01,5062
2018-01-01,5185
2018-02-01,5271
2018-03-01,5282
2018-04-01,5240
2018-05-01,5504
2018-06-01,5373
2018-07-01,5303
2018-08-01,5426
2018-09-01,5287
2018-10-01,5562
2018-11-01,5461
2018-12-01,5400
2019-01-01,5430
2019-02-01,5326
2019-03-01,5344
2019-04-01,5643
2019-05-01,5396
2019-06-01,5413
2019-07-01,5537
2019-08-01,5491
2019-09-01,5607
2019-10-01,5432
2019-11-01,5476
2019-12-01,5557
2020-01-01,5618
2020-02-01,5591
2020-03-01,4782
2020-04-01,3826
2020-05-01,7845
2020-06-01,7218
2020-07-01,5917
2020-08-01,5404
2020-09-01,5611
2020-10-01,5791
2020-11-01,5570
2020-12-01,5267
2021-01-01,5256
2021-02-01,5542
2021-03-01,5723
2021-04-01,5805
2021-05-01,5715
2021-06-01,6150
2021-07-01,6164
2021-08-01,6044
2021-09-01,6280
2021-10-01,6292
2021-11-01,6450
2021-12-01,6233
2022-01-01,6099
2022-02-01,6384
2022-03-01,6191
2022-04-01,6177
2022-05-01,6142
2022-06-01,6047
2022-07-01,5935
2022-08-01,6061
2022-09-01,5828
2022-10-01,5777
2022-11-01,5825
2022-12-01,5809
2023-01-01,5917
2023-02-01,5754
2023-03-01,5752
