"date","value"
2000-12-01,4541
2001-01-01,4752
2001-02-01,4619
2001-03-01,4316
2001-04-01,4125
2001-05-01,3940
2001-06-01,3830
2001-07-01,3937
2001-08-01,3537
2001-09-01,3637
2001-10-01,3249
2001-11-01,3288
2001-12-01,3229
2002-01-01,3289
2002-02-01,2939
2002-03-01,3164
2002-04-01,3025
2002-05-01,3005
2002-06-01,3007
2002-07-01,2927
2002-08-01,3073
2002-09-01,2910
2002-10-01,3095
2002-11-01,3086
2002-12-01,2797
2003-01-01,3007
2003-02-01,2844
2003-03-01,2734
2003-04-01,2768
2003-05-01,2957
2003-06-01,2988
2003-07-01,2636
2003-08-01,2876
2003-09-01,2756
2003-10-01,2923
2003-11-01,3011
2003-12-01,3087
2004-01-01,3095
2004-02-01,3181
2004-03-01,3159
2004-04-01,3158
2004-05-01,3343
2004-06-01,3002
2004-07-01,3482
2004-08-01,3215
2004-09-01,3475
2004-10-01,3557
2004-11-01,3114
2004-12-01,3674
2005-01-01,3490
2005-02-01,3598
2005-03-01,3692
2005-04-01,3805
2005-05-01,3448
2005-06-01,3705
2005-07-01,3864
2005-08-01,3757
2005-09-01,3952
2005-10-01,3818
2005-11-01,3881
2005-12-01,3847
2006-01-01,4001
2006-02-01,3948
2006-03-01,4313
2006-04-01,4368
2006-05-01,4034
2006-06-01,4201
2006-07-01,3907
2006-08-01,4277
2006-09-01,4264
2006-10-01,4185
2006-11-01,4207
2006-12-01,4177
2007-01-01,4303
2007-02-01,4262
2007-03-01,4527
2007-04-01,4256
2007-05-01,4222
2007-06-01,4415
2007-07-01,4150
2007-08-01,4086
2007-09-01,4204
2007-10-01,4207
2007-11-01,4194
2007-12-01,4104
2008-01-01,4211
2008-02-01,3848
2008-03-01,3803
2008-04-01,3613
2008-05-01,3753
2008-06-01,3396
2008-07-01,3338
2008-08-01,3289
2008-09-01,2843
2008-10-01,2995
2008-11-01,2845
2008-12-01,2817
2009-01-01,2379
2009-02-01,2496
2009-03-01,2172
2009-04-01,1937
2009-05-01,2275
2009-06-01,2179
2009-07-01,1946
2009-08-01,2034
2009-09-01,2200
2009-10-01,2024
2009-11-01,2152
2009-12-01,2239
2010-01-01,2432
2010-02-01,2324
2010-03-01,2271
2010-04-01,2530
2010-05-01,2603
2010-06-01,2500
2010-07-01,2758
2010-08-01,2653
2010-09-01,2582
2010-10-01,2890
2010-11-01,2874
2010-12-01,2659
2011-01-01,2766
2011-02-01,2910
2011-03-01,2939
2011-04-01,2917
2011-05-01,2880
2011-06-01,3095
2011-07-01,3291
2011-08-01,3000
2011-09-01,3377
2011-10-01,3252
2011-11-01,3208
2011-12-01,3404
2012-01-01,3561
2012-02-01,3221
2012-03-01,3582
2012-04-01,3426
2012-05-01,3438
2012-06-01,3524
2012-07-01,3356
2012-08-01,3389
2012-09-01,3500
2012-10-01,3394
2012-11-01,3513
2012-12-01,3563
2013-01-01,3467
2013-02-01,3584
2013-03-01,3681
2013-04-01,3566
2013-05-01,3736
2013-06-01,3749
2013-07-01,3509
2013-08-01,3692
2013-09-01,3732
2013-10-01,3827
2013-11-01,3714
2013-12-01,3775
2014-01-01,3738
2014-02-01,3971
2014-03-01,3962
2014-04-01,4131
2014-05-01,4307
2014-06-01,4468
2014-07-01,4371
2014-08-01,4911
2014-09-01,4446
2014-10-01,4577
2014-11-01,4372
2014-12-01,4626
2015-01-01,4818
2015-02-01,4950
2015-03-01,4709
2015-04-01,5077
2015-05-01,5040
2015-06-01,4778
2015-07-01,5507
2015-08-01,4973
2015-09-01,5018
2015-10-01,5246
2015-11-01,5185
2015-12-01,5304
2016-01-01,5497
2016-02-01,5282
2016-03-01,5633
2016-04-01,5301
2016-05-01,5239
2016-06-01,5262
2016-07-01,5375
2016-08-01,5166
2016-09-01,5340
2016-10-01,5107
2016-11-01,5394
2016-12-01,5404
2017-01-01,5120
2017-02-01,5418
2017-03-01,5305
2017-04-01,5547
2017-05-01,5275
2017-06-01,5731
2017-07-01,5690
2017-08-01,5774
2017-09-01,5757
2017-10-01,5855
2017-11-01,5736
2017-12-01,5758
2018-01-01,6029
2018-02-01,5956
2018-03-01,6191
2018-04-01,6284
2018-05-01,6420
2018-06-01,6584
2018-07-01,6544
2018-08-01,6483
2018-09-01,6794
2018-10-01,6688
2018-11-01,6919
2018-12-01,6809
2019-01-01,6805
2019-02-01,6369
2019-03-01,6624
2019-04-01,6477
2019-05-01,6635
2019-06-01,6440
2019-07-01,6401
2019-08-01,6426
2019-09-01,6416
2019-10-01,6525
2019-11-01,6146
2019-12-01,5944
2020-01-01,6342
2020-02-01,6194
2020-03-01,5100
2020-04-01,4034
2020-05-01,4942
2020-06-01,5441
2020-07-01,5690
2020-08-01,5661
2020-09-01,5789
2020-10-01,6098
2020-11-01,6162
2020-12-01,6178
2021-01-01,6415
2021-02-01,7053
2021-03-01,7547
2021-04-01,8336
2021-05-01,8933
2021-06-01,9146
2021-07-01,9956
2021-08-01,10094
2021-09-01,9925
2021-10-01,10405
2021-11-01,10234
2021-12-01,10721
2022-01-01,10441
2022-02-01,10516
2022-03-01,11009
2022-04-01,10726
2022-05-01,10379
2022-06-01,9995
2022-07-01,10266
2022-08-01,9179
2022-09-01,9788
2022-10-01,9519
2022-11-01,9671
2022-12-01,10126
2023-01-01,9536
2023-02-01,8959
2023-03-01,8541
