"date","value"
1968-01-01,10086
1968-02-01,10425
1968-03-01,10334
1968-04-01,10440
1968-05-01,10788
1968-06-01,10752
1968-07-01,10678
1968-08-01,10597
1968-09-01,10863
1968-10-01,10737
1968-11-01,10949
1968-12-01,11033
1969-01-01,11015
1969-02-01,11064
1969-03-01,11011
1969-04-01,11264
1969-05-01,11257
1969-06-01,11299
1969-07-01,11234
1969-08-01,11207
1969-09-01,11307
1969-10-01,11568
1969-11-01,11597
1969-12-01,11769
1970-01-01,11760
1970-02-01,11749
1970-03-01,11926
1970-04-01,12173
1970-05-01,11960
1970-06-01,11854
1970-07-01,11988
1970-08-01,11881
1970-09-01,11828
1970-10-01,11905
1970-11-01,12031
1970-12-01,11995
1971-01-01,12229
1971-02-01,12042
1971-03-01,12223
1971-04-01,12150
1971-05-01,12188
1971-06-01,12518
1971-07-01,12532
1971-08-01,12589
1971-09-01,12514
1971-10-01,12612
1971-11-01,12590
1971-12-01,12563
1972-01-01,12826
1972-02-01,12850
1972-03-01,12841
1972-04-01,12940
1972-05-01,12971
1972-06-01,12685
1972-07-01,13008
1972-08-01,13283
1972-09-01,13067
1972-10-01,12827
1972-11-01,12935
1972-12-01,13005
1973-01-01,12622
1973-02-01,13043
1973-03-01,13197
1973-04-01,13226
1973-05-01,13185
1973-06-01,13033
1973-07-01,12974
1973-08-01,12948
1973-09-01,13550
1973-10-01,13630
1973-11-01,13696
1973-12-01,13865
1974-01-01,13663
1974-02-01,13720
1974-03-01,13636
1974-04-01,13527
1974-05-01,13685
1974-06-01,13539
1974-07-01,13765
1974-08-01,13548
1974-09-01,13802
1974-10-01,13828
1974-11-01,13835
1974-12-01,13782
1975-01-01,13900
1975-02-01,13822
1975-03-01,14053
1975-04-01,14167
1975-05-01,14139
1975-06-01,14642
1975-07-01,14928
1975-08-01,14567
1975-09-01,14315
1975-10-01,14260
1975-11-01,14237
1975-12-01,14156
1976-01-01,14535
1976-02-01,14471
1976-03-01,14421
1976-04-01,14537
1976-05-01,14518
1976-06-01,14893
1976-07-01,14898
1976-08-01,14981
1976-09-01,15134
1976-10-01,15005
1976-11-01,15042
1976-12-01,15063
1977-01-01,14927
1977-02-01,15142
1977-03-01,15288
1977-04-01,15383
1977-05-01,15323
1977-06-01,15164
1977-07-01,15272
1977-08-01,15434
1977-09-01,15460
1977-10-01,15610
1977-11-01,15835
1977-12-01,15845
1978-01-01,15700
1978-02-01,15727
1978-03-01,15711
1978-04-01,16018
1978-05-01,16181
1978-06-01,15659
1978-07-01,15597
1978-08-01,15454
1978-09-01,15973
1978-10-01,16060
1978-11-01,16018
1978-12-01,16061
1979-01-01,16086
1979-02-01,16146
1979-03-01,16109
1979-04-01,15940
1979-05-01,16051
1979-06-01,16026
1979-07-01,16142
1979-08-01,16002
1979-09-01,16315
1979-10-01,16194
1979-11-01,16279
1979-12-01,16695
1980-01-01,16692
1980-02-01,16658
1980-03-01,16604
1980-04-01,16556
1980-05-01,16670
1980-06-01,16726
1980-07-01,16892
1980-08-01,16889
1980-09-01,16649
1980-10-01,16773
1980-11-01,16883
1980-12-01,16874
1981-01-01,16917
1981-02-01,17038
1981-03-01,17198
1981-04-01,17355
1981-05-01,17170
1981-06-01,17176
1981-07-01,17001
1981-08-01,17117
1981-09-01,17043
1981-10-01,17284
1981-11-01,17279
1981-12-01,17223
1982-01-01,17569
1982-02-01,17449
1982-03-01,17610
1982-04-01,17846
1982-05-01,18034
1982-06-01,18310
1982-07-01,18274
1982-08-01,18470
1982-09-01,18524
1982-10-01,18373
1982-11-01,18447
1982-12-01,18406
1983-01-01,18508
1983-02-01,18398
1983-03-01,18323
1983-04-01,18197
1983-05-01,18227
1983-06-01,18373
1983-07-01,18780
1983-08-01,18929
1983-09-01,18757
1983-10-01,18452
1983-11-01,18613
1983-12-01,18604
1984-01-01,18416
1984-02-01,18470
1984-03-01,18471
1984-04-01,18557
1984-05-01,18538
1984-06-01,18460
1984-07-01,18506
1984-08-01,18208
1984-09-01,18406
1984-10-01,18376
1984-11-01,18420
1984-12-01,18665
1985-01-01,18526
1985-02-01,18648
1985-03-01,18604
1985-04-01,18551
1985-05-01,18300
1985-06-01,18222
1985-07-01,18629
1985-08-01,18820
1985-09-01,18777
1985-10-01,18751
1985-11-01,18768
1985-12-01,18815
1986-01-01,18934
1986-02-01,19020
1986-03-01,18903
1986-04-01,19041
1986-05-01,18959
1986-06-01,19252
1986-07-01,19139
1986-08-01,19041
1986-09-01,18964
1986-10-01,19390
1986-11-01,19133
1986-12-01,19059
1987-01-01,19178
1987-02-01,19178
1987-03-01,19339
1987-04-01,19416
1987-05-01,19569
1987-06-01,19737
1987-07-01,19368
1987-08-01,19484
1987-09-01,19574
1987-10-01,19704
1987-11-01,19707
1987-12-01,19568
1988-01-01,19760
1988-02-01,19735
1988-03-01,19468
1988-04-01,19690
1988-05-01,19396
1988-06-01,19480
1988-07-01,19839
1988-08-01,19817
1988-09-01,19708
1988-10-01,19781
1988-11-01,20240
1988-12-01,20138
1989-01-01,20269
1989-02-01,20033
1989-03-01,20287
1989-04-01,20222
1989-05-01,20085
1989-06-01,19990
1989-07-01,19833
1989-08-01,19673
1989-09-01,19879
1989-10-01,19762
1989-11-01,19818
1989-12-01,19888
1990-01-01,20144
1990-02-01,20233
1990-03-01,20273
1990-04-01,20150
1990-05-01,20402
1990-06-01,19913
1990-07-01,19950
1990-08-01,19982
1990-09-01,20062
1990-10-01,20232
1990-11-01,19993
1990-12-01,20144
1991-01-01,20138
1991-02-01,20345
1991-03-01,20331
1991-04-01,20704
1991-05-01,20403
1991-06-01,20577
1991-07-01,20574
1991-08-01,20529
1991-09-01,20634
1991-10-01,20689
1991-11-01,20779
1991-12-01,20609
1992-01-01,20912
1992-02-01,20396
1992-03-01,20647
1992-04-01,20796
1992-05-01,20511
1992-06-01,20859
1992-07-01,20996
1992-08-01,21074
1992-09-01,21087
1992-10-01,20827
1992-11-01,20976
1992-12-01,20869
1993-01-01,20768
1993-02-01,20836
1993-03-01,20913
1993-04-01,20876
1993-05-01,21210
1993-06-01,21336
1993-07-01,21484
1993-08-01,21398
1993-09-01,21148
1993-10-01,21322
1993-11-01,21229
1993-12-01,21296
1994-01-01,23738
1994-02-01,23427
1994-03-01,23451
1994-04-01,23023
1994-05-01,23171
1994-06-01,23216
1994-07-01,23054
1994-08-01,22994
1994-09-01,23097
1994-10-01,23288
1994-11-01,23631
1994-12-01,23475
1995-01-01,23393
1995-02-01,23472
1995-03-01,23388
1995-04-01,23271
1995-05-01,23173
1995-06-01,22997
1995-07-01,23174
1995-08-01,23171
1995-09-01,23469
1995-10-01,23201
1995-11-01,23075
1995-12-01,22917
1996-01-01,23104
1996-02-01,23054
1996-03-01,23222
1996-04-01,23159
1996-05-01,22980
1996-06-01,23276
1996-07-01,23281
1996-08-01,23363
1996-09-01,23242
1996-10-01,23022
1996-11-01,23202
1996-12-01,23231
1997-01-01,23397
1997-02-01,23291
1997-03-01,23358
1997-04-01,23329
1997-05-01,23382
1997-06-01,23030
1997-07-01,23018
1997-08-01,23098
1997-09-01,22949
1997-10-01,23152
1997-11-01,23269
1997-12-01,23457
1998-01-01,23251
1998-02-01,23218
1998-03-01,23352
1998-04-01,23193
1998-05-01,23311
1998-06-01,23568
1998-07-01,23197
1998-08-01,22955
1998-09-01,23314
1998-10-01,23296
1998-11-01,23314
1998-12-01,23181
1999-01-01,23062
1999-02-01,23101
1999-03-01,23188
1999-04-01,23360
1999-05-01,23377
1999-06-01,23065
1999-07-01,23485
1999-08-01,23354
1999-09-01,23277
1999-10-01,23101
1999-11-01,22981
1999-12-01,22949
2000-01-01,23233
2000-02-01,23179
2000-03-01,23266
2000-04-01,22918
2000-05-01,22793
2000-06-01,22834
2000-07-01,22641
2000-08-01,22725
2000-09-01,22839
2000-10-01,23042
2000-11-01,23346
2000-12-01,23633
2001-01-01,23423
2001-02-01,23542
2001-03-01,23273
2001-04-01,23115
2001-05-01,23089
2001-06-01,22990
2001-07-01,22923
2001-08-01,23146
2001-09-01,23654
2001-10-01,23662
2001-11-01,23559
2001-12-01,23860
2002-01-01,23120
2002-02-01,23699
2002-03-01,23667
2002-04-01,23854
2002-05-01,23969
2002-06-01,24053
2002-07-01,24052
2002-08-01,23856
2002-09-01,23906
2002-10-01,23601
2002-11-01,23755
2002-12-01,23908
2003-01-01,24525
2003-02-01,24038
2003-03-01,24263
2003-04-01,24431
2003-05-01,24497
2003-06-01,24777
2003-07-01,24249
2003-08-01,24687
2003-09-01,24430
2003-10-01,24404
2003-11-01,24551
2003-12-01,24083
2004-01-01,24501
2004-02-01,24204
2004-03-01,24378
2004-04-01,24535
2004-05-01,24778
2004-06-01,24919
2004-07-01,25382
2004-08-01,24966
2004-09-01,24654
2004-10-01,24936
2004-11-01,24922
2004-12-01,24681
2005-01-01,24314
2005-02-01,24621
2005-03-01,24784
2005-04-01,24549
2005-05-01,24584
2005-06-01,24350
2005-07-01,24767
2005-08-01,24851
2005-09-01,25096
2005-10-01,25074
2005-11-01,24915
2005-12-01,24674
2006-01-01,24884
2006-02-01,24731
2006-03-01,24542
2006-04-01,24325
2006-05-01,24989
2006-06-01,24774
2006-07-01,24477
2006-08-01,24629
2006-09-01,24549
2006-10-01,24784
2006-11-01,24958
2006-12-01,25226
2007-01-01,24986
2007-02-01,25016
2007-03-01,25144
2007-04-01,25143
2007-05-01,24932
2007-06-01,25435
2007-07-01,24897
2007-08-01,24753
2007-09-01,24996
2007-10-01,24680
2007-11-01,24758
2007-12-01,24745
2008-01-01,25067
2008-02-01,24692
2008-03-01,24715
2008-04-01,25352
2008-05-01,25063
2008-06-01,25416
2008-07-01,25288
2008-08-01,25595
2008-09-01,25327
2008-10-01,25508
2008-11-01,25666
2008-12-01,26333
2009-01-01,26377
2009-02-01,26722
2009-03-01,27069
2009-04-01,27279
2009-05-01,27239
2009-06-01,27459
2009-07-01,27737
2009-08-01,27509
2009-09-01,27273
2009-10-01,27462
2009-11-01,27327
2009-12-01,27479
2010-01-01,27781
2010-02-01,27627
2010-03-01,27558
2010-04-01,27386
2010-05-01,26692
2010-06-01,26658
2010-07-01,26991
2010-08-01,27703
2010-09-01,27459
2010-10-01,27353
2010-11-01,27561
2010-12-01,27419
2011-01-01,26987
2011-02-01,26872
2011-03-01,27282
2011-04-01,27333
2011-05-01,27381
2011-06-01,27469
2011-07-01,27432
2011-08-01,27296
2011-09-01,27644
2011-10-01,27474
2011-11-01,27434
