"date","value"
1986-01-25,63448
1986-02-01,NA
1986-02-08,81183
1986-02-15,79972
1986-02-22,85685
1986-03-01,80628
1986-03-08,79465
1986-03-15,78500
1986-03-22,78091
1986-03-29,76766
1986-04-05,70833
1986-04-12,66569
1986-04-19,62051
1986-04-26,64674
1986-05-03,59991
1986-05-10,58233
1986-05-17,57378
1986-05-24,57183
1986-05-31,59812
1986-06-07,59355
1986-06-14,59567
1986-06-21,59824
1986-06-28,61474
1986-07-05,63848
1986-07-12,66192
1986-07-19,61266
1986-07-26,59658
1986-08-02,61155
1986-08-09,62478
1986-08-16,59469
1986-08-23,63406
1986-08-30,59754
1986-09-06,54790
1986-09-13,49447
1986-09-20,50337
1986-09-27,47079
1986-10-04,49193
1986-10-11,491193
1986-10-18,47132
1986-10-25,45680
1986-11-01,45752
1986-11-08,46295
1986-11-15,47973
1986-11-22,47618
1986-11-29,56897
1986-12-06,55692
1986-12-13,54418
1986-12-20,55532
1986-12-27,72204
1987-01-03,100379
1987-01-10,77675
1987-01-17,67316
1987-01-24,63448
1987-01-31,79713
1987-02-07,71131
1987-02-14,70336
1987-02-21,76193
1987-02-28,69597
1987-03-07,69902
1987-03-14,66649
1987-03-21,66993
1987-03-28,63083
1987-04-04,60834
1987-04-11,56240
1987-04-18,54111
1987-04-25,54503
1987-05-02,49328
1987-05-09,47754
1987-05-16,46164
1987-05-23,44928
1987-05-30,45845
1987-06-06,44397
1987-06-13,44264
1987-06-20,43840
1987-06-27,46114
1987-07-04,50140
1987-07-11,53656
1987-07-18,57770
1987-07-25,51302
1987-08-01,55219
1987-08-08,51248
1987-08-15,50922
1987-08-22,49281
1987-08-29,48953
1987-09-05,46188
1987-09-12,43806
1987-09-19,39263
1987-09-26,37824
1987-10-03,37269
1987-10-10,36754
1987-10-17,36511
1987-10-24,36319
1987-10-31,36951
1987-11-07,36388
1987-11-14,41270
1987-11-21,39376
1987-11-28,44634
1987-12-05,44680
1987-12-12,48159
1987-12-19,49811
1987-12-26,54343
1988-01-02,82171
1988-01-09,71936
1988-01-16,72972
1988-01-23,72526
1988-01-30,71667
1988-02-06,71505
1988-02-13,74430
1988-02-20,77697
1988-02-27,74384
1988-03-05,71053
1988-03-12,72155
1988-03-19,69806
1988-03-26,68073
1988-04-02,65119
1988-04-09,61045
1988-04-16,57806
1988-04-23,58787
1988-04-30,53382
1988-05-07,51340
1988-05-14,50202
1988-05-21,49867
1988-05-28,48569
1988-06-04,50338
1988-06-11,48573
1988-06-18,49178
1988-06-25,49976
1988-07-02,52633
1988-07-09,57451
1988-07-16,61600
1988-07-23,58185
1988-07-30,59631
1988-08-06,58169
1988-08-13,57455
1988-08-20,56013
1988-08-27,54968
1988-09-03,54134
1988-09-10,50103
1988-09-17,46249
1988-09-24,45081
1988-10-01,44597
1988-10-08,43779
1988-10-15,45531
1988-10-22,44384
1988-10-29,45202
1988-11-05,44970
1988-11-12,49177
1988-11-19,49156
1988-11-26,54321
1988-12-03,52797
1988-12-10,55814
1988-12-17,62766
1988-12-24,64739
1988-12-31,80644
1989-01-07,83686
1989-01-14,81246
1989-01-21,82698
1989-01-28,82598
1989-02-04,83293
1989-02-11,85220
1989-02-18,84578
1989-02-25,92917
1989-03-04,89352
1989-03-11,88743
1989-03-18,90375
1989-03-25,88164
1989-04-01,86784
1989-04-08,83276
1989-04-15,77673
1989-04-22,80568
1989-04-29,73935
1989-05-06,73399
1989-05-13,72606
1989-05-20,71730
1989-05-27,70207
1989-06-03,72919
1989-06-10,72139
1989-06-17,72345
1989-06-24,75786
1989-07-01,77231
1989-07-08,87686
1989-07-15,87863
1989-07-22,83090
1989-07-29,82606
1989-08-05,83360
1989-08-12,85671
1989-08-19,91794
1989-08-26,90440
1989-09-02,88372
1989-09-09,92409
1989-09-16,89015
1989-09-23,85063
1989-09-30,87071
1989-10-07,81626
1989-10-14,88153
1989-10-21,86346
1989-10-28,88008
1989-11-04,83901
1989-11-11,86457
1989-11-18,84231
1989-11-25,94791
1989-12-02,91172
1989-12-09,94147
1989-12-16,100832
1989-12-23,101362
1989-12-30,118154
1990-01-06,130567
1990-01-13,123039
1990-01-20,124827
1990-01-27,126561
1990-02-03,128707
1990-02-10,129704
1990-02-17,124543
1990-02-24,140873
1990-03-03,133950
1990-03-10,133257
1990-03-17,129535
1990-03-24,126922
1990-03-31,124666
1990-04-07,121846
1990-04-14,117269
1990-04-21,120968
1990-04-28,113065
1990-05-05,109129
1990-05-12,108593
1990-05-19,106075
1990-05-26,103116
1990-06-02,107974
1990-06-09,103260
1990-06-16,103414
1990-06-23,105079
1990-06-30,107236
1990-07-07,115167
1990-07-14,117488
1990-07-21,111235
1990-07-28,110672
1990-08-04,109779
1990-08-11,108388
1990-08-18,104820
