"date","value"
1986-02-01,6916
1986-02-08,NA
1986-02-15,7577
1986-02-22,9721
1986-03-01,6599
1986-03-08,7134
1986-03-15,7113
1986-03-22,6870
1986-03-29,6684
1986-04-05,6952
1986-04-12,6491
1986-04-19,5434
1986-04-26,9088
1986-05-03,5994
1986-05-10,6676
1986-05-17,5867
1986-05-24,8432
1986-05-31,6181
1986-06-07,7738
1986-06-14,6699
1986-06-21,8703
1986-06-28,10833
1986-07-05,9444
1986-07-12,11059
1986-07-19,6652
1986-07-26,6372
1986-08-02,6356
1986-08-09,8893
1986-08-16,5838
1986-08-23,5363
1986-08-30,5040
1986-09-06,5345
1986-09-13,4501
1986-09-20,7698
1986-09-27,4975
1986-10-04,7964
1986-10-11,5286
1986-10-18,5286
1986-10-25,5197
1986-11-01,5223
1986-11-08,6797
1986-11-15,6414
1986-11-22,6702
1986-11-29,13117
1986-12-06,7628
1986-12-13,7598
1986-12-20,8215
1986-12-27,32071
1987-01-03,17907
1987-01-10,11632
1987-01-17,9083
1987-01-24,7334
1987-01-31,6916
1987-02-07,8238
1987-02-14,6443
1987-02-21,8972
1987-02-28,5663
1987-03-07,5402
1987-03-14,5342
1987-03-21,4956
1987-03-28,4752
1987-04-04,5174
1987-04-11,5329
1987-04-18,4804
1987-04-25,7575
1987-05-02,4635
1987-05-09,5416
1987-05-16,5240
1987-05-23,4860
1987-05-30,4713
1987-06-06,4937
1987-06-13,4571
1987-06-20,4538
1987-06-27,8067
1987-07-04,8575
1987-07-11,10769
1987-07-18,5799
1987-07-25,5888
1987-08-01,4795
1987-08-08,4943
1987-08-15,4075
1987-08-22,4036
1987-08-29,3795
1987-09-05,4110
1987-09-12,4046
1987-09-19,4107
1987-09-26,3950
1987-10-03,4211
1987-10-10,4795
1987-10-17,3882
1987-10-24,4215
1987-10-31,4554
1987-11-07,5615
1987-11-14,6314
1987-11-21,5776
1987-11-28,7191
1987-12-05,9057
1987-12-12,7988
1987-12-19,8392
1987-12-26,14670
1988-01-02,19287
1988-01-09,13944
1988-01-16,9924
1988-01-23,6969
1988-01-30,6673
1988-02-06,7089
1988-02-13,5853
1988-02-20,8993
1988-02-27,5486
1988-03-05,6025
1988-03-12,5538
1988-03-19,5440
1988-03-26,4965
1988-04-02,4752
1988-04-09,5702
1988-04-16,4471
1988-04-23,7671
1988-04-30,5044
1988-05-07,5710
1988-05-14,4972
1988-05-21,5367
1988-05-28,4883
1988-06-04,5690
1988-06-11,4770
1988-06-18,5034
1988-06-25,6500
1988-07-02,9850
1988-07-09,10190
1988-07-16,7287
1988-07-23,7997
1988-07-30,5555
1988-08-06,5770
1988-08-13,4947
1988-08-20,4668
1988-08-27,4412
1988-09-03,4305
1988-09-10,4249
1988-09-17,4391
1988-09-24,4844
1988-10-01,4676
1988-10-08,5417
1988-10-15,4870
1988-10-22,5179
1988-10-29,5513
1988-11-05,6668
1988-11-12,5632
1988-11-19,6586
1988-11-26,8280
1988-12-03,7831
1988-12-10,8947
1988-12-17,11036
1988-12-24,12714
1988-12-31,19974
1989-01-07,12677
1989-01-14,9937
1989-01-21,7721
1989-01-28,7960
1989-02-04,7773
1989-02-11,7999
1989-02-18,7748
1989-02-25,9991
1989-03-04,7893
1989-03-11,8303
1989-03-18,7193
1989-03-25,6971
1989-04-01,6799
1989-04-08,7490
1989-04-15,6338
1989-04-22,9624
1989-04-29,6143
1989-05-06,7456
1989-05-13,7367
1989-05-20,6778
1989-05-27,6582
1989-06-03,7498
1989-06-10,7383
1989-06-17,7640
1989-06-24,10684
1989-07-01,11624
1989-07-08,13461
1989-07-15,9722
1989-07-22,8368
1989-07-29,7564
1989-08-05,9209
1989-08-12,14326
1989-08-19,9173
1989-08-26,7689
1989-09-02,7190
1989-09-09,7988
1989-09-16,8412
1989-09-23,8718
1989-09-30,7914
1989-10-07,8282
1989-10-14,7812
1989-10-21,9022
1989-10-28,8202
1989-11-04,9539
1989-11-11,10575
1989-11-18,9739
1989-11-25,12998
1989-12-02,11338
1989-12-09,13559
1989-12-16,12928
1989-12-23,16071
1989-12-30,24909
1990-01-06,16565
1990-01-13,14239
1990-01-20,11131
1990-01-27,11292
1990-02-03,11380
1990-02-10,11016
1990-02-17,10042
1990-02-24,15489
1990-03-03,10289
1990-03-10,9982
1990-03-17,9024
1990-03-24,9205
1990-03-31,8219
1990-04-07,9493
1990-04-14,8045
1990-04-21,12256
1990-04-28,8482
1990-05-05,9199
1990-05-12,9000
1990-05-19,8665
1990-05-26,9116
1990-06-02,8937
1990-06-09,8924
1990-06-16,8351
1990-06-23,13779
1990-06-30,12369
1990-07-07,15399
1990-07-14,11119
1990-07-21,9226
1990-07-28,8300
1990-08-04,8723
1990-08-11,8550
1990-08-18,8274
1990-08-25,8616
1990-09-01,8452
1990-09-08,9066
1990-09-15,8861
1990-09-22,9202
1990-09-29,8681
1990-10-06,10148
1990-10-13,9187
1990-10-20,9880
1990-10-27,9910
1990-11-03,12671
1990-11-10,12487
1990-11-17,11226
1990-11-24,18123
1990-12-01,12385
1990-12-08,14673
1990-12-15,13801
1990-12-22,15852
1990-12-29,32951
1991-01-05,19022
1991-01-12,15813
1991-01-19,15240
1991-01-26,13017
1991-02-02,13172
1991-02-09,13289
1991-02-16,11349
1991-02-23,16390
1991-03-02,10381
1991-03-09,12217
1991-03-16,10879
1991-03-23,10095
1991-03-30,9385
1991-04-06,11264
1991-04-13,10531
1991-04-20,13640
1991-04-27,9356
1991-05-04,9562
1991-05-11,9775
1991-05-18,9134
1991-05-25,9437
1991-06-01,9073
1991-06-08,10182
1991-06-15,9866
1991-06-22,13744
1991-06-29,15506
1991-07-06,20460
1991-07-13,11809
1991-07-20,9882
1991-07-27,8934
1991-08-03,9218
1991-08-10,9720
1991-08-17,8174
1991-08-24,8336
1991-08-31,8026
1991-09-07,8520
1991-09-14,8588
1991-09-21,8138
1991-09-28,8135
1991-10-05,9042
1991-10-12,8507
1991-10-19,8240
1991-10-26,8407
1991-11-02,9345
1991-11-09,10737
1991-11-16,9811
1991-11-23,12012
1991-11-30,14145
1991-12-07,14526
1991-12-14,12016
1991-12-21,14810
1991-12-28,34412
1992-01-04,17909
1992-01-11,15599
1992-01-18,13528
1992-01-25,11581
1992-02-01,11437
1992-02-08,12034
1992-02-15,10434
1992-02-22,13491
1992-02-29,9187
1992-03-07,10021
1992-03-14,9218
1992-03-21,9495
1992-03-28,8445
1992-04-04,8776
1992-04-11,8420
1992-04-18,8067
1992-04-25,11372
1992-05-02,7547
1992-05-09,8126
1992-05-16,7501
1992-05-23,7477
1992-05-30,7854
1992-06-06,9438
1992-06-13,7630
1992-06-20,7934
1992-06-27,13018
1992-07-04,13642
1992-07-11,10629
1992-07-18,8326
1992-07-25,7409
1992-08-01,6833
1992-08-08,7702
1992-08-15,6450
1992-08-22,6670
1992-08-29,6026
1992-09-05,7204
1992-09-12,5990
1992-09-19,6132
1992-09-26,6461
1992-10-03,6511
1992-10-10,6848
1992-10-17,5959
1992-10-24,7372
1992-10-31,7138
1992-11-07,8771
1992-11-14,7619
1992-11-21,8458
1992-11-28,9758
1992-12-05,9210
1992-12-12,9990
1992-12-19,10920
1992-12-26,13320
1993-01-02,15603
1993-01-09,14294
1993-01-16,10000
1993-01-23,9044
1993-01-30,9544
1993-02-06,9944
1993-02-13,7920
1993-02-20,10139
1993-02-27,7470
1993-03-06,7529
1993-03-13,7183
1993-03-20,7255
1993-03-27,6522
1993-04-03,7134
1993-04-10,6836
1993-04-17,6080
1993-04-24,9088
1993-05-01,6157
1993-05-08,7055
1993-05-15,6528
1993-05-22,7151
1993-05-29,6650
1993-06-05,7008
1993-06-12,6591
1993-06-19,6287
1993-06-26,7724
1993-07-03,9912
1993-07-10,9092
1993-07-17,7043
1993-07-24,7119
1993-07-31,5532
1993-08-07,6485
1993-08-14,5451
1993-08-21,5765
1993-08-28,5188
1993-09-04,6161
1993-09-11,6040
1993-09-18,5573
1993-09-25,5481
1993-10-02,5498
1993-10-09,6434
1993-10-16,5493
1993-10-23,6779
1993-10-30,6635
1993-11-06,8579
1993-11-13,7225
1993-11-20,8009
1993-11-27,7726
1993-12-04,9332
1993-12-11,9097
1993-12-18,10805
1993-12-25,11525
1994-01-01,15418
1994-01-08,13350
1994-01-15,11015
1994-01-22,9582
1994-01-29,8652
1994-02-05,9314
1994-02-12,7089
1994-02-19,7885
1994-02-26,9698
1994-03-05,7115
1994-03-12,6986
1994-03-19,7020
1994-03-26,6053
1994-04-02,5551
1994-04-09,6989
1994-04-16,6155
1994-04-23,9079
1994-04-30,5619
1994-05-07,6436
1994-05-14,6270
1994-05-21,6267
1994-05-28,6112
1994-06-04,6159
1994-06-11,6402
1994-06-18,5797
1994-06-25,7486
1994-07-02,9860
1994-07-09,10411
1994-07-16,7124
1994-07-23,6673
1994-07-30,5522
1994-08-06,5719
1994-08-13,5710
1994-08-20,5683
1994-08-27,5416
1994-09-03,5551
1994-09-10,5345
1994-09-17,5318
1994-09-24,4867
1994-10-01,5144
1994-10-08,6777
1994-10-15,5393
1994-10-22,6133
1994-10-29,6003
1994-11-05,7468
1994-11-12,6182
1994-11-19,7532
1994-11-26,7444
1994-12-03,8564
1994-12-10,9122
1994-12-17,9509
1994-12-24,11016
1994-12-31,16298
1995-01-07,14072
1995-01-14,10597
1995-01-21,8388
1995-01-28,7981
1995-02-04,8312
1995-02-11,8369
1995-02-18,7034
1995-02-25,10448
1995-03-04,6976
1995-03-11,6590
1995-03-18,6526
1995-03-25,6038
1995-04-01,5824
1995-04-08,6943
1995-04-15,5813
1995-04-22,9643
1995-04-29,5723
1995-05-06,6295
1995-05-13,5782
1995-05-20,6174
1995-05-27,6228
1995-06-03,5895
1995-06-10,6441
1995-06-17,6555
1995-06-24,9911
1995-07-01,9507
1995-07-08,9736
1995-07-15,7351
