"date","value"
2009-07-01,5618.2439
2009-08-01,5652.3305
2009-09-01,5696.1966
2009-10-01,5729.8395
2009-11-01,5787.2338
2009-12-01,5797.4533
2010-01-01,5796.4299
2010-02-01,5837.553
2010-03-01,5862.9238
2010-04-01,5915.4395
2010-05-01,5951.4739
2010-06-01,5971.3467
2010-07-01,5983.834
2010-08-01,6014.6616
2010-09-01,6041.538
2010-10-01,6078.6026
2010-11-01,6128.3912
2010-12-01,6142.0241
2011-01-01,6179.5172
2011-02-01,6222.5251
2011-03-01,6261.8139
2011-04-01,6326.2443
2011-05-01,6382.3291
2011-06-01,6463.3138
2011-07-01,6628.3297
2011-08-01,6798.5656
2011-09-01,6827.865
2011-10-01,6850.7039
2011-11-01,6887.3814
2011-12-01,6931.4868
2012-01-01,7009.4768
2012-02-01,7084.9425
2012-03-01,7138.5162
2012-04-01,7178.1484
2012-05-01,7212.4035
2012-06-01,7271.0645
2012-07-01,7322.5852
2012-08-01,7376.6799
2012-09-01,7428.4073
2012-10-01,7504.5794
2012-11-01,7621.6134
2012-12-01,7729.5238
2013-01-01,7724.0874
2013-02-01,7725.8291
2013-03-01,7799.1182
2013-04-01,7852.7189
2013-05-01,7867.5729
2013-06-01,7885.6091
2013-07-01,7933.8211
2013-08-01,7975.7558
2013-09-01,8008.9549
2013-10-01,8124.4982
2013-11-01,8132.7119
2013-12-01,8200.5859
2014-01-01,8241.654
2014-02-01,8300.621
2014-03-01,8352.4467
2014-04-01,8414.0808
2014-05-01,8464.6828
2014-06-01,8510.4062
2014-07-01,8562.0023
2014-08-01,8579.0526
2014-09-01,8677.8791
2014-10-01,8646.6807
2014-11-01,8689.7024
2014-12-01,8764.7378
2015-01-01,8816.7293
2015-02-01,8910.9926
2015-03-01,8968.5844
2015-04-01,8986.2887
2015-05-01,9016.6915
2015-06-01,9057.0155
2015-07-01,9085.8318
2015-08-01,9129.8623
2015-09-01,9168.5694
2015-10-01,9198.5983
2015-11-01,9261.2057
2015-12-01,9261.1011
2016-01-01,9298.0393
2016-02-01,9343.9975
2016-03-01,9416.1834
2016-04-01,9509.3959
2016-05-01,9552.8325
2016-06-01,9616.9511
2016-07-01,9678.2901
2016-08-01,9785.0239
2016-09-01,9845.3471
2016-10-01,9871.4364
2016-11-01,9916.7755
2016-12-01,9961.2953
2017-01-01,10010.8233
2017-02-01,10051.7674
2017-03-01,10092.8405
2017-04-01,10117.9548
2017-05-01,10161.3182
2017-06-01,10154.1998
2017-07-01,10207.2756
2017-08-01,10229.5307
2017-09-01,10264.9099
2017-10-01,10340.2763
2017-11-01,10349.0122
2017-12-01,10394.3616
2018-01-01,10417.4122
2018-02-01,10429.7478
2018-03-01,10460.5304
2018-04-01,10517.7027
2018-05-01,10542.5197
2018-06-01,10569.0018
2018-07-01,10594.1904
2018-08-01,10614.1402
2018-09-01,10612.3664
2018-10-01,10624.4176
2018-11-01,10627.0339
2018-12-01,10732.6306
2019-01-01,10755.1626
2019-02-01,10768.2192
2019-03-01,10795.8845
2019-04-01,10843.2712
2019-05-01,10906.2239
2019-06-01,10997.3953
2019-07-01,11021.3733
2019-08-01,11056.139
2019-09-01,11139.2902
2019-10-01,11239.2467
2019-11-01,11325.0241
2019-12-01,11376.4185
2020-01-01,11473.7149
2020-02-01,11559.322
2020-03-01,12069.5596
2020-04-01,12923.7673
2020-05-01,13537.9923
2020-06-01,13780.6287
2020-07-01,13837.0599
2020-08-01,13896.434
2020-09-01,14097.0456
2020-10-01,14238.1938
2020-11-01,14415.6385
2020-12-01,14568.921
2021-01-01,14745.8378
2021-02-01,14951.5498
2021-03-01,15195.8517
2021-04-01,15436.9195
2021-05-01,15624.0097
2021-06-01,15660.2089
2021-07-01,15788.1734
2021-08-01,15969.5817
2021-09-01,16106.191
2021-10-01,16237.7578
2021-11-01,16393.8571
2021-12-01,16551.4648
2022-01-01,16642.4967
2022-02-01,16679.6029
2022-03-01,16682.0607
2022-04-01,16657.9813
2022-05-01,16606.3051
2022-06-01,16543.3068
2022-07-01,16508.5783
2022-08-01,16465.0073
2022-09-01,16347.8346
2022-10-01,16237.7984
2022-11-01,16152.5188
2022-12-01,16139.7951
2023-01-01,16055.5608
2023-02-01,15907.5496
