"date","value"
1959-01-01,23.9
1959-02-01,24.1
1959-03-01,24
1959-04-01,24
1959-05-01,23.8
1959-06-01,24
1959-07-01,24.1
1959-08-01,24
1959-09-01,24.4
1959-10-01,24.5
1959-11-01,25.1
1959-12-01,24.9
1960-01-01,24.4
1960-02-01,24.5
1960-03-01,25
1960-04-01,25.1
1960-05-01,25.2
1960-06-01,25.6
1960-07-01,25.6
1960-08-01,26
1960-09-01,26.5
1960-10-01,26.5
1960-11-01,27.1
1960-12-01,27.5
1961-01-01,27.8
1961-02-01,29.4
1961-03-01,29.2
1961-04-01,28.8
1961-05-01,29.7
1961-06-01,30.6
1961-07-01,30.9
1961-08-01,29.5
1961-09-01,29.2
1961-10-01,29.2
1961-11-01,29.3
1961-12-01,29.7
1962-01-01,29.9
1962-02-01,29.9
1962-03-01,30.2
1962-04-01,29.9
1962-05-01,30
1962-06-01,30.1
1962-07-01,30.3
1962-08-01,30.6
1962-09-01,30.4
1962-10-01,31.4
1962-11-01,31.1
1962-12-01,31
1963-01-01,35.1
1963-02-01,31.4
1963-03-01,31.5
1963-04-01,31.5
1963-05-01,31.8
1963-06-01,31.8
1963-07-01,31.8
1963-08-01,32
1963-09-01,32.1
1963-10-01,32.3
1963-11-01,32.3
1963-12-01,33
1964-01-01,34.9
1964-02-01,32.8
1964-03-01,33
1964-04-01,33.2
1964-05-01,33.2
1964-06-01,33.2
1964-07-01,33.5
1964-08-01,33.4
1964-09-01,33.6
1964-10-01,33.6
1964-11-01,33.5
1964-12-01,34.1
1965-01-01,36.6
1965-02-01,34.2
1965-03-01,34.3
1965-04-01,34.7
1965-05-01,34.5
1965-06-01,34.7
1965-07-01,34.9
1965-08-01,34.5
1965-09-01,45
1965-10-01,36.4
1965-11-01,37
1965-12-01,37.3
1966-01-01,37.6
1966-02-01,37.9
1966-03-01,38.1
1966-04-01,37.9
1966-05-01,38
1966-06-01,37.8
1966-07-01,37.7
1966-08-01,39.4
1966-09-01,41.7
1966-10-01,41.9
1966-11-01,43.5
1966-12-01,44.1
1967-01-01,44.9
1967-02-01,45.9
1967-03-01,47.5
1967-04-01,46.9
1967-05-01,47.2
1967-06-01,47.6
1967-07-01,48.4
1967-08-01,49
1967-09-01,48.8
1967-10-01,49.6
1967-11-01,50.1
1967-12-01,50.4
1968-01-01,51.3
1968-02-01,51.5
1968-03-01,54.5
1968-04-01,55.9
1968-05-01,55.8
1968-06-01,56.1
1968-07-01,56.6
1968-08-01,57.7
1968-09-01,57.8
1968-10-01,58.3
1968-11-01,58.7
1968-12-01,59.1
1969-01-01,59.8
