"date","value"
1992-01-01,4254
1992-02-01,4342
1992-03-01,4330
1992-04-01,4359
1992-05-01,4331
1992-06-01,4401
1992-07-01,4368
1992-08-01,4372
1992-09-01,4345
1992-10-01,4299
1992-11-01,4368
1992-12-01,4428
1993-01-01,4637
1993-02-01,4507
1993-03-01,4463
1993-04-01,4564
1993-05-01,4642
1993-06-01,4609
1993-07-01,4640
1993-08-01,4645
1993-09-01,4640
1993-10-01,4663
1993-11-01,4693
1993-12-01,4693
1994-01-01,4571
1994-02-01,4775
1994-03-01,4910
1994-04-01,4916
1994-05-01,4971
1994-06-01,5018
1994-07-01,5046
1994-08-01,5165
1994-09-01,5177
1994-10-01,5260
1994-11-01,5199
1994-12-01,5254
1995-01-01,5265
1995-02-01,5081
1995-03-01,5130
1995-04-01,5181
1995-05-01,5216
1995-06-01,5217
1995-07-01,5318
1995-08-01,5304
1995-09-01,5407
1995-10-01,5429
1995-11-01,5516
1995-12-01,5445
1996-01-01,5302
1996-02-01,5346
1996-03-01,5566
1996-04-01,5595
1996-05-01,5586
1996-06-01,5678
1996-07-01,5696
1996-08-01,5655
1996-09-01,5762
1996-10-01,5779
1996-11-01,5768
1996-12-01,5746
1997-01-01,5823
1997-02-01,5847
1997-03-01,5916
1997-04-01,5968
1997-05-01,6004
1997-06-01,6034
1997-07-01,6039
1997-08-01,6146
1997-09-01,6162
1997-10-01,6154
1997-11-01,6267
1997-12-01,6290
1998-01-01,6377
1998-02-01,6342
1998-03-01,6340
1998-04-01,6369
1998-05-01,6359
1998-06-01,6426
1998-07-01,6447
1998-08-01,6444
1998-09-01,6419
1998-10-01,6504
1998-11-01,6666
1998-12-01,6687
1999-01-01,6617
1999-02-01,6767
1999-03-01,6831
1999-04-01,6794
1999-05-01,6884
1999-06-01,6986
1999-07-01,6954
1999-08-01,7147
1999-09-01,7292
1999-10-01,7324
1999-11-01,7272
1999-12-01,7246
2000-01-01,7484
2000-02-01,7548
2000-03-01,7599
2000-04-01,7729
2000-05-01,7673
2000-06-01,7593
2000-07-01,7748
2000-08-01,7682
2000-09-01,7665
2000-10-01,7737
2000-11-01,7580
2000-12-01,7160
2001-01-01,7764
2001-02-01,7611
2001-03-01,7549
2001-04-01,7560
2001-05-01,7559
2001-06-01,7613
2001-07-01,7671
2001-08-01,7628
2001-09-01,7419
2001-10-01,7543
2001-11-01,7694
2001-12-01,7869
2002-01-01,7847
2002-02-01,7932
2002-03-01,7936
2002-04-01,7874
2002-05-01,7959
2002-06-01,7831
2002-07-01,7741
2002-08-01,7837
2002-09-01,7832
2002-10-01,7789
2002-11-01,7963
2002-12-01,7927
2003-01-01,7824
2003-02-01,7501
2003-03-01,7854
2003-04-01,7895
2003-05-01,8062
2003-06-01,8084
2003-07-01,8115
2003-08-01,8156
2003-09-01,8214
2003-10-01,8244
2003-11-01,8358
2003-12-01,8312
2004-01-01,8307
2004-02-01,8375
2004-03-01,8585
2004-04-01,8519
2004-05-01,8389
2004-06-01,8572
2004-07-01,8868
2004-08-01,8675
2004-09-01,8604
2004-10-01,8806
2004-11-01,8722
2004-12-01,8905
2005-01-01,8856
2005-02-01,8908
2005-03-01,8840
2005-04-01,8994
2005-05-01,8963
2005-06-01,9093
2005-07-01,9084
2005-08-01,9193
2005-09-01,9244
2005-10-01,9315
2005-11-01,9319
2005-12-01,9260
2006-01-01,9561
2006-02-01,9439
2006-03-01,9431
2006-04-01,9402
2006-05-01,9368
2006-06-01,9485
2006-07-01,9442
2006-08-01,9422
2006-09-01,9549
2006-10-01,9375
2006-11-01,9311
2006-12-01,9334
2007-01-01,9609
2007-02-01,9369
2007-03-01,9406
2007-04-01,9430
2007-05-01,9331
2007-06-01,9264
2007-07-01,9315
2007-08-01,9300
2007-09-01,9141
2007-10-01,9142
2007-11-01,9094
2007-12-01,9009
2008-01-01,8873
2008-02-01,8594
2008-03-01,8631
2008-04-01,8606
2008-05-01,8587
2008-06-01,8473
2008-07-01,8369
2008-08-01,8154
2008-09-01,7722
2008-10-01,7735
2008-11-01,7640
2008-12-01,7460
2009-01-01,7363
2009-02-01,7285
2009-03-01,7041
2009-04-01,7067
2009-05-01,7087
2009-06-01,7092
2009-07-01,7039
2009-08-01,6991
2009-09-01,6981
2009-10-01,6915
2009-11-01,6991
2009-12-01,7024
2010-01-01,7011
2010-02-01,7131
2010-03-01,7235
2010-04-01,7128
2010-05-01,7110
2010-06-01,7072
2010-07-01,7101
2010-08-01,7123
2010-09-01,7108
2010-10-01,7039
2010-11-01,7098
2010-12-01,7057
2011-01-01,6984
2011-02-01,7145
2011-03-01,7411
2011-04-01,7313
2011-05-01,7245
2011-06-01,7234
2011-07-01,7263
2011-08-01,7326
2011-09-01,7391
2011-10-01,7295
2011-11-01,7385
2011-12-01,7518
2012-01-01,7646
2012-02-01,7627
2012-03-01,7594
2012-04-01,7502
2012-05-01,7652
2012-06-01,7552
2012-07-01,7650
2012-08-01,7608
2012-09-01,7606
2012-10-01,7416
2012-11-01,7634
2012-12-01,7931
2013-01-01,7924
2013-02-01,7874
2013-03-01,7878
2013-04-01,7837
2013-05-01,7776
2013-06-01,7988
2013-07-01,7965
2013-08-01,8030
2013-09-01,8086
2013-10-01,8189
2013-11-01,8242
2013-12-01,7951
2014-01-01,7826
2014-02-01,8111
2014-03-01,8244
2014-04-01,8366
2014-05-01,8348
2014-06-01,8360
2014-07-01,8382
2014-08-01,8519
2014-09-01,8462
2014-10-01,8496
2014-11-01,8582
2014-12-01,8721
2015-01-01,8701
2015-02-01,8508
2015-03-01,8765
2015-04-01,8885
2015-05-01,9070
2015-06-01,8898
2015-07-01,9065
2015-08-01,9079
2015-09-01,9065
2015-10-01,9164
2015-11-01,9154
2015-12-01,9369
2016-01-01,9241
2016-02-01,9277
2016-03-01,9228
2016-04-01,9203
2016-05-01,9260
2016-06-01,9415
2016-07-01,9340
2016-08-01,9317
2016-09-01,9542
2016-10-01,9380
2016-11-01,9350
2016-12-01,9346
2017-01-01,9493
2017-02-01,9490
2017-03-01,9569
2017-04-01,9399
2017-05-01,9485
2017-06-01,9573
2017-07-01,9522
2017-08-01,9591
2017-09-01,9542
2017-10-01,9810
2017-11-01,9929
2017-12-01,10063
2018-01-01,9835
2018-02-01,9855
2018-03-01,9865
2018-04-01,9999
2018-05-01,9907
2018-06-01,9939
2018-07-01,9999
2018-08-01,9869
2018-09-01,9857
2018-10-01,9895
2018-11-01,9929
2018-12-01,10078
2019-01-01,9760
2019-02-01,9799
2019-03-01,9901
2019-04-01,9941
2019-05-01,10034
2019-06-01,10075
2019-07-01,10101
2019-08-01,10089
2019-09-01,10232
2019-10-01,10090
2019-11-01,10181
2019-12-01,10231
2020-01-01,10380
2020-02-01,10201
2020-03-01,7966
2020-04-01,3939
2020-05-01,7126
2020-06-01,9878
2020-07-01,10170
2020-08-01,10622
2020-09-01,10737
2020-10-01,10594
2020-11-01,10452
2020-12-01,10673
2021-01-01,11730
2021-02-01,11079
2021-03-01,11956
2021-04-01,11936
2021-05-01,11813
2021-06-01,11745
2021-07-01,11742
2021-08-01,11705
2021-09-01,11708
2021-10-01,11827
2021-11-01,11893
2021-12-01,11491
2022-01-01,11749
2022-02-01,11783
2022-03-01,11914
2022-04-01,12174
2022-05-01,11915
2022-06-01,11837
2022-07-01,11757
2022-08-01,11816
2022-09-01,11690
2022-10-01,11873
2022-11-01,11590
2022-12-01,11376
2023-01-01,12531
2023-02-01,11715
2023-03-01,11477
2023-04-01,11398
