"date","value"
1976-06-04,0.72
1976-06-11,0.82
1976-06-18,0.82
1976-06-25,0.82
1976-07-02,0.85
1976-07-09,0.91
1976-07-16,1.03
1976-07-23,0.96
1976-07-30,1.08
1976-08-06,1.1
1976-08-13,1.17
1976-08-20,1.15
1976-08-27,1.13
1976-09-03,1.14
1976-09-10,1.18
1976-09-17,1.18
1976-09-24,1.18
1976-10-01,1.21
1976-10-08,1.35
1976-10-15,1.54
1976-10-22,1.46
1976-10-29,1.42
1976-11-05,1.39
1976-11-12,1.41
1976-11-19,1.49
1976-11-26,1.59
1976-12-03,1.57
1976-12-10,1.49
1976-12-17,1.49
1976-12-24,1.5
1976-12-31,1.46
1977-01-07,1.39
1977-01-14,1.39
1977-01-21,1.27
1977-01-28,1.22
1977-02-04,1.23
1977-02-11,1.31
1977-02-18,1.32
1977-02-25,1.33
1977-03-04,1.35
1977-03-11,1.37
1977-03-18,1.36
1977-03-25,1.39
1977-04-01,1.39
1977-04-08,1.43
1977-04-15,1.44
1977-04-22,1.4
1977-04-29,1.36
1977-05-06,1.3
1977-05-13,1.21
1977-05-20,1.15
1977-05-27,1.14
1977-06-03,1.18
1977-06-10,1.19
1977-06-17,1.13
1977-06-24,1.13
1977-07-01,1.14
1977-07-08,1.18
1977-07-15,1.09
1977-07-22,0.99
1977-07-29,0.97
1977-08-05,0.91
1977-08-12,0.85
1977-08-19,0.74
1977-08-26,0.7
1977-09-02,0.71
1977-09-09,0.7
1977-09-16,0.62
1977-09-23,0.61
1977-09-30,0.57
1977-10-07,0.55
1977-10-14,0.4
1977-10-21,0.33
1977-10-28,0.4
1977-11-04,0.43
1977-11-11,0.44
1977-11-18,0.44
1977-11-25,0.42
1977-12-02,0.44
1977-12-09,0.47
1977-12-16,0.51
1977-12-23,0.54
1977-12-30,0.54
1978-01-06,0.58
1978-01-13,0.43
1978-01-20,0.43
1978-01-27,0.47
1978-02-03,0.48
1978-02-10,0.48
1978-02-17,0.47
1978-02-24,0.44
1978-03-03,0.45
1978-03-10,0.47
1978-03-17,0.45
1978-03-24,0.44
1978-03-31,0.48
1978-04-07,0.43
1978-04-14,0.47
1978-04-21,0.4
1978-04-28,0.35
1978-05-05,0.36
1978-05-12,0.36
1978-05-19,0.35
1978-05-26,0.3
1978-06-02,0.3
1978-06-09,0.31
1978-06-16,0.28
1978-06-23,0.14
1978-06-30,0.13
1978-07-07,0.17
1978-07-14,0.18
1978-07-21,0.15
1978-07-28,0.11
1978-08-04,0.09
1978-08-11,0.18
1978-08-18,0.07
1978-08-25,-0.07
1978-09-01,-0.08
1978-09-08,-0.11
1978-09-15,-0.14
1978-09-22,-0.16
1978-09-29,-0.19
1978-10-06,-0.11
1978-10-13,-0.15
1978-10-20,-0.18
1978-10-27,-0.27
1978-11-03,-0.62
1978-11-10,-0.62
1978-11-17,-0.54
1978-11-24,-0.57
1978-12-01,-0.71
1978-12-08,-0.64
1978-12-15,-0.59
1978-12-22,-0.79
1978-12-29,-0.84
1979-01-05,-0.8
1979-01-12,-0.77
1979-01-19,-0.75
1979-01-26,-0.76
1979-02-02,-0.68
1979-02-09,-0.59
1979-02-16,-0.57
1979-02-23,-0.64
1979-03-02,-0.71
1979-03-09,-0.69
1979-03-16,-0.7
1979-03-23,-0.66
1979-03-30,-0.62
1979-04-06,-0.63
1979-04-13,-0.65
1979-04-20,-0.58
1979-04-27,-0.54
1979-05-04,-0.55
