"date","value"
1945-10-01,352.402
1946-01-01,NA
1946-04-01,NA
1946-07-01,NA
1946-10-01,343.964
1947-01-01,NA
1947-04-01,NA
1947-07-01,NA
1947-10-01,356.685
1948-01-01,NA
1948-04-01,NA
1948-07-01,NA
1948-10-01,369.12
1949-01-01,NA
1949-04-01,NA
1949-07-01,NA
1949-10-01,384.453
1950-01-01,NA
1950-04-01,NA
1950-07-01,NA
1950-10-01,411.373
1951-01-01,NA
1951-04-01,NA
1951-07-01,NA
1951-10-01,434.345
1952-01-01,443.1
1952-04-01,452.623
1952-07-01,460.695
1952-10-01,468.756
1953-01-01,476.996
1953-04-01,484.933
1953-07-01,494.955
1953-10-01,498.932
1954-01-01,503.551
1954-04-01,509.442
1954-07-01,516.098
1954-10-01,525.508
1955-01-01,533.301
1955-04-01,543.885
1955-07-01,553.187
1955-10-01,563.842
1956-01-01,571.134
1956-04-01,576.192
1956-07-01,582.823
1956-10-01,590.711
1957-01-01,599.622
1957-04-01,603.917
1957-07-01,612.909
1957-10-01,617.864
1958-01-01,625.194
1958-04-01,635.11
1958-07-01,641.445
1958-10-01,656.559
1959-01-01,667.735
1959-04-01,682.181
1959-07-01,695.695
1959-10-01,707.085
1960-01-01,714.738
1960-04-01,724.973
1960-07-01,733.297
1960-10-01,742.76
1961-01-01,750.351
1961-04-01,761.226
1961-07-01,774.513
1961-10-01,788.596
1962-01-01,800.217
1962-04-01,813.93
1962-07-01,825.118
1962-10-01,842.334
1963-01-01,855.287
1963-04-01,871.505
1963-07-01,883.32
1963-10-01,900.618
1964-01-01,914.262
1964-04-01,930.822
1964-07-01,947.19
1964-10-01,965.255
1965-01-01,981.834
1965-04-01,998.873
1965-07-01,1013.004
1965-10-01,1034.076
1966-01-01,1053.481
1966-04-01,1073.035
1966-07-01,1086.123
1966-10-01,1102.733
1967-01-01,1119.242
1967-04-01,1131.871
1967-07-01,1154.358
1967-10-01,1190.912
1968-01-01,1204.602
1968-04-01,1227.913
1968-07-01,1252.814
1968-10-01,1279.692
1969-01-01,1298.682
1969-04-01,1316.883
1969-07-01,1339.965
1969-10-01,1364.896
1970-01-01,1379.872
1970-04-01,1403.34
1970-07-01,1430.022
1970-10-01,1456.448
1971-01-01,1482.283
1971-04-01,1521.216
1971-07-01,1558.007
1971-10-01,1596.2
1972-01-01,1631.393
1972-04-01,1669.363
1972-07-01,1708.016
1972-10-01,1759.092
1973-01-01,1812.385
1973-04-01,1856.626
1973-07-01,1900.559
1973-10-01,1940.863
1974-01-01,1981.511
1974-04-01,2031.941
1974-07-01,2077.46
1974-10-01,2116.457
1975-01-01,2155.295
1975-04-01,2203.208
1975-07-01,2254.303
1975-10-01,2313.028
1976-01-01,2372.52
1976-04-01,2439.187
1976-07-01,2501.06
1976-10-01,2565.231
1977-01-01,2637.942
1977-04-01,2713.028
1977-07-01,2805.904
1977-10-01,2895.413
1978-01-01,2987.237
1978-04-01,3090.14
1978-07-01,3194.161
1978-10-01,3290.005
1979-01-01,3379.772
1979-04-01,3481.273
1979-07-01,3595.875
1979-10-01,3688.823
1980-01-01,3789.548
1980-04-01,3856.663
1980-07-01,3942.863
1980-10-01,4051.493
1981-01-01,4145.038
1981-04-01,4257.777
1981-07-01,4357.388
1981-10-01,4464.736
1982-01-01,4569.836
1982-04-01,4671.5
1982-07-01,4784.762
1982-10-01,4900.299
1983-01-01,5036.932
1983-04-01,5196.415
1983-07-01,5355.199
1983-10-01,5497.72
1984-01-01,5701.538
1984-04-01,5905.233
1984-07-01,6106.461
1984-10-01,6308.385
1985-01-01,6563.269
1985-04-01,6782.724
1985-07-01,7002.345
1985-10-01,7341.719
1986-01-01,7513.073
1986-04-01,7747.006
1986-07-01,7977.303
1986-10-01,8216.651
1987-01-01,8383.255
1987-04-01,8588.939
1987-07-01,8772.7
1987-10-01,8958.187
1988-01-01,9164.363
1988-04-01,9372.886
1988-07-01,9567.891
1988-10-01,9777.621
1989-01-01,9964.652
1989-04-01,10156.836
1989-07-01,10326.348
1989-10-01,10527.938
1990-01-01,10761.855
1990-04-01,10931.507
1990-07-01,11088.068
1990-10-01,11245.93
1991-01-01,11349.381
1991-04-01,11493.138
1991-07-01,11619.53
