"date","value"
1943-02-01,-20.94
1943-03-01,-42.49
1943-04-01,-20.88
1943-05-01,-37.12
1943-06-01,-23.05
1943-07-01,-21.41
1943-08-01,-16.71
1943-09-01,1.88
1943-10-01,0.67
1943-11-01,-15.69
1943-12-01,-24.6
1944-01-01,-14.05
1944-02-01,-9.83
1944-03-01,3.59
1944-04-01,1.97
1944-05-01,11.45
1944-06-01,8.24
1944-07-01,6.67
1944-08-01,7.8
1944-09-01,3.31
1944-10-01,3.61
1944-11-01,0.9
1944-12-01,3.36
1945-01-01,3.66
1945-02-01,-6.19
1945-03-01,20.21
1945-04-01,-18.05
1945-05-01,4.9
1945-06-01,21.24
1945-07-01,9.32
1945-08-01,3.81
1945-09-01,-1.82
1945-10-01,36.21
1945-11-01,33.08
1945-12-01,92.82
1946-01-01,-11.43
1946-02-01,48.23
1946-03-01,42.48
1946-04-01,56.15
1946-05-01,32.59
1946-06-01,27.06
1946-07-01,36.06
1946-08-01,62.24
1946-09-01,36.59
1946-10-01,41.24
1946-11-01,43.59
1946-12-01,29.43
1947-01-01,41.4
1947-02-01,39.16
1947-03-01,30.55
1947-04-01,34.81
1947-05-01,31.6
1947-06-01,22.99
1947-07-01,24.62
1947-08-01,23.1
1947-09-01,28.74
1947-10-01,34.89
1947-11-01,32.42
1947-12-01,30.71
1948-01-01,34.82
1948-02-01,26.82
1948-03-01,35.22
1948-04-01,29.55
1948-05-01,19.87
1948-06-01,22.76
1948-07-01,21.63
1948-08-01,15.01
1948-09-01,22.49
1948-10-01,4.99
1948-11-01,1.83
1948-12-01,15.37
1949-01-01,7.48
1949-02-01,8.12
1949-03-01,6.28
1949-04-01,23.88
1949-05-01,16.44
1949-06-01,16.07
1949-07-01,14.25
1949-08-01,20.71
1949-09-01,23.49
1949-10-01,22.12
1949-11-01,27.61
1949-12-01,21.88
1950-01-01,17.81
1950-02-01,20.2
1950-03-01,22.5
1950-04-01,25.15
1950-05-01,28.19
1950-06-01,28.93
1950-07-01,54.97
1950-08-01,34.88
1950-09-01,23.41
1950-10-01,3.66
1950-11-01,0.85
1950-12-01,-1.52
1951-01-01,29.37
1951-02-01,15.72
1951-03-01,8.54
1951-04-01,-10.12
1951-05-01,-4.05
1951-06-01,-7.69
1951-07-01,-6.77
1951-08-01,11.82
1951-09-01,7.93
1951-10-01,9.45
1951-11-01,17.38
1951-12-01,-0.57
1952-01-01,8.48
1952-02-01,16.93
1952-03-01,2.08
1952-04-01,16.79
1952-05-01,28.11
1952-06-01,28.27
1952-07-01,20.08
1952-08-01,11.4
1952-09-01,17.52
1952-10-01,26.99
1952-11-01,23.27
1952-12-01,26.29
1953-01-01,32.09
1953-02-01,16.03
1953-03-01,29.24
1953-04-01,18.13
1953-05-01,11.75
1953-06-01,2.58
1953-07-01,10.73
1953-08-01,9.82
1953-09-01,7.08
1953-10-01,8.17
1953-11-01,2.73
1953-12-01,4.96
1954-01-01,13.1
1954-02-01,-12.81
1954-03-01,-6.9
1954-04-01,7.12
1954-05-01,-0.06
1954-06-01,3.94
1954-07-01,8.58
1954-08-01,-1.68
1954-09-01,4.51
1954-10-01,7.95
1954-11-01,8.56
1954-12-01,14.55
1955-01-01,11.79
1955-02-01,18.76
1955-03-01,20.21
1955-04-01,23.16
1955-05-01,16.16
1955-06-01,25.44
1955-07-01,15.34
1955-08-01,21.62
1955-09-01,19.98
1955-10-01,13.06
1955-11-01,15.67
1955-12-01,14.57
1956-01-01,7.2
1956-02-01,12.56
1956-03-01,18.16
1956-04-01,4.96
1956-05-01,11.5
1956-06-01,6.96
1956-07-01,3.26
1956-08-01,8.84
1956-09-01,7.55
1956-10-01,4.16
1956-11-01,12.46
1956-12-01,1.25
1957-01-01,6.66
1957-02-01,8.97
1957-03-01,5.29
1957-04-01,7.06
1957-05-01,8.27
1957-06-01,4.16
1957-07-01,9.4
1957-08-01,7.04
1957-09-01,2.4
