"date","value"
1970-01-01,355
1970-02-01,357
1970-03-01,361
1970-04-01,365
1970-05-01,365
1970-06-01,368
1970-07-01,370
1970-08-01,367
1970-09-01,369
1970-10-01,377
1970-11-01,381
1970-12-01,399
1971-01-01,411
1971-02-01,424
1971-03-01,429
1971-04-01,449
1971-05-01,464
1971-06-01,477
1971-07-01,485
1971-08-01,497
1971-09-01,505
1971-10-01,513
1971-11-01,525
1971-12-01,529
1972-01-01,544
1972-02-01,534
1972-03-01,562
1972-04-01,567
1972-05-01,573
1972-06-01,583
1972-07-01,591
1972-08-01,602
1972-09-01,620
1972-10-01,630
1972-11-01,639
1972-12-01,646
1973-01-01,652
1973-02-01,652
1973-03-01,643
1973-04-01,632
1973-05-01,630
1973-06-01,611
1973-07-01,615
1973-08-01,607
1973-09-01,593
1973-10-01,577
1973-11-01,563
1973-12-01,551
1974-01-01,543
1974-02-01,540
1974-03-01,533
1974-04-01,537
1974-05-01,526
1974-06-01,516
1974-07-01,509
1974-08-01,500
1974-09-01,488
1974-10-01,477
1974-11-01,469
1974-12-01,464
1975-01-01,454
1975-02-01,447
1975-03-01,442
1975-04-01,438
1975-05-01,439
1975-06-01,440
1975-07-01,447
1975-08-01,452
1975-09-01,450
1975-10-01,472
1975-11-01,473
1975-12-01,471
1976-01-01,482
1976-02-01,480
1976-03-01,504
1976-04-01,511
1976-05-01,518
1976-06-01,527
1976-07-01,533
1976-08-01,540
1976-09-01,558
1976-10-01,572
1976-11-01,577
1976-12-01,587
1977-01-01,598
1977-02-01,613
1977-03-01,632
1977-04-01,654
1977-05-01,678
1977-06-01,694
1977-07-01,704
1977-08-01,712
1977-09-01,710
1977-10-01,730
1977-11-01,743
1977-12-01,759
1978-01-01,766
1978-02-01,774
1978-03-01,776
1978-04-01,782
1978-05-01,782
1978-06-01,786
1978-07-01,787
1978-08-01,788
1978-09-01,781
1978-10-01,778
1978-11-01,786
1978-12-01,798
1979-01-01,785
1979-02-01,775
1979-03-01,761
1979-04-01,743
1979-05-01,739
1979-06-01,739
1979-07-01,732
1979-08-01,727
1979-09-01,718
1979-10-01,707
1979-11-01,682
1979-12-01,658
1980-01-01,645
1980-02-01,607
1980-03-01,580
1980-04-01,535
1980-05-01,500
1980-06-01,482
1980-07-01,481
1980-08-01,481
1980-09-01,503
1980-10-01,519
1980-11-01,529
1980-12-01,531
1981-01-01,535
1981-02-01,532
1981-03-01,523
1981-04-01,515
1981-05-01,501
1981-06-01,483
1981-07-01,467
1981-08-01,448
1981-09-01,431
1981-10-01,415
1981-11-01,402
1981-12-01,394
1982-01-01,394
1982-02-01,399
1982-03-01,392
1982-04-01,388
1982-05-01,378
1982-06-01,378
1982-07-01,376
1982-08-01,375
1982-09-01,382
1982-10-01,388
1982-11-01,400
1982-12-01,415
1983-01-01,430
