"date","value"
1970-01-01,487
1970-02-01,483
1970-03-01,481
1970-04-01,482
1970-05-01,476
1970-06-01,473
1970-07-01,477
1970-08-01,463
1970-09-01,475
1970-10-01,477
1970-11-01,484
1970-12-01,495
1971-01-01,508
1971-02-01,517
1971-03-01,538
1971-04-01,558
1971-05-01,575
1971-06-01,592
1971-07-01,614
1971-08-01,626
1971-09-01,635
1971-10-01,645
1971-11-01,671
1971-12-01,691
1972-01-01,706
1972-02-01,692
1972-03-01,726
1972-04-01,741
1972-05-01,756
1972-06-01,769
1972-07-01,782
1972-08-01,797
1972-09-01,802
1972-10-01,832
1972-11-01,851
1972-12-01,856
1973-01-01,866
1973-02-01,886
1973-03-01,893
1973-04-01,895
1973-05-01,901
1973-06-01,897
1973-07-01,901
1973-08-01,898
1973-09-01,897
1973-10-01,881
1973-11-01,876
1973-12-01,862
1974-01-01,843
1974-02-01,843
1974-03-01,810
1974-04-01,783
1974-05-01,759
1974-06-01,738
1974-07-01,703
1974-08-01,669
1974-09-01,633
1974-10-01,597
1974-11-01,553
1974-12-01,515
1975-01-01,488
1975-02-01,467
1975-03-01,435
1975-04-01,412
1975-05-01,390
1975-06-01,369
1975-07-01,358
1975-08-01,344
1975-09-01,338
1975-10-01,321
1975-11-01,307
1975-12-01,300
1976-01-01,296
1976-02-01,285
1976-03-01,285
1976-04-01,281
1976-05-01,275
1976-06-01,279
1976-07-01,275
1976-08-01,279
1976-09-01,284
1976-10-01,288
1976-11-01,298
1976-12-01,304
1977-01-01,309
1977-02-01,311
1977-03-01,316
1977-04-01,323
1977-05-01,333
1977-06-01,338
1977-07-01,353
1977-08-01,363
1977-09-01,371
1977-10-01,382
1977-11-01,384
1977-12-01,395
1978-01-01,393
1978-02-01,396
1978-03-01,405
1978-04-01,423
1978-05-01,438
1978-06-01,443
1978-07-01,442
1978-08-01,440
1978-09-01,450
1978-10-01,457
1978-11-01,461
1978-12-01,461
1979-01-01,459
1979-02-01,458
1979-03-01,448
1979-04-01,439
1979-05-01,435
1979-06-01,444
1979-07-01,444
1979-08-01,440
1979-09-01,432
1979-10-01,429
1979-11-01,424
1979-12-01,420
1980-01-01,412
1980-02-01,393
1980-03-01,390
1980-04-01,369
1980-05-01,344
1980-06-01,334
1980-07-01,316
1980-08-01,309
1980-09-01,302
1980-10-01,308
1980-11-01,308
1980-12-01,312
1981-01-01,324
1981-02-01,324
1981-03-01,325
1981-04-01,322
1981-05-01,321
1981-06-01,309
1981-07-01,302
1981-08-01,294
1981-09-01,286
1981-10-01,271
1981-11-01,260
1981-12-01,254
1982-01-01,246
1982-02-01,242
1982-03-01,239
1982-04-01,237
1982-05-01,241
1982-06-01,231
1982-07-01,245
1982-08-01,250
1982-09-01,260
1982-10-01,265
1982-11-01,275
1982-12-01,277
1983-01-01,288
1983-02-01,299
1983-03-01,312
1983-04-01,322
1983-05-01,336
1983-06-01,352
1983-07-01,370
1983-08-01,378
1983-09-01,390
1983-10-01,398
1983-11-01,412
1983-12-01,420
1984-01-01,422
1984-02-01,420
1984-03-01,431
1984-04-01,438
1984-05-01,435
1984-06-01,444
1984-07-01,453
1984-08-01,453
1984-09-01,457
1984-10-01,444
1984-11-01,439
1984-12-01,434
1985-01-01,437
1985-02-01,431
1985-03-01,428
1985-04-01,445
1985-05-01,445
1985-06-01,439
1985-07-01,437
1985-08-01,439
1985-09-01,438
1985-10-01,452
1985-11-01,458
1985-12-01,469
1986-01-01,469
1986-02-01,475
1986-03-01,473
1986-04-01,496
1986-05-01,486
1986-06-01,487
1986-07-01,482
1986-08-01,480
1986-09-01,474
1986-10-01,465
1986-11-01,456
1986-12-01,444
1987-01-01,432
1987-02-01,428
1987-03-01,412
1987-04-01,401
1987-05-01,392
1987-06-01,389
1987-07-01,380
1987-08-01,376
1987-09-01,375
1987-10-01,373
1987-11-01,375
1987-12-01,358
1988-01-01,354
1988-02-01,345
1988-03-01,339
1988-04-01,339
1988-05-01,338
1988-06-01,332
1988-07-01,328
1988-08-01,322
1988-09-01,321
1988-10-01,315
1988-11-01,315
1988-12-01,312
1989-01-01,311
1989-02-01,310
1989-03-01,312
1989-04-01,300
1989-05-01,298
1989-06-01,301
1989-07-01,300
1989-08-01,295
1989-09-01,287
1989-10-01,289
1989-11-01,283
1989-12-01,281
1990-01-01,286
1990-02-01,287
1990-03-01,284
1990-04-01,279
1990-05-01,276
1990-06-01,275
1990-07-01,272
1990-08-01,268
1990-09-01,259
1990-10-01,243
1990-11-01,243
1990-12-01,240
1991-01-01,229
1991-02-01,226
1991-03-01,212
1991-04-01,204
1991-05-01,193
1991-06-01,184
1991-07-01,176
1991-08-01,169
1991-09-01,157
1991-10-01,156
1991-11-01,156
1991-12-01,151
1992-01-01,151
1992-02-01,145
1992-03-01,152
1992-04-01,147
1992-05-01,145
1992-06-01,139
1992-07-01,132
1992-08-01,133
1992-09-01,132
1992-10-01,131
1992-11-01,126
1992-12-01,124
1993-01-01,118
1993-02-01,115
1993-03-01,114
1993-04-01,112
1993-05-01,111
1993-06-01,111
1993-07-01,112
1993-08-01,108
1993-09-01,115
1993-10-01,115
1993-11-01,116
1993-12-01,119
1994-01-01,120
1994-02-01,124
1994-03-01,129
1994-04-01,137
1994-05-01,147
1994-06-01,149
1994-07-01,156
1994-08-01,163
1994-09-01,164
1994-10-01,172
1994-11-01,178
1994-12-01,184
1995-01-01,190
1995-02-01,195
1995-03-01,195
1995-04-01,196
1995-05-01,196
1995-06-01,201
1995-07-01,202
1995-08-01,206
1995-09-01,207
1995-10-01,202
1995-11-01,206
1995-12-01,209
1996-01-01,213
1996-02-01,211
1996-03-01,213
1996-04-01,213
1996-05-01,214
1996-06-01,207
1996-07-01,205
1996-08-01,205
1996-09-01,210
1996-10-01,210
1996-11-01,215
1996-12-01,214
1997-01-01,215
1997-02-01,217
1997-03-01,218
1997-04-01,222
1997-05-01,227
1997-06-01,238
1997-07-01,242
1997-08-01,242
1997-09-01,246
1997-10-01,251
1997-11-01,257
1997-12-01,261
1998-01-01,261
1998-02-01,262
1998-03-01,261
1998-04-01,259
1998-05-01,257
1998-06-01,259
1998-07-01,263
1998-08-01,261
1998-09-01,267
1998-10-01,281
1998-11-01,275
1998-12-01,284
1999-01-01,286
1999-02-01,295
1999-03-01,297
1999-04-01,297
1999-05-01,292
1999-06-01,291
1999-07-01,289
1999-08-01,292
1999-09-01,290
1999-10-01,288
1999-11-01,285
1999-12-01,285
2000-01-01,290
2000-02-01,298
2000-03-01,291
2000-04-01,295
2000-05-01,298
2000-06-01,296
2000-07-01,295
2000-08-01,290
2000-09-01,286
2000-10-01,283
2000-11-01,286
2000-12-01,284
2001-01-01,284
2001-02-01,284
2001-03-01,292
2001-04-01,291
2001-05-01,299
2001-06-01,295
2001-07-01,298
2001-08-01,290
2001-09-01,294
2001-10-01,294
2001-11-01,297
2001-12-01,294
2002-01-01,297
2002-02-01,298
2002-03-01,304
2002-04-01,301
2002-05-01,305
2002-06-01,305
2002-07-01,304
2002-08-01,303
2002-09-01,307
2002-10-01,306
2002-11-01,309
2002-12-01,307
2003-01-01,306
2003-02-01,303
2003-03-01,299
2003-04-01,296
2003-05-01,299
2003-06-01,303
2003-07-01,310
2003-08-01,321
2003-09-01,327
2003-10-01,330
2003-11-01,339
2003-12-01,346
2004-01-01,348
2004-02-01,354
2004-03-01,356
2004-04-01,358
2004-05-01,351
2004-06-01,346
2004-07-01,357
2004-08-01,336
2004-09-01,341
2004-10-01,348
2004-11-01,347
2004-12-01,351
2005-01-01,360
2005-02-01,367
2005-03-01,366
2005-04-01,374
2005-05-01,372
2005-06-01,377
2005-07-01,380
2005-08-01,387
2005-09-01,393
2005-10-01,384
2005-11-01,386
2005-12-01,394
2006-01-01,402
2006-02-01,402
2006-03-01,410
2006-04-01,407
2006-05-01,416
2006-06-01,415
2006-07-01,411
2006-08-01,411
2006-09-01,413
2006-10-01,407
2006-11-01,407
2006-12-01,407
2007-01-01,405
2007-02-01,404
2007-03-01,402
2007-04-01,402
2007-05-01,403
2007-06-01,408
2007-07-01,404
2007-08-01,410
2007-09-01,410
2007-10-01,415
2007-11-01,425
2007-12-01,418
2008-01-01,420
2008-02-01,419
2008-03-01,424
2008-04-01,430
2008-05-01,434
2008-06-01,440
2008-07-01,442
2008-08-01,435
2008-09-01,427
2008-10-01,419
2008-11-01,406
2008-12-01,391
2009-01-01,382
2009-02-01,372
2009-03-01,354
2009-04-01,332
2009-05-01,317
2009-06-01,296
2009-07-01,278
2009-08-01,262
2009-09-01,248
2009-10-01,232
2009-11-01,218
2009-12-01,205
2010-01-01,191
2010-02-01,180
2010-03-01,175
2010-04-01,171
2010-05-01,164
2010-06-01,155
2010-07-01,155
2010-08-01,160
2010-09-01,159
2010-10-01,160
2010-11-01,154
2010-12-01,154
2011-01-01,160
2011-02-01,160
2011-03-01,155
2011-04-01,157
