"date","value"
1960-01-01,27.633
1960-04-01,25.729
1960-07-01,24.865
1960-10-01,24.692
1961-01-01,24.426
1961-04-01,24.446
1961-07-01,25.403
1961-10-01,26.06
1962-01-01,26.409
1962-04-01,27.037
1962-07-01,26.892
1962-10-01,26.649
1963-01-01,27.313
1963-04-01,28.861
1963-07-01,29.034
1963-10-01,29.979
1964-01-01,31.247
1964-04-01,30.424
1964-07-01,30.312
1964-10-01,30.699
1965-01-01,31.369
1965-04-01,31.985
1965-07-01,32.352
1965-10-01,32.687
1966-01-01,33.012
1966-04-01,31.854
1966-07-01,30.89
1966-10-01,28.9
1967-01-01,28.41
1967-04-01,31.178
1967-07-01,32.6
1967-10-01,34.546
1968-01-01,34.896
1968-04-01,35.432
1968-07-01,35.779
1968-10-01,37.336
1969-01-01,38.981
1969-04-01,39.007
1969-07-01,38.907
1969-10-01,37.012
1970-01-01,36.864
1970-04-01,36.061
1970-07-01,36.966
1970-10-01,40.11
1971-01-01,43.1
1971-04-01,47.712
1971-07-01,50.602
1971-10-01,53.263
1972-01-01,57.303
1972-04-01,58.813
1972-07-01,60.231
1972-10-01,64.428
1973-01-01,67.835
1973-04-01,66.955
1973-07-01,66.733
1973-10-01,65.189
1974-01-01,62.7
1974-04-01,62.278
1974-07-01,63.156
1974-10-01,58.728
1975-01-01,58.185
1975-04-01,61.453
1975-07-01,66.395
1975-10-01,70.576
1976-01-01,77.112
1976-04-01,81.082
1976-07-01,81.547
1976-10-01,92.095
1977-01-01,97.521
1977-04-01,109.816
1977-07-01,112.814
1977-10-01,114.682
1978-01-01,118.079
1978-04-01,126.472
1978-07-01,130.002
1978-10-01,131.591
1979-01-01,129.424
1979-04-01,129.869
1979-07-01,131.923
1979-10-01,130.205
1980-01-01,125.336
1980-04-01,106.839
1980-07-01,111.967
1980-10-01,123.36
1981-01-01,122.707
1981-04-01,121.444
1981-07-01,115.843
1981-10-01,109.441
1982-01-01,107.715
1982-04-01,107.511
1982-07-01,108.938
1982-10-01,116.868
1983-01-01,133.551
1983-04-01,147.141
1983-07-01,160.898
1983-10-01,169.166
1984-01-01,174.752
1984-04-01,179.312
1984-07-01,179.074
1984-10-01,180.425
1985-01-01,180.861
1985-04-01,182.281
1985-07-01,185.875
1985-10-01,192.059
1986-01-01,201.238
1986-04-01,213.794
1986-07-01,220.093
1986-10-01,225.19
1987-01-01,228.828
1987-04-01,234.198
1987-07-01,237.336
1987-10-01,241.8
1988-01-01,242.598
1988-04-01,247.139
1988-07-01,248.591
1988-10-01,252.558
1989-01-01,253.368
1989-04-01,249.245
1989-07-01,250.337
1989-10-01,245.976
1990-01-01,250.304
1990-04-01,243.202
1990-07-01,234.843
1990-10-01,225.002
1991-01-01,217.066
1991-04-01,225.146
1991-07-01,234.109
1991-10-01,239.266
1992-01-01,251.492
1992-04-01,262.687
1992-07-01,264.329
1992-10-01,274.449
1993-01-01,275.229
1993-04-01,280.395
1993-07-01,292.721
1993-10-01,308.118
1994-01-01,317.091
1994-04-01,329.399
1994-07-01,326.291
1994-10-01,322.358
1995-01-01,315.596
1995-04-01,306.251
1995-07-01,316.217
1995-10-01,324.116
1996-01-01,335.568
1996-04-01,352.733
1996-07-01,358.067
1996-10-01,357.775
1997-01-01,362.739
1997-04-01,370.539
1997-07-01,380.682
1997-10-01,390.765
1998-01-01,405.063
1998-04-01,423.932
1998-07-01,439.226
1998-10-01,452.608
1999-01-01,456.282
1999-04-01,466.108
1999-07-01,472.412
1999-10-01,479.022
2000-01-01,490.899
2000-04-01,496.361
2000-07-01,497.103
2000-10-01,503.519
2001-01-01,513.141
2001-04-01,525.943
2001-07-01,536.703
2001-10-01,538.419
2002-01-01,555.632
2002-04-01,572.699
2002-07-01,577.042
2002-10-01,593.814
2003-01-01,613.97
2003-04-01,624.927
2003-07-01,661.558
2003-10-01,691.815
2004-01-01,712.674
2004-04-01,748.143
2004-07-01,767.958
2004-10-01,788.98
2005-01-01,814.273
2005-04-01,840.187
2005-07-01,870.972
2005-10-01,885.206
2006-01-01,895.838
2006-04-01,867.042
2006-07-01,829.327
2006-10-01,800.867
2007-01-01,771.777
2007-04-01,743.572
2007-07-01,705.265
2007-10-01,659.468
2008-01-01,616.285
2008-04-01,594.973
2008-07-01,569.997
2008-10-01,522.748
2009-01-01,480.732
2009-04-01,454.802
2009-07-01,467.166
2009-10-01,467.516
2010-01-01,456.748
2010-04-01,471.662
2010-07-01,444.229
2010-10-01,453.987
2011-01-01,453.64
2011-04-01,462.497
2011-07-01,472.971
2011-10-01,483.37
2012-01-01,507.79
2012-04-01,515.319
2012-07-01,525.818
2012-10-01,550.141
2013-01-01,572.383
2013-04-01,589.06
2013-07-01,602.639
2013-10-01,603.734
2014-01-01,606.578
2014-04-01,624.454
2014-07-01,641.444
2014-10-01,661.809
2015-01-01,678.413
2015-04-01,697.904
2015-07-01,719.263
2015-10-01,730.818
2016-01-01,754.135
2016-04-01,761.706
2016-07-01,768.771
2016-10-01,787.888
2017-01-01,807.683
2017-04-01,820.511
2017-07-01,826.915
2017-10-01,846.84
2018-01-01,857.259
2018-04-01,874.626
2018-07-01,873.417
2018-10-01,866.739
2019-01-01,871.296
2019-04-01,880.213
2019-07-01,893.728
2019-10-01,900.653
2020-01-01,929.512
2020-04-01,856.505
2020-07-01,972.997
2020-10-01,1063.824
2021-01-01,1120.395
2021-04-01,1120.922
2021-07-01,1147.51
2021-10-01,1196.622
2022-01-01,1235.799
2022-04-01,1204.408
2022-07-01,1149.847
2022-10-01,1095.906
