"key","series_title","series_id","releases_title","releases_id","last_downloaded","freq","agg","last_requested"
"TEMPHELPS__","All Employees, Temporary Help Services","TEMPHELPS","Employment Situation",50,"2023-05-11","","","2023-05-24"
"CES3000000004__","Average Weekly Overtime Hours of All Employees, Manufacturing","CES3000000004","Employment Situation",50,"2023-05-11","","","2023-05-24"
"LNS12032194__","Employment Level - Part-Time for Economic Reasons, All Industries","LNS12032194","Employment Situation",50,"2023-05-11","","","2023-05-24"
"LNS12600000__","Employed, Usually Work Part Time","LNS12600000","Employment Situation",50,"2023-05-11","","","2023-05-24"
"PAYEMS__","All Employees, Total Nonfarm","PAYEMS","Employment Situation",50,"2023-05-11","","","2023-05-24"
"CES0500000003__","Average Hourly Earnings of All Employees, Total Private","CES0500000003","Employment Situation",50,"2023-05-11","","","2023-05-24"
"AWHNONAG__","Average Weekly Hours of Production and Nonsupervisory Employees, Total Private","AWHNONAG","Employment Situation",50,"2023-05-11","","","2023-05-24"
"LNS12500000__","Employed, Usually Work Full Time","LNS12500000","Employment Situation",50,"2023-05-11","","","2023-04-07"
"AHETPI__","Average Hourly Earnings of Production and Nonsupervisory Employees, Total Private","AHETPI","Employment Situation",50,"2023-05-11","","","2023-05-24"
"IHLIDXUSTPHOTO__","Hospitality and Tourism Job Postings on Indeed in the United States","IHLIDXUSTPHOTO","Job Postings on Indeed",476,"2023-05-18","","","2023-05-24"
"IHLIDXUSTPFOPRSE__","Food Preparation and Service Job Postings on Indeed in the United States","IHLIDXUSTPFOPRSE","Job Postings on Indeed",476,"2023-05-18","","","2023-05-24"
"IHLIDXUSTPRETA__","Retail Job Postings on Indeed in the United States","IHLIDXUSTPRETA","Job Postings on Indeed",476,"2023-05-18","","","2023-05-24"
"IHLIDXUSTPARCH__","Architecture Job Postings on Indeed in the United States","IHLIDXUSTPARCH","Job Postings on Indeed",476,"2023-05-18","","","2023-05-24"
"IHLIDXUSTPCONS__","Construction Job Postings on Indeed in the United States","IHLIDXUSTPCONS","Job Postings on Indeed",476,"2023-05-18","","","2023-05-24"
"IHLIDXUSTPCIVIENGI__","Civil Engineering Job Postings on Indeed in the United States","IHLIDXUSTPCIVIENGI","Job Postings on Indeed",476,"2023-05-18","","","2023-05-24"
"IHLIDXUSTPPRMA__","Production and Manufacturing Job Postings on Indeed in the United States","IHLIDXUSTPPRMA","Job Postings on Indeed",476,"2023-05-18","","","2023-05-24"
"CCNSA__","Continued Claims (Insured Unemployment)","CCNSA","Unemployment Insurance Weekly Claims Report",180,"2023-05-23","","","2023-05-24"
"CCSA__","Continued Claims (Insured Unemployment)","CCSA","Unemployment Insurance Weekly Claims Report",180,"2023-05-23","","","2023-05-24"
"ICNSA__","Initial Claims","ICNSA","Unemployment Insurance Weekly Claims Report",180,"2023-05-23","","","2023-05-24"
"ICSA__","Initial Claims","ICSA","Unemployment Insurance Weekly Claims Report",180,"2023-05-23","","","2023-05-24"
"CES2023800101__","All Employees, Residential Specialty Trade Contractors","CES2023800101","Employment Situation",50,"2023-05-11","","","2023-05-24"
"CES2023610001__","All Employees, Residential Building Construction","CES2023610001","Employment Situation",50,"2023-05-11","","","2023-05-24"
"USCONS__","All Employees, Construction","USCONS","Employment Situation",50,"2023-05-11","","","2023-05-04"
"CUSR0000SA0L2__","Consumer Price Index for All Urban Consumers: All Items Less Shelter in U.S. City Average","CUSR0000SA0L2","Consumer Price Index",10,"2023-05-11","","","2023-05-24"
"PPIFIS__","Producer Price Index by Commodity: Final Demand","PPIFIS","Producer Price Index",46,"2023-05-14","","","2023-05-24"
"PPICOR__","Producer Price Index by Commodity: Final Demand: Final Demand Less Foods and Energy","PPICOR","Producer Price Index",46,"2023-05-14","","","2023-04-14"
"WPUID54__","Producer Price Index by Commodity: Intermediate Demand by Production Flow: Stage 4 Intermediate Demand","WPUID54","Producer Price Index",46,"2023-05-14","","","2023-05-24"
"WPUID53__","Producer Price Index by Commodity: Intermediate Demand by Production Flow: Stage 3 Intermediate Demand","WPUID53","Producer Price Index",46,"2023-05-14","","","2023-05-24"
"WPUID52__","Producer Price Index by Commodity: Intermediate Demand by Production Flow: Stage 2 Intermediate Demand","WPUID52","Producer Price Index",46,"2023-05-14","","","2023-05-24"
"WPUID51__","Producer Price Index by Commodity: Intermediate Demand by Production Flow: Stage 1 Intermediate Demand","WPUID51","Producer Price Index",46,"2023-05-14","","","2023-05-24"
"MSPNHSUS__","Median Sales Price for New Houses Sold in the United States","MSPNHSUS","New Residential Sales",97,"2023-04-28","","","2023-05-24"
"ASPNHSUS__","Average Sales Price for New Houses Sold in the United States","ASPNHSUS","New Residential Sales",97,"2023-04-28","","","2023-05-24"
"MORTGAGE30US_m_avg","30-Year Fixed Rate Mortgage Average in the United States","MORTGAGE30US","Primary Mortgage Market Survey",190,"2023-05-23","m","avg","2023-05-24"
"PI__","Personal Income","PI","Personal Income and Outlays",54,"2023-05-05","","","2023-05-24"
"POPTHM__","Population","POPTHM","Personal Income and Outlays",54,"2023-05-05","","","2023-05-24"
"TTLCONS__","Total Construction Spending: Total Construction in the United States","TTLCONS","Construction Spending",229,"2023-05-05","","","2023-05-24"
"UNDCONTSA__","New Privately-Owned Housing Units Under Construction: Total Units","UNDCONTSA","New Residential Construction",27,"2023-05-18","","",NA
