company,received,effective_dae,emp_num,Industry
"Walmart #4669
6900 US HIGHWAY 19N

PINELLAS PARK, FL, 33781",02-08-23,"03-10-23
thru
05-19-23",71,Retail Trade
"Wright Tree Service Inc.,
6223 Highway 90 #1129
P.O BOX 1718 Des Moines, IA 50306
MILTON, FL, 32570",02-06-23,"02-28-23
thru
03-01-23",100,"Agriculture, Forestry, Fishing and Hunting"
"Vista Building Maintenance Services, Inc.
8200 Coral Way

MIAMI, FL, 33155",01-30-23,"04-01-23
thru
04-15-23",163,Administrative and Support and Waste Management and Remediation Services
"GameStop’s Pembrooke Pined Support Center
1200 SW 145th Ave.,

PEMBROKE PINES, FL, 33207",01-17-23,"03-18-23
thru
04-17-23",54,Administrative and Support and Waste Management and Remediation Services
"Kaman Precision Products Inc
6655 E Colonial Drive

ORLANDO, FL, 32807",01-25-23,"01-26-23
thru
03-30-23",100,Manufacturing
"Quirch Foods, LLC.
Orlando Distribution Center (2292 Sand Lake Rd Suite B, Orlando, FL 32809)

ORLANDO, FL, 32809",01-19-23,"03-31-23
thru
03-31-23",42,Accommodation and Food Services
"Delphi Behavioral Health Group - Ocean Breeze Detox, LLC
8401 South Palm Drive, Pembroke Pines, FL 33025

FORT LAUDERDALE, FL, 33309",01-05-23,"03-05-23
thru
03-05-23",79,Finance and Insurance
"Delphi Behavioral Health Group - Family Recovery Specialists, LLC
1901 W. Cypress Creek Road Suite 500

FORT LAUDERDALE, FL, 33309",01-05-23,"03-05-23
thru
03-05-23",5,Finance and Insurance
"Delphi Behavioral Health Group - Breakthrough Living Recovery Community, LLC
3701 South Olive Avenue

WEST PALM BEACH, FL, 33405",01-05-23,"03-05-23
thru
03-05-23",8,Finance and Insurance
"Delphi Behavioral Health Group - Palm Beach Recovery, LLC
314 10th Street

WEST PALM BEACH, FL, 33041",01-05-23,"03-05-23
thru
03-05-23",41,Finance and Insurance
