week_start_date,industry,naics_code,lower_bound,median,upper_bound
2/5/2020,"Automotive Parts, Accessories, and Tire Stores",4413,-8.8,-3.3,3.1
2/12/2020,"Automotive Parts, Accessories, and Tire Stores",4413,-9.8,-4.1,2
2/19/2020,"Automotive Parts, Accessories, and Tire Stores",4413,-5.4,0.4,6.7
2/26/2020,"Automotive Parts, Accessories, and Tire Stores",4413,5.4,11.5,18.5
3/4/2020,"Automotive Parts, Accessories, and Tire Stores",4413,-0.8,5.3,12.1
3/11/2020,"Automotive Parts, Accessories, and Tire Stores",4413,-9.7,-4.4,1.9
3/18/2020,"Automotive Parts, Accessories, and Tire Stores",4413,-24.6,-20.4,-15.7
3/25/2020,"Automotive Parts, Accessories, and Tire Stores",4413,-27.1,-22.7,-17.9
4/1/2020,"Automotive Parts, Accessories, and Tire Stores",4413,-25.7,-21.1,-15.9
4/8/2020,"Automotive Parts, Accessories, and Tire Stores",4413,-25.7,-21,-16.3
4/15/2020,"Automotive Parts, Accessories, and Tire Stores",4413,1.7,8.2,14.8
4/22/2020,"Automotive Parts, Accessories, and Tire Stores",4413,-4.2,1.5,7.7
4/29/2020,"Automotive Parts, Accessories, and Tire Stores",4413,4.1,10.9,17.1
5/6/2020,"Automotive Parts, Accessories, and Tire Stores",4413,0.2,6.3,12.4
5/13/2020,"Automotive Parts, Accessories, and Tire Stores",4413,8.6,15.2,22.2
5/20/2020,"Automotive Parts, Accessories, and Tire Stores",4413,7.5,14.6,21
5/27/2020,"Automotive Parts, Accessories, and Tire Stores",4413,11.5,18.3,25.3
6/3/2020,"Automotive Parts, Accessories, and Tire Stores",4413,12.3,19.1,27
6/10/2020,"Automotive Parts, Accessories, and Tire Stores",4413,11.8,18.9,26.2
6/17/2020,"Automotive Parts, Accessories, and Tire Stores",4413,7.2,13.4,20.4
6/24/2020,"Automotive Parts, Accessories, and Tire Stores",4413,10.1,17.2,24.2
7/1/2020,"Automotive Parts, Accessories, and Tire Stores",4413,13.1,20.1,27.5
7/8/2020,"Automotive Parts, Accessories, and Tire Stores",4413,8.7,15.5,22.6
7/15/2020,"Automotive Parts, Accessories, and Tire Stores",4413,5.7,12,18.6
7/22/2020,"Automotive Parts, Accessories, and Tire Stores",4413,10.3,16.8,24
7/29/2020,"Automotive Parts, Accessories, and Tire Stores",4413,9.6,16,23.5
8/5/2020,"Automotive Parts, Accessories, and Tire Stores",4413,11.3,18,25.4
8/12/2020,"Automotive Parts, Accessories, and Tire Stores",4413,9.4,16.2,23.1
8/19/2020,"Automotive Parts, Accessories, and Tire Stores",4413,8,14.1,21.9
8/26/2020,"Automotive Parts, Accessories, and Tire Stores",4413,8.2,14.3,21.2
9/2/2020,"Automotive Parts, Accessories, and Tire Stores",4413,5.4,12.3,19.7
9/9/2020,"Automotive Parts, Accessories, and Tire Stores",4413,9.2,15.6,23
9/16/2020,"Automotive Parts, Accessories, and Tire Stores",4413,8,15.3,22.1
9/23/2020,"Automotive Parts, Accessories, and Tire Stores",4413,6.6,12.6,19.9
9/30/2020,"Automotive Parts, Accessories, and Tire Stores",4413,7.6,13.9,21
10/7/2020,"Automotive Parts, Accessories, and Tire Stores",4413,1.5,7.8,13.9
10/14/2020,"Automotive Parts, Accessories, and Tire Stores",4413,1.5,8.1,14.6
10/21/2020,"Automotive Parts, Accessories, and Tire Stores",4413,0.6,7,13.1
10/28/2020,"Automotive Parts, Accessories, and Tire Stores",4413,1.3,7.4,14.1
11/4/2020,"Automotive Parts, Accessories, and Tire Stores",4413,0.2,6.1,12.1
11/11/2020,"Automotive Parts, Accessories, and Tire Stores",4413,-2.8,3,9
11/18/2020,"Automotive Parts, Accessories, and Tire Stores",4413,-1.4,4,10.4
11/25/2020,"Automotive Parts, Accessories, and Tire Stores",4413,0.4,6.5,13.9
12/2/2020,"Automotive Parts, Accessories, and Tire Stores",4413,3.6,9.8,17.1
12/9/2020,"Automotive Parts, Accessories, and Tire Stores",4413,9.1,16.3,23.4
12/16/2020,"Automotive Parts, Accessories, and Tire Stores",4413,4.6,10.7,18.1
12/23/2020,"Automotive Parts, Accessories, and Tire Stores",4413,-4.5,1.6,8.4
12/30/2020,"Automotive Parts, Accessories, and Tire Stores",4413,6.9,13.4,20.2
1/6/2021,"Automotive Parts, Accessories, and Tire Stores",4413,14.1,20.6,28
1/13/2021,"Automotive Parts, Accessories, and Tire Stores",4413,8.4,14.5,21.6
1/20/2021,"Automotive Parts, Accessories, and Tire Stores",4413,6.6,12.8,19.2
1/27/2021,"Automotive Parts, Accessories, and Tire Stores",4413,3.8,9.5,16.1
2/3/2021,"Automotive Parts, Accessories, and Tire Stores",4413,1.7,8.3,14.7
2/10/2021,"Automotive Parts, Accessories, and Tire Stores",4413,-3.3,2.1,8.9
2/17/2021,"Automotive Parts, Accessories, and Tire Stores",4413,-1.4,4.8,11.2
2/24/2021,"Automotive Parts, Accessories, and Tire Stores",4413,9.5,16.5,23.8
3/3/2021,"Automotive Parts, Accessories, and Tire Stores",4413,11.1,18.7,25.9
3/10/2021,"Automotive Parts, Accessories, and Tire Stores",4413,19.3,26.5,33.8
3/17/2021,"Automotive Parts, Accessories, and Tire Stores",4413,35.8,44,52.2
